,Player,1st,2nd,,Team,Opposition,Ground,Match Date,Scorecard
0,ML Jaisimha,20*,74,,India,v Australia,Kolkata,23 Jan 1960,Test # 487
1,G Boycott,107,80*,,England,v Australia,Nottingham,28 Jul 1977,Test # 806
2,KJ Hughes,117,84,,Australia,v England,Lord's,28 Aug 1980,Test # 885
3,AJ Lamb,23,110,,England,v West Indies,Lord's,28 Jun 1984,Test # 990
4,RJ Shastri,111,7*,,India,v England,Kolkata,31 Dec 1984,Test # 1007
5,AFG Griffith,114,18,,West Indies,v New Zealand,Hamilton,16 Dec 1999,Test # 1477
6,A Flintoff,70,51,,England,v India,Mohali,9 Mar 2006,Test # 1788
7,AN Petersen,156,39,,South Africa,v New Zealand,Wellington,23 Mar 2012,Test # 2037
8,CA Pujara,52,22,,India,v Sri Lanka,Kolkata,16 Nov 2017,Test # 2281
9,RJ Burns,133,11,,England,v Australia,Birmingham,1 Aug 2019,Test # 2353
