,Player,Runs,Total,Inns,,Team,Opposition,Ground,Match Date,Scorecard
0,AB Tancred,26*,47,2,,South Africa,v England,Cape Town,25 Mar 1889,Test # 32
1,JE Barrett,67*,176,3,,Australia,v England,Lord's,21 Jul 1890,Test # 33
2,R Abel,132*,307,2,,England,v Australia,Sydney,29 Jan 1892,Test # 36
3,PF Warner,132*,237,3,,England,v South Africa,Johannesburg,14 Feb 1899,Test # 58
4,WW Armstrong,159*,309,3,,Australia,v South Africa,Johannesburg,18 Oct 1902,Test # 76
5,JW Zulch,43*,103,2,,South Africa,v England,Cape Town,11 Mar 1910,Test # 110
6,W Bardsley,193*,383,1,,Australia,v England,Lord's,26 Jun 1926,Test # 164
7,WM Woodfull,30*,66†,4,,Australia,v England,Brisbane,30 Nov 1928,Test # 176
8,WM Woodfull,73*,193†,4,,Australia,v England,Adelaide,13 Jan 1933,Test # 222
9,WA Brown,206*,422,2,,Australia,v England,Lord's,24 Jun 1938,Test # 264
10,L Hutton,202*,344,2,,England,v West Indies,The Oval,12 Aug 1950,Test # 326
11,L Hutton,156*,272,2,,England,v Australia,Adelaide,2 Feb 1951,Test # 330
12,Nazar Mohammad,124*,331,2,,Pakistan,v India,Lucknow,23 Oct 1952,Test # 356
13,FMM Worrell,191*,372,2,,West Indies,v England,Nottingham,4 Jul 1957,Test # 441
14,TL Goddard,56*,99,3,,South Africa,v Australia,Cape Town,31 Dec 1957,Test # 445
15,DJ McGlew,127*,292,1,,South Africa,v New Zealand,Durban,8 Dec 1961,Test # 515
16,CC Hunte,60*,131,3,,West Indies,v Australia,Port of Spain,14 May 1965,Test # 590
17,GM Turner,43*,131,4,,New Zealand,v England,Lord's,24 Jul 1969,Test # 656
18,WM Lawry,49*,107,3,,Australia,v India,Delhi,28 Nov 1969,Test # 667
19,WM Lawry,60*,116†,4,,Australia,v England,Sydney,9 Jan 1971,Test # 676
20,GM Turner,223*,386,2,,New Zealand,v West Indies,Kingston,16 Feb 1972,Test # 693
21,IR Redpath,159*,346,3,,Australia,v New Zealand,Auckland,22 Mar 1974,Test # 736
22,G Boycott,99*,215,4,,England,v Australia,Perth,14 Dec 1979,Test # 864
23,SM Gavaskar,127*,286,3,,India,v Pakistan,Faisalabad,3 Jan 1983,Test # 945
24,Mudassar Nazar,152*,323,1,,Pakistan,v India,Lahore,23 Jan 1983,Test # 947
25,S Wettimuny,63*,144,2,,Sri Lanka,v New Zealand,Christchurch,4 Mar 1983,Test # 950
26,DC Boon,58*,103,3,,Australia,v New Zealand,Auckland,13 Mar 1986,Test # 1040
27,DL Haynes,88*,211,3,,West Indies,v Pakistan,Karachi,20 Nov 1986,Test # 1058
28,GA Gooch,154*,252,3,,England,v West Indies,Leeds,6 Jun 1991,Test # 1171
29,DL Haynes,75*,176,2,,West Indies,v England,The Oval,8 Aug 1991,Test # 1175
30,AJ Stewart,69*,175,3,,England,v Pakistan,Lord's,18 Jun 1992,Test # 1190
31,DL Haynes,143*,382,3,,West Indies,v Pakistan,Port of Spain,16 Apr 1993,Test # 1220
32,MH Dekker,68*,187,4,,Zimbabwe,v Pakistan,Rawalpindi,9 Dec 1993,Test # 1240
33,MA Atherton,94*,228,2,,England,v New Zealand,Christchurch,14 Feb 1997,Test # 1355
34,G Kirsten,100*,239,1,,South Africa,v Pakistan,Faisalabad,24 Oct 1997,Test # 1382
35,MA Taylor,169*,350,2,,Australia,v South Africa,Adelaide,30 Jan 1998,Test # 1397
36,GW Flower,156*,321,1,,Zimbabwe,v Pakistan,Bulawayo,14 Mar 1998,Test # 1408
37,Saeed Anwar,188*,316,3,,Pakistan,v India,Kolkata,16 Feb 1999,Test # 1444
38,MS Atapattu,216*,428,2,,Sri Lanka,v Zimbabwe,Bulawayo,18 Nov 1999,Test # 1470
39,RP Arnold,104*,231,2,,Sri Lanka,v Zimbabwe,Harare,4 Dec 1999,Test # 1474
40,Javed Omar,85*,168†,3,,Bangladesh,v Zimbabwe,Bulawayo,19 Apr 2001,Test # 1543
41,V Sehwag,201*,329,1,,India,v Sri Lanka,Galle,31 Jul 2008,Test # 1884
42,SM Katich,131*,268,3,,Australia,v New Zealand,Brisbane,20 Nov 2008,Test # 1894
43,CH Gayle,165*,317,3,,West Indies,v Australia,Adelaide,4 Dec 2009,Test # 1939
44,Imran Farhat,117*,223,1,,Pakistan,v New Zealand,Napier,11 Dec 2009,Test # 1940
45,R Dravid,146*,300,2,,India,v England,The Oval,18 Aug 2011,Test # 2004
46,TMK Mawoyo,163*,412,1,,Zimbabwe,v Pakistan,Bulawayo,1 Sep 2011,Test # 2006
47,DA Warner,123*,233,4,,Australia,v New Zealand,Hobart,9 Dec 2011,Test # 2021
48,CA Pujara,145*,312,1,,India,v Sri Lanka,Colombo (SSC),28 Aug 2015,Test # 2179
49,D Elgar,118*,214,2,,South Africa,v England,Durban,26 Dec 2015,Test # 2196
50,KC Brathwaite,142*,337,2,,West Indies,v Pakistan,Sharjah,30 Oct 2016,Test # 2229
51,AN Cook,244*,491,2,,England,v Australia,Melbourne,26 Dec 2017,Test # 2289
52,D Elgar,86*,177,4,,South Africa,v India,Johannesburg,24 Jan 2018,Test # 2294
53,D Elgar,141*,311,1,,South Africa,v Australia,Cape Town,22 Mar 2018,Test # 2300
54,FDM Karunaratne,158*,287,1,,Sri Lanka,v South Africa,Galle,12 Jul 2018,Test # 2311
55,TWM Latham,264*,578,2,,New Zealand,v Sri Lanka,Wellington,15 Dec 2018,Test # 2335
