,Batter,Bowler,Match,Location,Season
0,AC MacLaren,A Coningham,England v Australia,Melbourne,1894/95
1,TW Hayward,AEE Vogler,England v South Africa,The Oval,1907
2,W Bardsley,MW Tate,Australia v England,Leeds,1926
3,H Sutcliffe,FT Badcock,England v New Zealand,Christchurch,1932/33
4,TS Worthington,EL McCormick,England v Australia,Brisbane,1936/37
5,CC Hunte,Fazal Mahmood,West Indies v Pakistan,Port-of-Spain,1957/58
6,EJ Barlow,GD McKenzie,South Africa v Australia,Durban,1966/67
7,RC Fredericks,S Abid Ali,West Indies v India,Port-of-Spain,1970/71
8,KR Stackpole,RJ Hadlee,Australia v New Zealand,Auckland,1973/74
9,SM Gavaskar,GG Arnold,India v England,Birmingham,1974
10,SS Naik,AME Roberts,India v West Indies,Kolkata,1974/75
11,JFM Morrison,GG Arnold,New Zealand v England,Christchurch,1974/75
12,Mohsin Khan,N Kapil Dev,Pakistan v India,Jullundur,1983/84
13,SM Gavaskar,MD Marshall,India v West Indies,Kolkata,1983/84
14,SM Gavaskar,Imran Khan,India v Pakistan,Jaipur,1986/87
15,WV Raman,RJ Hadlee,India v New Zealand,Napier,1989/90
16,SJ Cook,N Kapil Dev,South Africa v India,Durban,1992/93
17,G Kirsten,CEL Ambrose,South Africa v West Indies,Cape Town,1998/99
18,ST Jayasuriya,GD McGrath,Sri Lanka v Australia,Galle,1999
19,LV Garrick,AA Donald,West Indies v South Africa,Kingston,2000/01
20,SS Das,M Dillon,India v West Indies,Bridgetown,2001/02
21,Hannan Sarkar,PT Collins,Bangladesh v West Indies,Dhaka,2002/03
22,Hannan Sarkar,PT Collins,Bangladesh v West Indies,Gros Islet,2004
23,Hannan Sarkar,PT Collins,Bangladesh v West Indies,Kingston,2004
24,W Jaffer,Mashrafe Mortaza,India v Bangladesh,Chittagong (CDS),2007
25,D Ganga,RJ Sidebottom,West Indies v England,Chester-le-Street,2007
26,TG McIntosh,Mohammad Aamer,New Zealand v Pakistan,Dunedin,2009/10
27,AJ Strauss,DW Steyn,England v South Africa,Johannesburg,2009/10
28,CH Gayle,RAS Lakmal,Sri Lanka v West Indies,Pallekele,2010/11
29,FDM Karunaratne,MA Starc,Sri Lanka v Australia,Galle,2016
30,KL Rahul,RAS Lakmal,India v Sri Lanka,Kolkata,2017/18
31,D Elgar,JM Anderson,South Africa v England,Centurion,2019/20
32,Abdul Malik (1),B Muzarabani,Afghanistan v Zimbabwe,Abu Dhabi,2020/21
33,RJ Burns,MA Starc,Australia v England,Brisbane,2021/22
