,Player,Runs,Mins,Balls,4s,6s,,Team,Opposition,Ground,Match Date,Scorecard
0,C Hill,99,191,-,7,-,,Australia,v England,Melbourne,1 Jan 1902,Test # 66
1,GA Faulkner,99,-,-,-,0,,South Africa,v England,Cape Town,11 Mar 1910,Test # 110
2,CG Macartney,99,135,-,-,1,,Australia,v England,Lord's,24 Jun 1912,Test # 123
3,H Sutcliffe,99,-,-,-,0,,England,v South Africa,Cape Town,31 Dec 1927,Test # 169
4,AG Chipperfield,99,200,208,9,0,,Australia,v England,Nottingham,8 Jun 1934,Test # 233
5,E Paynter,99,182,188,13,1,,England,v Australia,Lord's,24 Jun 1938,Test # 264
6,NWD Yardley,99,250,-,10,0,,England,v South Africa,Nottingham,7 Jun 1947,Test # 285
7,RJ Christiani,99,-,-,-,0,,West Indies,v England,Bridgetown,21 Jan 1948,Test # 293
8,WA Brown,99,205,216,8,0,,Australia,v India,Melbourne,6 Feb 1948,Test # 295
9,B Mitchell,99,397,-,-,0,,South Africa,v England,Gqeberha,5 Mar 1949,Test # 313
10,KR Miller,99,207,-,8,0,,Australia,v England,Adelaide,2 Feb 1951,Test # 330
11,AF Rae,99,218,-,9,1,,West Indies,v New Zealand,Auckland,15 Feb 1952,Test # 350
12,AR Morris,99,163,-,7,0,,Australia,v South Africa,Melbourne,6 Feb 1953,Test # 365
13,JEF Beck,99,224,-,9,1,,New Zealand,v South Africa,Cape Town,1 Jan 1954,Test # 379
14,Maqsood Ahmed,99,-,-,-,0,,Pakistan,v India,Lahore,29 Jan 1955,Test # 397
15,CC McDonald,99,263,-,-,0,,Australia,v South Africa,Cape Town,31 Dec 1957,Test # 445
16,RB Kanhai,99,201,-,14,0,,West Indies,v India,Chennai,21 Jan 1959,Test # 465
17,P Roy,99,-,-,-,0,,India,v Australia,Delhi,12 Dec 1959,Test # 482
18,MJK Smith,99,243,-,10,1,,England,v South Africa,Lord's,23 Jun 1960,Test # 493
19,TL Goddard,99,372,-,9,0,,South Africa,v England,The Oval,18 Aug 1960,Test # 496
20,ML Jaisimha,99,505,-,12,0,,India,v Pakistan,Kanpur,16 Dec 1960,Test # 499
21,MJK Smith,99,-,-,13,0,,England,v Pakistan,Lahore,21 Oct 1961,Test # 512
