,Balls,Player,Match,Location,Season
0,54,BB McCullum,New Zealand v Australia,Christchurch,2015/16
1,56,IVA Richards,West Indies v England,St John's,1985/86
2,56,Misbah-ul-Haq,Pakistan v Australia,Abu Dhabi,2014/15
3,57,AC Gilchrist,Australia v England,Perth,2006/07
4,67,JM Gregory,Australia v South Africa,Johannesburg,1921/22
5,69,S Chanderpaul,West Indies v Australia,Georgetown,2002/03
6,69,DA Warner,Australia v India,Perth,2011/12
7,70,CH Gayle,West Indies v Australia,Perth,2009/10
8,71,RC Fredericks,West Indies v Australia,Perth,1975/76
9,71,C de Grandhomme,New Zealand v West Indies,Wellington,2017/18
10,74,Majid Khan,Pakistan v New Zealand,Karachi,1976/77
11,74,Kapil Dev,India v Sri Lanka,Kanpur,1986/87
12,74,M Azharuddin,India v South Africa,Calcutta,1996/97
13,74,BB McCullum,New Zealand v Sri Lanka,"Hagley Oval, Christchurch",2014/15
14,75,AB de Villiers,South Africa v India,Centurion,2010/11
15,76,GL Jessop,England v Australia,The Oval,1902
16,77,BC Lara,West Indies v Pakistan,Multan Cricket Stadium,2006/07
17,77,JM Bairstow,England v New Zealand,Nottingham,2022
18,78,Shahid Afridi,Pakistan v West Indies,"Kensington Oval, Bridgetown",2004/05
19,78,Shahid Afridi,Pakistan v India,"Gaddafi Stadium, Lahore",2005/06
20,78,V Sehwag,India v West Indies,"Beausejour Stadium, Gros Islet",2006
21,78,BB McCullum,New Zealand v Pakistan,Sharjah Cricket Stadium,2014/15
22,78,DA Warner,Australia v Pakistan,Sydney Cricket Ground,2016/17
23,79,CH Gayle,West Indies v South Africa,"Newlands, Cape Town",2003/04
24,80,CH Gayle,West Indies v England,Kennington Oval,2004
25,80,Sarfraz Ahmed,Pakistan v Australia,Dubai Sports City Stadium,2014/15
26,81,DPMD Jayawardene,Sri Lanka v Bangladesh,Sinhalese Sports Club Ground,2001/02
27,81,Kamran Akmal,Pakistan v India,"Gaddafi Stadium, Lahore",2005/06
28,81,LRPL Taylor,New Zealand v Australia,"Seddon Park, Hamilton",2009/10
29,82,BC Lara,West Indies v Australia,"Antigua Recreation Ground, St John's",1998/99
30,82,DL Vettori,New Zealand v Zimbabwe,Harare Sports Club,2005/06
31,82,DA Warner,Australia v West Indies,Sydney,2015/16
