,Balls,Player,Match,Location,Year
0,153,NJ Astle,New Zealand v England,Christchurch,2002
1,163,BA Stokes,England v South Africa,Cape Town,2016
2,168,V Sehwag,India v Sri Lanka,Mumbai,2009
3,182,V Sehwag,India v Pakistan,Lahore,2006
4,186,BB McCullum,New Zealand v Pakistan,Sharjah,2014
5,194,V Sehwag,India v South Africa,Chennai,2008
6,211,HH Gibbs,South Africa v Pakistan,Cape Town,2003
7,212,AC Gilchrist,Australia v South Africa,Johannesburg,2002
8,220,IT Botham,England v India,The Oval,1982
9,221,CH Gayle,Sri Lanka v West Indies,Galle,2010
10,222,V Sehwag,India v Pakistan,Multan,2004
11,227,V Sehwag,India v Sri Lanka,Galle,2008
12,229,PA de Silva,Sri Lanka v Bangladesh,Colombo (PSS),2002
13,229,JO Holder,West Indies v England,Barbados,2019
14,231,GP Thorpe,England v New Zealand,Christchurch,2002
15,231,MS Dhoni,India v Australia,Chennai,2013
16,232,CG Greenidge,West Indies v England,Lord's,1984
