,Balls,Player,Match,Location,Year
0,21,Misbah-ul-Haq,Pakistan v Australia,Abu Dhabi,2014
1,23,DA Warner,Australia v Pakistan,Sydney,2017
2,24,JH Kallis,South Africa v Zimbabwe,Cape Town,2005
3,25,S Shillingford,West Indies v New Zealand,Kingston,2014
4,26,Shahid Afridi,Pakistan v India,Bangalore,2005
5,26,Mohammad Ashraful,Bangaldesh v India,Mirpur,2007
6,26,DW Steyn,South Africa v West Indies,Port Elizabeth,2014
7,27,Yousuf Youhana,Pakistan v South Africa,Cape Town,2003
8,28,EAV Williams,West Indies v England,Bridgetown,1948
9,28,IT Botham,England v India,Delhi,1981
10,28,CH Gayle,West Indiies v New Zealand,Port of Spain,2014
11,28,C de Grandhomme,New Zealand v Sri Lanka,Christchurch,2018
12,28,RR Pant,India v Sri Lanka,Bengaluru,2022
13,29,B Yardley,Australia v West Indies,Bridgetown,1978
14,29,TG Southee,New Zealand v England,Napier,2008
15,30,N Kapil Dev,India v Pakistan,Karachi,1982
16,30,TM Dilshan,Sri Lanka v New Zealand,Galle,2009
17,30,BB McCullum,New Zealand v Pakistan,Sharjah,2014
18,30,JM Bairstow,England v New Zealand,Leeds,2022
19,31,A Ranatunga,Sri Lanka v India,Kanpur,1986
20,31,WJ Cronje,South Africa v Sri Lanka,Centurion,1998
21,31,SN Thakur,India v England,The Oval,2021
22,32,IVA Richards,West Indies v India,Kingston,1983
23,32,IT Botham,England v New Zealand,The Oval,1986
24,32,V Sehwag,India v England,Chennai,2008
25,32,Umar Akmal,Pakistan v New Zealand,Wellington,2009
26,32,MA Starc,Australia v South Africa,Perth,2012
