,Player,Opposition,Ground,Match Date,Debut,Time,Mat,Inns,Scorecard
0,DG Bradman (AUS),v England,Sydney,23 Feb 1933,30 Nov 1928,4y 85d,23,33,Test # 224
1,ED Weekes (WI),v Australia,Port of Spain,11 Apr 1955,21 Jan 1948,7y 80d,31,51,Test # 404
2,H Sutcliffe (ENG),v Australia,Nottingham,13 Jun 1930,14 Jun 1924,5y 364d,33,52,Test # 194
3,BC Lara (WI),v England,The Oval,24 Aug 1995,6 Dec 1990,4y 261d,31,52,Test # 1303
4,RN Harvey (AUS),v England,Sydney,17 Dec 1954,23 Jan 1948,6y 328d,31,54,Test # 392
5,IVA Richards (WI),v England,Lord's,19 Jun 1980,22 Nov 1974,5y 210d,33,54,Test # 881
6,GS Sobers (WI),v Australia,Brisbane,9 Dec 1960,30 Mar 1954,6y 254d,33,55,Test # 498
7,V Sehwag (INDIA),v Pakistan,Bengaluru,24 Mar 2005,3 Nov 2001,3y 141d,34,55,Test # 1743
8,CL Walcott (WI),v Australia,Kingston,11 Jun 1955,21 Jan 1948,7y 141d,33,56,Test # 408
9,DCS Compton (ENG),v New Zealand,Lord's,25 Jun 1949,14 Aug 1937,11y 315d,34,57,Test # 315
10,JB Hobbs (ENG),v South Africa,Birmingham,14 Jun 1924,1 Jan 1908,16y 165d,35,60,Test # 153
11,WR Hammond (ENG),v Australia,Sydney,23 Feb 1933,24 Dec 1927,5y 61d,36,61,Test # 224
12,L Hutton (ENG),v South Africa,Cape Town,1 Jan 1949,26 Jun 1937,11y 189d,35,61,Test # 309
13,KF Barrington (ENG),v New Zealand,Auckland,23 Feb 1963,9 Jun 1955,7y 259d,38,61,Test # 540
14,ML Hayden (AUS),v England,Melbourne,26 Dec 2002,4 Mar 1994,8y 297d,37,61,Test # 1634
15,JE Root (ENG),v Pakistan,Dubai (DSC),22 Oct 2015,13 Dec 2012,2y 313d,34,62,Test # 2183
16,FMM Worrell (WI),v England,Port of Spain,25 Mar 1960,11 Feb 1948,12y 43d,36,63,Test # 491
17,AC Gilchrist (AUS),v Zimbabwe,Perth,9 Oct 2003,5 Nov 1999,3y 338d,46,63,Test # 1661
18,GC Smith (SA),v West Indies,Port of Spain,8 Apr 2005,8 Mar 2002,3y 31d,37,63,Test # 1747
19,KP Pietersen (ENG),v Sri Lanka,Galle,18 Dec 2007,21 Jul 2005,2y 150d,33,63,Test # 1854
20,MEK Hussey (AUS),v South Africa,Cape Town,19 Mar 2009,3 Nov 2005,3y 136d,37,63,Test # 1916
21,SPD Smith (AUS),v England,The Oval,20 Aug 2015,13 Jul 2010,5y 38d,33,63,Test # 2178
22,AR Morris (AUS),v England,Leeds,23 Jul 1953,29 Nov 1946,6y 236d,37,64,Test # 375
23,ER Dexter (ENG),v Australia,Adelaide,25 Jan 1963,24 Jul 1958,4y 185d,39,64,Test # 538
24,RB Kanhai (WI),v England,Leeds,25 Jul 1963,30 May 1957,6y 56d,37,64,Test # 546
25,M Azharuddin (INDIA),v Australia,Melbourne,26 Dec 1991,31 Dec 1984,6y 360d,43,64,Test # 1180
26,WM Lawry (AUS),v South Africa,Johannesburg,23 Dec 1966,8 Jun 1961,5y 198d,36,65,Test # 611
27,GS Chappell (AUS),v West Indies,Sydney,3 Jan 1976,11 Dec 1970,5y 23d,38,65,Test # 767
28,DPMD Jayawardene (SL),v England,Lord's,16 May 2002,2 Aug 1997,4y 287d,42,65,Test # 1603
29,AL Hassett (AUS),v England,Leeds,23 Jul 1953,10 Jun 1938,15y 43d,42,66,Test # 375
30,SM Gavaskar (INDIA),v Australia,Perth,16 Dec 1977,6 Mar 1971,6y 285d,34,66,Test # 811
31,G Gambhir (INDIA),v South Africa,Centurion,16 Dec 2010,3 Nov 2004,6y 43d,37,66,Test # 1985
32,DA Warner (AUS),v India,Melbourne,26 Dec 2014,1 Dec 2011,3y 25d,35,66,Test # 2152
33,JH Edrich (ENG),v Australia,Sydney,9 Jan 1971,6 Jun 1963,7y 217d,43,67,Test # 676
34,Javed Miandad (PAK),v Sri Lanka,Faisalabad,14 Mar 1982,9 Oct 1976,5y 156d,39,67,Test # 925
35,SR Tendulkar (INDIA),v South Africa,Kanpur,8 Dec 1996,15 Nov 1989,7y 23d,45,67,Test # 1344
36,R Dravid (INDIA),v Zimbabwe,Delhi,18 Nov 2000,20 Jun 1996,4y 151d,39,67,Test # 1515
37,Yousuf Youhana (PAK),v Zimbabwe,Bulawayo,16 Nov 2002,26 Feb 1998,4y 263d,41,67,Test # 1627
38,IJL Trott (ENG),v New Zealand,Dunedin,6 Mar 2013,20 Aug 2009,3y 198d,39,67,Test # 2077
39,CA Pujara (INDIA),v England,Visakhapatnam,17 Nov 2016,9 Oct 2010,6y 39d,40,67,Test # 2235
40,KD Walters (AUS),v West Indies,Port of Spain,23 Mar 1973,10 Dec 1965,7y 103d,39,68,Test # 718
41,MA Taylor (AUS),v West Indies,Sydney,2 Jan 1993,26 Jan 1989,3y 342d,36,68,Test # 1208
42,Saeed Anwar (PAK),v Sri Lanka,Lahore,4 Mar 1999,23 Nov 1990,8y 101d,40,68,Test # 1447
43,KC Sangakkara (SL),v South Africa,Colombo (SSC),11 Aug 2004,20 Jul 2000,4y 22d,42,68,Test # 1710
44,EH Hendren (ENG),v South Africa,Durban,21 Feb 1931,17 Dec 1920,10y 66d,43,69,Test # 207
45,PBH May (ENG),v West Indies,Nottingham,4 Jul 1957,26 Jul 1951,5y 343d,42,69,Test # 441
46,AI Kallicharran (WI),v Australia,Port of Spain,3 Mar 1978,6 Apr 1972,5y 331d,41,69,Test # 819
47,MJ Slater (AUS),v Pakistan,Karachi,22 Oct 1998,3 Jun 1993,5y 141d,40,69,Test # 1427
48,MP Vaughan (ENG),v Sri Lanka,Kandy,10 Dec 2003,25 Nov 1999,4y 15d,39,69,Test # 1672
49,MJ Clarke (AUS),v South Africa,Sydney,3 Jan 2009,6 Oct 2004,4y 89d,44,69,Test # 1904
50,NS Sidhu (INDIA),v Australia,Kolkata,18 Mar 1998,12 Nov 1983,14y 126d,47,70,Test # 1409
51,Younis Khan (PAK),v India,Lahore,13 Jan 2006,26 Feb 2000,5y 321d,40,70,Test # 1781
52,B Mitchell (SA),v England,Durban,16 Dec 1948,15 Jun 1929,19y 184d,38,71,Test # 306
53,CG Greenidge (WI),v India,Kanpur,21 Oct 1983,22 Nov 1974,8y 333d,42,71,Test # 964
54,KS Williamson (NZ),v Sri Lanka,Wellington,3 Jan 2015,4 Nov 2010,4y 60d,39,71,Test # 2155
55,DL Amiss (ENG),v West Indies,The Oval,12 Aug 1976,18 Aug 1966,9y 360d,42,72,Test # 781
56,Majid Khan (PAK),v New Zealand,Napier,16 Feb 1979,24 Oct 1964,14y 115d,41,72,Test # 847
57,AR Border (AUS),v West Indies,Adelaide,30 Jan 1982,29 Dec 1978,3y 32d,39,72,Test # 919
58,RB Richardson (WI),v India,Bridgetown,7 Apr 1989,24 Nov 1983,5y 134d,43,72,Test # 1118
59,HH Gibbs (SA),v Pakistan,Cape Town,2 Jan 2003,27 Nov 1996,6y 36d,43,72,Test # 1637
60,MD Crowe (NZ),v Pakistan,Auckland,24 Feb 1989,26 Feb 1982,6y 364d,44,73,Test # 1116
61,TT Samaraweera (SL),v Pakistan,Karachi,21 Feb 2009,29 Aug 2001,7y 176d,48,73,Test # 1909
62,AN Cook (ENG),v West Indies,Bridgetown,26 Feb 2009,1 Mar 2006,2y 362d,40,73,Test # 1911
63,HM Amla (SA),v India,Nagpur,6 Feb 2010,28 Nov 2004,5y 70d,42,73,Test # 1951
