,Player,50s,Runs,Inns,,Team,Opposition,Ground,Match Date,Scorecard
0,ED Weekes,7,141,2,,West Indies,v England,Kingston,27 Mar 1948,Test # 298
1,,,128,1,,West Indies,v India,Delhi,10 Nov 1948,Test # 304
2,,,194,1,,West Indies,v India,Brabourne,9 Dec 1948,Test # 305
3,,,162,1,,West Indies,v India,Kolkata,31 Dec 1948,Test # 308
4,,,101,3,,West Indies,v India,Kolkata,31 Dec 1948,Test # 308
5,,,90,1,,West Indies,v India,Chennai,27 Jan 1949,Test # 310
6,,,56,1,,West Indies,v India,Brabourne,4 Feb 1949,Test # 311
7,A Flower,7,65,3,,Zimbabwe,v New Zealand,Harare,19 Sep 2000,Test # 1511
8,,,183*,1,,Zimbabwe,v India,Delhi,18 Nov 2000,Test # 1515
9,,,70,3,,Zimbabwe,v India,Delhi,18 Nov 2000,Test # 1515
10,,,55,2,,Zimbabwe,v India,Nagpur,25 Nov 2000,Test # 1517
11,,,232*,3,,Zimbabwe,v India,Nagpur,25 Nov 2000,Test # 1517
12,,,79,2,,Zimbabwe,v New Zealand,Wellington,26 Dec 2000,Test # 1524
13,,,73,2,,Zimbabwe,v Bangladesh,Bulawayo,19 Apr 2001,Test # 1543
14,S Chanderpaul,7,69,4,,West Indies,v Pakistan,Karachi,27 Nov 2006,Test # 1818
15,,,74,2,,West Indies,v England,Lord's,17 May 2007,Test # 1831
16,,,50,2,,West Indies,v England,Manchester,7 Jun 2007,Test # 1835
17,,,116*,4,,West Indies,v England,Manchester,7 Jun 2007,Test # 1835
18,,,136*,1,,West Indies,v England,Chester-le-Street,15 Jun 2007,Test # 1836
19,,,70,3,,West Indies,v England,Chester-le-Street,15 Jun 2007,Test # 1836
20,,,104,1,,West Indies,v South Africa,Gqeberha,26 Dec 2007,Test # 1856
21,KC Sangakkara,7,75,2,,Sri Lanka,v Bangladesh,Mirpur,27 Jan 2014,Test # 2116
22,,,319,1,,Sri Lanka,v Bangladesh,Chattogram,4 Feb 2014,Test # 2117
23,,,105,3,,Sri Lanka,v Bangladesh,Chattogram,4 Feb 2014,Test # 2117
24,,,147,2,,Sri Lanka,v England,Lord's,12 Jun 2014,Test # 2124
25,,,61,4,,Sri Lanka,v England,Lord's,12 Jun 2014,Test # 2124
26,,,79,1,,Sri Lanka,v England,Leeds,20 Jun 2014,Test # 2126
27,,,55,3,,Sri Lanka,v England,Leeds,20 Jun 2014,Test # 2126
28,CJL Rogers,7,55,2,,Australia,v India,Brisbane,17 Dec 2014,Test # 2149
29,,,55,4,,Australia,v India,Brisbane,17 Dec 2014,Test # 2149
30,,,57,1,,Australia,v India,Melbourne,26 Dec 2014,Test # 2152
31,,,69,3,,Australia,v India,Melbourne,26 Dec 2014,Test # 2152
32,,,95,1,,Australia,v India,Sydney,6 Jan 2015,Test # 2156
33,,,56,3,,Australia,v India,Sydney,6 Jan 2015,Test # 2156
34,,,95,2,,Australia,v England,Cardiff,8 Jul 2015,Test # 2170
35,KL Rahul,7,90,1,,India,v Australia,Bengaluru,4 Mar 2017,Test # 2251
36,,,51,3,,India,v Australia,Bengaluru,4 Mar 2017,Test # 2251
37,,,67,2,,India,v Australia,Ranchi,16 Mar 2017,Test # 2256
38,,,60,2,,India,v Australia,Dharamsala,25 Mar 2017,Test # 2258
39,,,51*,4,,India,v Australia,Dharamsala,25 Mar 2017,Test # 2258
40,,,57,1,,India,v Sri Lanka,Colombo (SSC),3 Aug 2017,Test # 2267
41,,,85,1,,India,v Sri Lanka,Pallekele,12 Aug 2017,Test # 2269
42,J Ryder,6,78*,1,,Australia,v South Africa,Durban,5 Nov 1921,Test # 145
43,,,58,3,,Australia,v South Africa,Durban,5 Nov 1921,Test # 145
44,,,56,1,,Australia,v South Africa,Johannesburg,12 Nov 1921,Test # 146
45,,,142,2,,Australia,v South Africa,Cape Town,26 Nov 1921,Test # 147
46,,,201*,1,,Australia,v England,Adelaide,16 Jan 1925,Test # 160
47,,,88,3,,Australia,v England,Adelaide,16 Jan 1925,Test # 160
48,EH Hendren,6,77,1,,England,v West Indies,Port of Spain,1 Feb 1930,Test # 189
49,,,205*,3,,England,v West Indies,Port of Spain,1 Feb 1930,Test # 189
50,,,56,2,,England,v West Indies,Georgetown,21 Feb 1930,Test # 192
51,,,123,4,,England,v West Indies,Georgetown,21 Feb 1930,Test # 192
52,,,61,1,,England,v West Indies,Kingston,3 Apr 1930,Test # 193
53,,,55,3,,England,v West Indies,Kingston,3 Apr 1930,Test # 193
54,GA Headley,6,93,3,,West Indies,v England,Port of Spain,24 Jan 1935,Test # 239
55,,,53,2,,West Indies,v England,Georgetown,14 Feb 1935,Test # 240
56,,,270*,1,,West Indies,v England,Kingston,14 Mar 1935,Test # 241
57,,,106,1,,West Indies,v England,Lord's,24 Jun 1939,Test # 272
58,,,107,3,,West Indies,v England,Lord's,24 Jun 1939,Test # 272
59,,,51,2,,West Indies,v England,Manchester,22 Jul 1939,Test # 273
60,A Melville,6,67,2,,South Africa,v England,Johannesburg,18 Feb 1939,Test # 270
61,,,78,1,,South Africa,v England,Durban,3 Mar 1939,Test # 271
62,,,103,3,,South Africa,v England,Durban,3 Mar 1939,Test # 271
63,,,189,1,,South Africa,v England,Nottingham,7 Jun 1947,Test # 285
64,,,104*,4,,South Africa,v England,Nottingham,7 Jun 1947,Test # 285
65,,,117,2,,South Africa,v England,Lord's,21 Jun 1947,Test # 286
66,GS Sobers,6,52,1,,West Indies,v Pakistan,Bridgetown,17 Jan 1958,Test # 446
67,,,52,1,,West Indies,v Pakistan,Port of Spain,5 Feb 1958,Test # 448
68,,,80,3,,West Indies,v Pakistan,Port of Spain,5 Feb 1958,Test # 448
69,,,365*,2,,West Indies,v Pakistan,Kingston,26 Feb 1958,Test # 450
70,,,125,2,,West Indies,v Pakistan,Georgetown,13 Mar 1958,Test # 452
71,,,109*,4,,West Indies,v Pakistan,Georgetown,13 Mar 1958,Test # 452
72,ER Dexter,6,85,1,,England,v Pakistan,Nottingham,26 Jul 1962,Test # 533
73,,,172,1,,England,v Pakistan,The Oval,16 Aug 1962,Test # 534
74,,,70,2,,England,v Australia,Brisbane,30 Nov 1962,Test # 535
75,,,99,4,,England,v Australia,Brisbane,30 Nov 1962,Test # 535
76,,,93,2,,England,v Australia,Melbourne,29 Dec 1962,Test # 536
77,,,52,4,,England,v Australia,Melbourne,29 Dec 1962,Test # 536
78,KF Barrington,6,63,2,,England,v Australia,Adelaide,25 Jan 1963,Test # 538
79,,,132*,4,,England,v Australia,Adelaide,25 Jan 1963,Test # 538
80,,,101,1,,England,v Australia,Sydney,15 Feb 1963,Test # 539
81,,,94,3,,England,v Australia,Sydney,15 Feb 1963,Test # 539
82,,,126,1,,England,v New Zealand,Auckland,23 Feb 1963,Test # 540
83,,,76,2,,England,v New Zealand,Wellington,1 Mar 1963,Test # 541
84,KD Walters,6,76,2,,Australia,v West Indies,Melbourne,26 Dec 1968,Test # 643
85,,,118,2,,Australia,v West Indies,Sydney,3 Jan 1969,Test # 644
86,,,110,2,,Australia,v West Indies,Adelaide,24 Jan 1969,Test # 645
87,,,50,4,,Australia,v West Indies,Adelaide,24 Jan 1969,Test # 645
88,,,242,1,,Australia,v West Indies,Sydney,14 Feb 1969,Test # 646
89,,,103,3,,Australia,v West Indies,Sydney,14 Feb 1969,Test # 646
90,GS Chappell,6,68,1,,Australia,v West Indies,Melbourne,31 Jan 1976,Test # 770
91,,,54*,3,,Australia,v West Indies,Melbourne,31 Jan 1976,Test # 770
92,,,52,2,,Australia,v Pakistan,Adelaide,24 Dec 1976,Test # 789
93,,,70,4,,Australia,v Pakistan,Adelaide,24 Dec 1976,Test # 789
94,,,121,1,,Australia,v Pakistan,Melbourne,1 Jan 1977,Test # 790
95,,,67,3,,Australia,v Pakistan,Melbourne,1 Jan 1977,Test # 790
96,GR Viswanath,6,59,1,,India,v Australia,Melbourne,30 Dec 1977,Test # 812
97,,,54,3,,India,v Australia,Melbourne,30 Dec 1977,Test # 812
98,,,79,2,,India,v Australia,Sydney,7 Jan 1978,Test # 814
