,Player,Mat,1st,2nd,,Team,Opposition,Ground,Match Date,Scorecard
0,AB de Villiers,12,4,169,,South Africa,v Australia,Perth,30 Nov 2012,Test # 2064
1,,,67,-,,South Africa,v New Zealand,Cape Town,2 Jan 2013,Test # 2069
2,,,51,-,,South Africa,v New Zealand,Gqeberha,11 Jan 2013,Test # 2071
3,,,31,103*,,South Africa,v Pakistan,Johannesburg,1 Feb 2013,Test # 2072
4,,,61,36,,South Africa,v Pakistan,Cape Town,14 Feb 2013,Test # 2073
5,,,121,-,,South Africa,v Pakistan,Centurion,22 Feb 2013,Test # 2075
6,,,19,90,,South Africa,v Pakistan,Abu Dhabi,14 Oct 2013,Test # 2098
7,,,164,-,,South Africa,v Pakistan,Dubai (DSC),23 Oct 2013,Test # 2100
8,,,13,103,,South Africa,v India,Johannesburg,18 Dec 2013,Test # 2108
9,,,74,DNB,,South Africa,v India,Durban,26 Dec 2013,Test # 2111
10,,,91,48,,South Africa,v Australia,Centurion,12 Feb 2014,Test # 2119
11,,,116,29,,South Africa,v Australia,Gqeberha,20 Feb 2014,Test # 2121
12,JE Root,12,56,1,,England,v Bangladesh,Mirpur,28 Oct 2016,Test # 2227
13,,,124,4,,England,v India,Rajkot,9 Nov 2016,Test # 2232
14,,,53,25,,England,v India,Visakhapatnam,17 Nov 2016,Test # 2235
15,,,15,78,,England,v India,Mohali,26 Nov 2016,Test # 2238
16,,,21,77,,England,v India,Wankhede,8 Dec 2016,Test # 2239
17,,,88,6,,England,v India,Chennai,16 Dec 2016,Test # 2241
18,,,190,5,,England,v South Africa,Lord's,6 Jul 2017,Test # 2262
19,,,78,8,,England,v South Africa,Nottingham,14 Jul 2017,Test # 2264
20,,,29,50,,England,v South Africa,The Oval,27 Jul 2017,Test # 2266
21,,,52,49,,England,v South Africa,Manchester,4 Aug 2017,Test # 2268
22,,,136,-,,England,v West Indies,Birmingham,17 Aug 2017,Test # 2270
23,,,59,72,,England,v West Indies,Leeds,25 Aug 2017,Test # 2271
24,IVA Richards,11,30,101,,West Indies,v Australia,Adelaide,23 Jan 1976,Test # 768
25,,,50,98,,West Indies,v Australia,Melbourne,31 Jan 1976,Test # 770
26,,,142,-,,West Indies,v India,Bridgetown,10 Mar 1976,Test # 773
27,,,130,20,,West Indies,v India,Port of Spain,24 Mar 1976,Test # 774
28,,,177,23,,West Indies,v India,Port of Spain,7 Apr 1976,Test # 775
29,,,64,DNB,,West Indies,v India,Kingston,21 Apr 1976,Test # 776
30,,,232,63,,West Indies,v England,Nottingham,3 Jun 1976,Test # 777
31,,,4,135,,West Indies,v England,Manchester,8 Jul 1976,Test # 779
32,,,66,38,,West Indies,v England,Leeds,22 Jul 1976,Test # 780
33,,,291,DNB,,West Indies,v England,The Oval,12 Aug 1976,Test # 781
34,,,32,92,,West Indies,v Pakistan,Bridgetown,18 Feb 1977,Test # 797
35,G Gambhir,11,67,104,,India,v Australia,Mohali,17 Oct 2008,Test # 1889
36,,,206,36,,India,v Australia,Delhi,29 Oct 2008,Test # 1891
37,,,19,66,,India,v England,Chennai,11 Dec 2008,Test # 1898
38,,,179,97,,India,v England,Mohali,19 Dec 2008,Test # 1901
39,,,72,30*,,India,v New Zealand,Hamilton,18 Mar 2009,Test # 1915
40,,,16,137,,India,v New Zealand,Napier,26 Mar 2009,Test # 1917
41,,,23,167,,India,v New Zealand,Wellington,3 Apr 2009,Test # 1918
42,,,1,114,,India,v Sri Lanka,Ahmedabad,16 Nov 2009,Test # 1933
43,,,167,-,,India,v Sri Lanka,Kanpur,24 Nov 2009,Test # 1935
44,,,23,116,,India,v Bangladesh,Chattogram,17 Jan 2010,Test # 1949
45,,,68,0*,,India,v Bangladesh,Mirpur,24 Jan 2010,Test # 1950
46,V Sehwag,11,16,51,,India,v Sri Lanka,Ahmedabad,16 Nov 2009,Test # 1933
47,,,131,-,,India,v Sri Lanka,Kanpur,24 Nov 2009,Test # 1935
48,,,293,-,,India,v Sri Lanka,Brabourne,2 Dec 2009,Test # 1937
49,,,52,45,,India,v Bangladesh,Chattogram,17 Jan 2010,Test # 1949
50,,,56,0*,,India,v Bangladesh,Mirpur,24 Jan 2010,Test # 1950
51,,,109,16,,India,v South Africa,Nagpur,6 Feb 2010,Test # 1951
52,,,165,-,,India,v South Africa,Kolkata,14 Feb 2010,Test # 1952
53,,,109,31,,India,v Sri Lanka,Galle,18 Jul 2010,Test # 1964
54,,,99,-,,India,v Sri Lanka,Colombo (SSC),26 Jul 2010,Test # 1966
55,,,109,0,,India,v Sri Lanka,Colombo (PSS),3 Aug 2010,Test # 1968
56,,,59,17,,India,v Australia,Mohali,1 Oct 2010,Test # 1972
57,Mominul Haque,11,181,22*,,Bangladesh,v New Zealand,Chattogram,9 Oct 2013,Test # 2097
58,,,47,126*,,Bangladesh,v New Zealand,Mirpur,21 Oct 2013,Test # 2099
59,,,8,50,,Bangladesh,v Sri Lanka,Mirpur,27 Jan 2014,Test # 2116
60,,,13,100*,,Bangladesh,v Sri Lanka,Chattogram,4 Feb 2014,Test # 2117
61,,,51,12,,Bangladesh,v West Indies,Kingstown,5 Sep 2014,Test # 2138
62,,,3,56,,Bangladesh,v West Indies,Gros Islet,13 Sep 2014,Test # 2139
63,,,53,0,,Bangladesh,v Zimbabwe,Mirpur,25 Oct 2014,Test # 2141
64,,,35,54,,Bangladesh,v Zimbabwe,Khulna,3 Nov 2014,Test # 2143
65,,,48,131*,,Bangladesh,v Zimbabwe,Chattogram,12 Nov 2014,Test # 2145
66,,,80,21,,Bangladesh,v Pakistan,Khulna,28 Apr 2015,Test # 2159
67,,,13,68,,Bangladesh,v Pakistan,Mirpur,6 May 2015,Test # 2161
68,JH Edrich,10,79,15,,England,v West Indies,Leeds,10 Jul 1969,Test # 655
69,,,16,115,,England,v New Zealand,Lord's,24 Jul 1969,Test # 656
70,,,155,-,,England,v New Zealand,Nottingham,7 Aug 1969,Test # 657
71,,,68,22,,England,v New Zealand,The Oval,21 Aug 1969,Test # 658
72,,,79,DNB,,England,v Australia,Brisbane,27 Nov 1970,Test # 674
73,,,47,115*,,England,v Australia,Perth,11 Dec 1970,Test # 675
74,,,55,12,,England,v Australia,Sydney,9 Jan 1971,Test # 676
75,,,9,74*,,England,v Australia,Melbourne,21 Jan 1971,Test # 677
76,,,130,40,,England,v Australia,Adelaide,29 Jan 1971,Test # 678
77,,,30,57,,England,v Australia,Sydney,12 Feb 1971,Test # 679
78,SR Tendulkar,10,53,-,,India,v Sri Lanka,Brabourne,2 Dec 2009,Test # 1937
79,,,105*,16,,India,v Bangladesh,Chattogram,17 Jan 2010,Test # 1949
