,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0
0,DG Bradman (AUS),1928-1948,52,80,10,6996,334,99.94,29,13,7
1,AC Voges (AUS),2015-2016,20,31,7,1485,269*,61.87,5,4,2
2,RG Pollock (SA),1963-1970,23,41,4,2256,274,60.97,7,11,1
3,GA Headley (WI),1930-1954,22,40,4,2190,270*,60.83,10,5,2
4,H Sutcliffe (ENG),1924-1935,54,84,9,4555,194,60.73,16,23,2
5,SPD Smith (AUS),2010-2022,87,154,18,8161,239,60.00,28,36,7
6,E Paynter (ENG),1931-1939,20,31,5,1540,243,59.23,4,7,3
7,KF Barrington (ENG),1955-1968,82,131,15,6806,256,58.67,20,35,5
8,ED Weekes (WI),1948-1958,48,81,5,4455,207,58.61,15,19,6
9,WR Hammond (ENG),1927-1947,85,140,16,7249,336*,58.45,22,24,4
10,GS Sobers (WI),1954-1974,93,160,21,8032,365*,57.78,26,30,12
11,KC Sangakkara (SL),2000-2015,134,233,17,12400,319,57.40,38,52,11
12,JB Hobbs (ENG),1908-1930,61,102,7,5410,211,56.94,15,28,4
13,CL Walcott (WI),1948-1960,44,74,7,3798,220,56.68,15,14,1
14,L Hutton (ENG),1937-1955,79,138,15,6971,364,56.67,19,33,5
15,JH Kallis (ICC/SA),1995-2013,166,280,40,13289,224,55.37,45,58,16
16,GE Tyldesley (ENG),1921-1929,14,20,2,990,122,55.00,3,6,2
17,CA Davis (WI),1968-1973,15,29,5,1301,183,54.20,4,4,1
18,VG Kambli (INDIA),1993-1995,17,21,1,1084,227,54.20,4,3,3
19,M Labuschagne (AUS),2018-2022,28,48,1,2539,215,54.02,7,13,3
20,GS Chappell (AUS),1970-1984,87,151,19,7110,247*,53.86,24,31,12
21,AD Nourse (SA),1935-1951,34,62,7,2960,231,53.81,9,14,3
22,SR Tendulkar (INDIA),1989-2013,200,329,33,15921,248*,53.78,51,68,14
23,BC Lara (ICC/WI),1990-2006,131,232,6,11953,400*,52.88,34,48,17
24,KS Williamson (NZ),2010-2022,88,154,14,7368,251,52.62,24,33,9
25,Javed Miandad (PAK),1976-1993,124,189,21,8832,280*,52.57,23,43,6
26,R Dravid (ICC/INDIA),1996-2012,164,286,32,13288,270,52.31,36,63,8
27,Mohammad Yousuf (PAK),1998-2010,90,156,12,7530,223,52.29,24,33,11
28,Younis Khan (PAK),2000-2017,118,213,19,10099,313,52.05,34,33,19
29,RT Ponting (AUS),1995-2012,168,287,29,13378,257,51.85,41,62,17
30,J Ryder (AUS),1920-1929,20,32,5,1394,201*,51.62,3,9,1
31,A Flower (ZIM),1992-2002,63,112,19,4794,232*,51.54,12,27,5
32,MEK Hussey (AUS),2005-2013,79,137,16,6235,195,51.52,19,29,12
33,S Chanderpaul (WI),1994-2015,164,280,49,11867,203*,51.37,30,66,15
34,SM Gavaskar (INDIA),1971-1987,125,214,16,10122,236*,51.12,34,45,12
35,SR Waugh (AUS),1985-2004,168,260,46,10927,200,51.06,32,50,22
36,ML Hayden (AUS),1994-2009,103,184,14,8625,380,50.73,30,29,14
37,AB de Villiers (SA),2004-2018,114,191,18,8765,278*,50.66,22,46,8
38,AR Border (AUS),1978-1994,156,265,44,11174,205,50.56,27,63,11
39,IVA Richards (WI),1974-1991,121,182,12,8540,291,50.23,24,45,10
40,DCS Compton (ENG),1937-1957,78,131,15,5807,278,50.06,17,28,10
41,JE Root (ENG),2012-2022,124,228,18,10504,254,50.01,28,54,11
42,DPMD Jayawardene (SL),1997-2014,149,252,15,11814,374,49.84,34,50,15
43,Inzamam-ul-Haq (ICC/PAK),1992-2007,120,200,22,8830,329,49.60,25,46,15
44,V Kohli (INDIA),2011-2022,102,173,10,8074,254*,49.53,27,28,14
45,FMM Worrell (WI),1948-1963,51,87,9,3860,261,49.48,9,22,11
46,CP Mead (ENG),1911-1928,17,26,2,1185,182*,49.37,4,3,3
47,V Sehwag (ICC/INDIA),2001-2013,104,180,6,8586,319,49.34,23,32,16
48,Abid Ali (PAK),2019-2021,16,26,2,1180,215*,49.16,4,3,2
49,MJ Clarke (AUS),2004-2015,115,198,22,8643,329*,49.10,28,27,9
50,KC Bland (SA),1961-1966,21,39,5,1669,144*,49.08,3,9,2
51,B Mitchell (SA),1929-1949,42,80,9,3471,189*,48.88,8,21,3
52,Hon.FS Jackson (ENG),1893-1905,20,33,4,1415,144*,48.79,5,6,3
53,TT Samaraweera (SL),2001-2013,81,132,20,5462,231,48.76,14,30,11
54,RN Harvey (AUS),1948-1963,79,137,10,6149,205,48.41,21,24,7
55,KD Walters (AUS),1965-1981,74,125,14,5357,250,48.26,15,33,4
56,GC Smith (ICC/SA),2002-2014,117,205,13,9265,277,48.25,27,38,11
57,WH Ponsford (AUS),1924-1934,29,48,4,2122,266,48.22,7,6,1
58,SJ McCabe (AUS),1930-1938,39,62,5,2748,232,48.21,6,13,4
59,DR Jardine (ENG),1928-1934,22,33,6,1296,127,48.00,1,10,2
