,Player,Runs,,Team,Opposition,Ground,Match Date,Scorecard
0,GS Sobers,365*,,West Indies,v Pakistan,Kingston,26 Feb 1958,Test # 450
1,RB Simpson,311,,Australia,v England,Manchester,23 Jul 1964,Test # 564
2,KK Nair,303*,,India,v England,Chennai,16 Dec 2016,Test # 2241
3,RE Foster,287,,England,v Australia,Sydney,11 Dec 1903,Test # 78
4,BC Lara,277,,West Indies,v Australia,Sydney,2 Jan 1993,Test # 1208
5,Zaheer Abbas,274,,Pakistan,v England,Birmingham,3 Jun 1971,Test # 687
6,Z Crawley,267,,England,v Pakistan,Southampton,21 Aug 2020,Test # 2393
7,RB Kanhai,256,,West Indies,v India,Kolkata,31 Dec 1958,Test # 463
8,DJ McGlew,255*,,South Africa,v New Zealand,Wellington,6 Mar 1953,Test # 368
9,WR Hammond,251,,England,v Australia,Sydney,14 Dec 1928,Test # 177
10,SFAF Bacchus,250,,West Indies,v India,Kanpur,2 Feb 1979,Test # 845
11,SG Barnes,234,,Australia,v England,Sydney,13 Dec 1946,Test # 280
12,AD Nourse,231,,South Africa,v Australia,Johannesburg,24 Dec 1935,Test # 248
13,VG Kambli,224,,India,v England,Wankhede,19 Feb 1993,Test # 1214
14,JA Rudolph,222*,,South Africa,v Bangladesh,Chattogram,24 Apr 2003,Test # 1640
15,RWT Key,221,,England,v West Indies,Lord's,22 Jul 2004,Test # 1707
16,WJ Edrich,219,,England,v South Africa,Durban,3 Mar 1939,Test # 271
17,DS Atkinson,219,,West Indies,v Australia,Bridgetown,14 May 1955,Test # 406
18,E Paynter,216*,,England,v Australia,Nottingham,10 Jun 1938,Test # 263
19,MA Agarwal,215,,India,v South Africa,Visakhapatnam,2 Oct 2019,Test # 2363
20,D Lloyd,214*,,England,v India,Birmingham,4 Jul 1974,Test # 741
21,LG Rowe,214,,West Indies,v New Zealand,Kingston,16 Feb 1972,Test # 693
22,MS Sinclair,214,,New Zealand,v West Indies,Wellington,26 Dec 1999,Test # 1478
23,HH Gibbs,211*,,South Africa,v New Zealand,Christchurch,11 Mar 1999,Test # 1449
24,Taslim Arif,210*,,Pakistan,v Australia,Faisalabad,6 Mar 1980,Test # 878
25,KR Mayers,210*,,West Indies,v Bangladesh,Chattogram,3 Feb 2021,Test # 2407
26,DM Jones,210,,Australia,v India,Chennai,18 Sep 1986,Test # 1052
27,Imtiaz Ahmed,209,,Pakistan,v New Zealand,Lahore,26 Oct 1955,Test # 414
28,SL Campbell,208,,West Indies,v New Zealand,Bridgetown,19 Apr 1996,Test # 1325
29,MP Donnelly,206,,New Zealand,v England,Lord's,25 Jun 1949,Test # 315
30,Aamer Sohail,205,,Pakistan,v England,Manchester,2 Jul 1992,Test # 1191
31,BJ Hodge,203*,,Australia,v South Africa,Perth,16 Dec 2005,Test # 1777
32,DSBP Kuruppu,201*,,Sri Lanka,v New Zealand,Colombo (CCC),16 Apr 1987,Test # 1074
33,GW Flower,201*,,Zimbabwe,v Pakistan,Harare,31 Jan 1995,Test # 1285
34,JN Gillespie,201*,,Australia,v Bangladesh,Chattogram,16 Apr 2006,Test # 1799
35,SE Gregory,201,,Australia,v England,Sydney,14 Dec 1894,Test # 42
36,SM Nurse,201,,West Indies,v Australia,Bridgetown,5 May 1965,Test # 589
37,DN Sardesai,200*,,India,v New Zealand,Brabourne,12 Mar 1965,Test # 582
38,Hashmatullah Shahidi,200*,,Afghanistan,v Zimbabwe,Abu Dhabi,10 Mar 2021,Test # 2415
39,GC Smith,200,,South Africa,v Bangladesh,East London,18 Oct 2002,Test # 1619
40,DP Conway,200,,New Zealand,v England,Lord's,2 Jun 2021,Test # 2422
