,Player,Runs,Total,%,Inns,,Team,Opposition,Ground,Match Date,Scorecard
0,C Bannerman,165*,245,67.34,1,,Australia,v England,Melbourne,15 Mar 1877,Test # 1
1,MJ Slater,123,184,66.84,3,,Australia,v England,Sydney,2 Jan 1999,Test # 1439
2,VVS Laxman,167,261,63.98,3,,India,v Australia,Sydney,2 Jan 2000,Test # 1481
3,KC Brathwaite,94,148,63.51,3,,West Indies,v Australia,Hobart,10 Dec 2015,Test # 2193
4,CG Greenidge,134,211,63.50,1,,West Indies,v England,Manchester,8 Jul 1976,Test # 779
5,AP Gurusinha,52*,82,63.41,2,,Sri Lanka,v India,Chandigarh,23 Nov 1990,Test # 1156
6,JR Reid,100,159,62.89,3,,New Zealand,v England,Christchurch,15 Mar 1963,Test # 542
7,SM Nurse,258,417,61.87,1,,West Indies,v New Zealand,Christchurch,13 Mar 1969,Test # 652
8,M Amarnath,60,97,61.85,3,,India,v West Indies,Kingston,21 Apr 1976,Test # 776
9,GN Yallop,121,198,61.11,1,,Australia,v England,Sydney,10 Feb 1979,Test # 846
10,GA Gooch,154*,252,61.11,3,,England,v West Indies,Leeds,6 Jun 1991,Test # 1171
11,V Sehwag,201*,329,61.09,1,,India,v Sri Lanka,Galle,31 Jul 2008,Test # 1884
12,KL Rahul,64,105,60.95,2,,India,v Australia,Pune,23 Feb 2017,Test # 2250
13,VT Trumper,74,122,60.65,2,,Australia,v England,Melbourne,1 Jan 1904,Test # 79
14,HA Gomes,91,151,60.26,3,,West Indies,v India,Chennai,12 Jan 1979,Test # 841
15,JT Tyldesley,62,103,60.19,3,,England,v Australia,Melbourne,1 Jan 1904,Test # 79
16,N Kapil Dev,129,215,60.00,3,,India,v South Africa,Gqeberha,26 Dec 1992,Test # 1206
17,HW Taylor,109,182,59.89,1,,South Africa,v England,Durban,13 Dec 1913,Test # 130
18,JH Sinclair,106,177,59.88,2,,South Africa,v England,Cape Town,1 Apr 1899,Test # 59
19,Saeed Ahmed,68,114,59.64,3,,Pakistan,v England,Nottingham,10 Aug 1967,Test # 622
20,MG Burgess,119*,200,59.50,3,,New Zealand,v Pakistan,Dhaka,8 Nov 1969,Test # 665
21,Saeed Anwar,188*,316,59.49,3,,Pakistan,v India,Kolkata,16 Feb 1999,Test # 1444
22,BC Lara,176,296,59.45,1,,West Indies,v South Africa,Bridgetown,21 Apr 2005,Test # 1749
23,RG Pollock,209,353,59.20,2,,South Africa,v Australia,Cape Town,31 Dec 1966,Test # 613
24,B Sutcliffe,74,125,59.20,1,,New Zealand,v England,Dunedin,11 Mar 1955,Test # 401
25,DG Bradman,334,566,59.01,1,,Australia,v England,Leeds,11 Jul 1930,Test # 196
26,MN Samuels,123,209,58.85,2,,West Indies,v New Zealand,Kingston,2 Aug 2012,Test # 2052
27,KC Sangakkara,100*,170,58.82,3,,Sri Lanka,v New Zealand,Christchurch,7 Dec 2006,Test # 1820
28,L Hutton,202*,344,58.72,2,,England,v West Indies,The Oval,12 Aug 1950,Test # 326
29,DG Bradman,299*,513,58.28,2,,Australia,v South Africa,Adelaide,29 Jan 1932,Test # 215
30,KC Sangakkara,156*,268,58.20,1,,Sri Lanka,v New Zealand,Wellington,15 Dec 2006,Test # 1822
31,C Hill,188,323,58.20,1,,Australia,v England,Melbourne,29 Jan 1898,Test # 56
32,Litton Das,25,43,58.13,1,,Bangladesh,v West Indies,North Sound,4 Jul 2018,Test # 2310
33,BF Butcher,133,229,58.07,3,,West Indies,v England,Lord's,20 Jun 1963,Test # 544
34,GM Turner,223*,386,57.77,2,,New Zealand,v West Indies,Kingston,16 Feb 1972,Test # 693
35,ST Jayasuriya,253,438,57.76,3,,Sri Lanka,v Pakistan,Faisalabad,20 Oct 2004,Test # 1716
36,L Hutton,30,52,57.69,1,,England,v Australia,The Oval,14 Aug 1948,Test # 303
37,Inzamam-ul-Haq,95,165,57.57,4,,Pakistan,v South Africa,Johannesburg,19 Jan 1995,Test # 1283
38,CL Walcott,220,383,57.44,1,,West Indies,v England,Bridgetown,6 Feb 1954,Test # 383
39,L Hutton,156*,272,57.35,2,,England,v Australia,Adelaide,2 Feb 1951,Test # 330
40,Asif Iqbal,146,255,57.25,3,,Pakistan,v England,The Oval,24 Aug 1967,Test # 623
