,Player,1st,2nd,,Team,Opposition,Ground,Match Date,Scorecard
0,WL Murdoch,0,153*,,Australia,v England,The Oval,6 Sep 1880,Test # 4
1,GHS Trott,0,143,,Australia,v England,Lord's,22 Jun 1896,Test # 50
2,C Hill,188,0,,Australia,v England,Melbourne,29 Jan 1898,Test # 56
3,JH Sinclair,0,104,,South Africa,v Australia,Cape Town,8 Nov 1902,Test # 77
4,LC Braund,102,0,,England,v Australia,Sydney,11 Dec 1903,Test # 78
5,JT Tyldesley,0,100,,England,v Australia,Leeds,3 Jul 1905,Test # 85
6,G Gunn,122*,0,,England,v Australia,Sydney,21 Feb 1908,Test # 100
7,GA Faulkner,122*,0,,South Africa,v Australia,Manchester,27 May 1912,Test # 121
8,RH Catterall,0,120,,South Africa,v England,Birmingham,14 Jun 1924,Test # 153
9,FE Woolley,0,123,,England,v Australia,Sydney,19 Dec 1924,Test # 158
10,GB Legge,196,0,,England,v New Zealand,Auckland,21 Feb 1930,Test # 191
11,DG Bradman,0,103*,,Australia,v England,Melbourne,30 Dec 1932,Test # 221
12,IM Barrow,105,0,,West Indies,v England,Manchester,22 Jul 1933,Test # 228
13,AD Nourse,0,231,,South Africa,v Australia,Johannesburg,24 Dec 1935,Test # 248
14,JHW Fingleton,100,0,,Australia,v England,Brisbane,4 Dec 1936,Test # 255
15,MH Mankad,111,0,,India,v Australia,Melbourne,6 Feb 1948,Test # 295
16,DG Bradman,138,0,,Australia,v England,Nottingham,10 Jun 1948,Test # 299
17,SG Barnes,0,141,,Australia,v England,Lord's,24 Jun 1948,Test # 300
18,DCS Compton,145*,0,,England,v Australia,Manchester,8 Jul 1948,Test # 301
19,L Hutton,101,0,,England,v New Zealand,Leeds,11 Jun 1949,Test # 314
20,P Roy,140,0,,India,v England,Brabourne,14 Dec 1951,Test # 342
21,VL Manjrekar,133,0,,India,v England,Leeds,5 Jun 1952,Test # 351
22,ML Apte,0,163*,,India,v West Indies,Port of Spain,19 Feb 1953,Test # 367
23,RN Harvey,122,0,,Australia,v England,Manchester,9 Jul 1953,Test # 374
24,PBH May,0,112,,England,v South Africa,Lord's,23 Jun 1955,Test # 409
25,Imtiaz Ahmed,209,0,,Pakistan,v New Zealand,Lahore,26 Oct 1955,Test # 414
26,Imtiaz Ahmed,122,0,,Pakistan,v West Indies,Kingston,26 Feb 1958,Test # 450
27,MC Cowdrey,119,0,,England,v West Indies,Port of Spain,25 Mar 1960,Test # 491
28,Hanif Mohammad,160,0,,Pakistan,v India,Brabourne,2 Dec 1960,Test # 497
29,FCM Alexander,0,108,,West Indies,v Australia,Sydney,13 Jan 1961,Test # 502
30,Javed Burki,140,0,,Pakistan,v England,Dhaka,19 Jan 1962,Test # 521
31,Rev.DS Sheppard,0,113,,England,v Australia,Melbourne,29 Dec 1962,Test # 536
32,EJ Barlow,114,0,,South Africa,v Australia,Brisbane,6 Dec 1963,Test # 548
33,VL Manjrekar,108,0,,India,v England,Chennai,10 Jan 1964,Test # 551
34,GT Dowling,129,0,,New Zealand,v India,Brabourne,12 Mar 1965,Test # 582
35,SM Nurse,201,0,,West Indies,v Australia,Bridgetown,5 May 1965,Test # 589
36,MC Cowdrey,101,0,,England,v West Indies,Kingston,8 Feb 1968,Test # 629
37,GS Sobers,0,113*,,West Indies,v England,Kingston,8 Feb 1968,Test # 629
38,IR Redpath,0,132,,Australia,v West Indies,Sydney,14 Feb 1969,Test # 646
39,BF Hastings,0,117*,,New Zealand,v West Indies,Christchurch,13 Mar 1969,Test # 652
40,CA Davis,103,0,,West Indies,v England,Lord's,26 Jun 1969,Test # 654
41,GR Viswanath,0,137,,India,v Australia,Kanpur,15 Nov 1969,Test # 666
42,IM Chappell,138,0,,Australia,v India,Delhi,28 Nov 1969,Test # 667
43,GS Sobers,132,0,,West Indies,v India,Port of Spain,13 Apr 1971,Test # 686
44,DL Amiss,158,0,,England,v Pakistan,Hyderabad (Sind),16 Mar 1973,Test # 717
45,AI Kallicharran,0,103*,,West Indies,v India,Port of Spain,7 Apr 1976,Test # 775
46,RC Fredericks,0,138,,West Indies,v England,Lord's,17 Jun 1976,Test # 778
47,Asif Iqbal,0,152*,,Pakistan,v Australia,Adelaide,24 Dec 1976,Test # 789
48,IC Davis,105,0,,Australia,v Pakistan,Adelaide,24 Dec 1976,Test # 789
49,RB McCosker,0,105,,Australia,v Pakistan,Melbourne,1 Jan 1977,Test # 790
50,Sadiq Mohammad,105,0,,Pakistan,v Australia,Melbourne,1 Jan 1977,Test # 790
51,SM Gavaskar,0,118,,India,v Australia,Melbourne,30 Dec 1977,Test # 812
52,CS Serjeant,0,124,,Australia,v West Indies,Georgetown,31 Mar 1978,Test # 822
53,Asif Iqbal,0,104,,Pakistan,v India,Faisalabad,16 Oct 1978,Test # 831
54,DW Randall,0,150,,England,v Australia,Sydney,6 Jan 1979,Test # 840
55,DB Vengsarkar,0,103,,India,v England,Lord's,2 Aug 1979,Test # 852
56,DL Haynes,0,122,,West Indies,v New Zealand,Christchurch,22 Feb 1980,Test # 875
57,CL King,0,100*,,West Indies,v New Zealand,Christchurch,22 Feb 1980,Test # 875
58,IVA Richards,0,182*,,West Indies,v England,Bridgetown,13 Mar 1981,Test # 900
59,IT Botham,0,118,,England,v Australia,Manchester,13 Aug 1981,Test # 907
60,GN Yallop,0,114,,Australia,v England,Manchester,13 Aug 1981,Test # 907
61,G Boycott,137,0,,England,v Australia,The Oval,27 Aug 1981,Test # 908
62,IVA Richards,208,0,,West Indies,v Australia,Melbourne,22 Dec 1984,Test # 1005
