,Player,1st,2nd,,Team,Opposition,Ground,Match Date,Scorecard
0,PA Gibb,93,106,,England,v South Africa,Johannesburg,24 Dec 1938,Test # 267
1,PGV van der Bijl,125,97,,South Africa,v England,Durban,3 Mar 1939,Test # 271
2,CG Borde,109,96,,India,v West Indies,Delhi,6 Feb 1959,Test # 467
3,MC Cowdrey,114,97,,England,v West Indies,Kingston,17 Feb 1960,Test # 489
4,KF Barrington,101,94,,England,v Australia,Sydney,15 Feb 1963,Test # 539
5,Hanif Mohammad,104,93,,Pakistan,v Australia,Melbourne,4 Dec 1964,Test # 570
6,RM Cowper,92,108,,Australia,v India,Adelaide,23 Dec 1967,Test # 624
7,GS Sobers,152,95*,,West Indies,v England,Georgetown,28 Mar 1968,Test # 636
8,SM Nurse,95,168,,West Indies,v New Zealand,Auckland,27 Feb 1969,Test # 648
9,APE Knott,101,96,,England,v New Zealand,Auckland,5 Mar 1971,Test # 682
10,G Boycott,99,112,,England,v West Indies,Port of Spain,30 Mar 1974,Test # 738
11,CG Greenidge,93,107,,West Indies,v India,Bengaluru,22 Nov 1974,Test # 745
12,M Amarnath,90,100,,India,v Australia,Perth,16 Dec 1977,Test # 811
13,PM Toohey,122,97,,Australia,v West Indies,Kingston,28 Apr 1978,Test # 824
14,Zaheer Abbas,176,96,,Pakistan,v India,Faisalabad,16 Oct 1978,Test # 831
15,Mohsin Khan,94,101*,,Pakistan,v India,Lahore,10 Dec 1982,Test # 941
16,AR Border,98*,100*,,Australia,v West Indies,Port of Spain,16 Mar 1984,Test # 983
17,LRD Mendis,111,94,,Sri Lanka,v England,Lord's,23 Aug 1984,Test # 994
18,PA de Silva,96,123,,Sri Lanka,v New Zealand,Auckland,1 Mar 1991,Test # 1165
19,Saeed Anwar,94,136,,Pakistan,v Sri Lanka,Colombo (PSS),9 Aug 1994,Test # 1265
20,MA Atherton,94*,118,,England,v New Zealand,Christchurch,14 Feb 1997,Test # 1355
21,MA Taylor,334*,92,,Australia,v Pakistan,Peshawar,15 Oct 1998,Test # 1426
22,Younis Khan,91,149*,,Pakistan,v New Zealand,Auckland,8 Mar 2001,Test # 1533
23,BC Lara,91,122,,West Indies,v Australia,Port of Spain,19 Apr 2003,Test # 1639
24,JH Kallis,92,150*,,South Africa,v New Zealand,Hamilton,10 Mar 2004,Test # 1686
25,MH Richardson,93,101,,New Zealand,v England,Lord's,20 May 2004,Test # 1700
26,S Chanderpaul,128*,97*,,West Indies,v England,Lord's,22 Jul 2004,Test # 1707
27,DR Martyn,114,97,,Australia,v India,Nagpur,26 Oct 2004,Test # 1718
28,JL Langer,191,97,,Australia,v Pakistan,Perth,16 Dec 2004,Test # 1726
29,AJ Strauss,126,94*,,England,v South Africa,Gqeberha,17 Dec 2004,Test # 1728
30,HH Gibbs,161,98,,South Africa,v England,Johannesburg,13 Jan 2005,Test # 1734
31,AB de Villiers,92,109,,South Africa,v England,Centurion,21 Jan 2005,Test # 1736
32,S Chanderpaul,92,153*,,West Indies,v Pakistan,Bridgetown,26 May 2005,Test # 1752
33,KC Sangakkara,92,152,,Sri Lanka,v England,Kandy,1 Dec 2007,Test # 1851
34,SC Ganguly,239,91,,India,v Pakistan,Bengaluru,8 Dec 2007,Test # 1852
35,ND McKenzie,94,155*,,South Africa,v India,Chennai,26 Mar 2008,Test # 1870
36,G Gambhir,179,97,,India,v England,Mohali,19 Dec 2008,Test # 1901
37,RT Ponting,101,99,,Australia,v South Africa,Melbourne,26 Dec 2008,Test # 1902
38,RR Sarwan,94,106,,West Indies,v England,St John's,15 Feb 2009,Test # 1908
39,AN Cook,94,139*,,England,v West Indies,Bridgetown,26 Feb 2009,Test # 1911
40,TM Dilshan,92,123*,,Sri Lanka,v New Zealand,Galle,18 Aug 2009,Test # 1930
41,SR Watson,93,120*,,Australia,v Pakistan,Melbourne,26 Dec 2009,Test # 1943
42,AN Cook,96,106,,England,v Sri Lanka,Lord's,3 Jun 2011,Test # 1995
43,MEK Hussey,118,93,,Australia,v Sri Lanka,Colombo (SSC),16 Sep 2011,Test # 2008
44,V Kohli,119,96,,India,v South Africa,Johannesburg,18 Dec 2013,Test # 2108
45,AD Mathews,91,157*,,Sri Lanka,v Pakistan,Abu Dhabi,31 Dec 2013,Test # 2112
46,Mohammad Hafeez,96,101*,,Pakistan,v New Zealand,Abu Dhabi,9 Nov 2014,Test # 2144
47,BA Stokes,92,101,,England,v New Zealand,Lord's,21 May 2015,Test # 2162
48,HM Amla,109,96,,South Africa,v England,Centurion,22 Jan 2016,Test # 2200
49,KC Brathwaite,134,95,,West Indies,v England,Leeds,25 Aug 2017,Test # 2271
50,V Kohli,97,103,,India,v England,Nottingham,18 Aug 2018,Test # 2316
51,Abid Ali,133,91,,Pakistan,v Bangladesh,Chattogram,26 Nov 2021,Test # 2436
52,UT Khawaja,91,104*,,Australia,v Pakistan,Lahore,21 Mar 2022,Test # 2458
