,Player,1st,2nd,,Team,Opposition,Ground,Match Date,Scorecard
0,W Bardsley,136,130,,Australia,v England,The Oval,9 Aug 1909,Test # 105
1,CAG Russell,140,111,,England,v South Africa,Durban,16 Feb 1923,Test # 152
2,H Sutcliffe,176,127,,England,v Australia,Melbourne,1 Jan 1925,Test # 159
3,WR Hammond,119*,177,,England,v Australia,Adelaide,1 Feb 1929,Test # 179
4,H Sutcliffe,104,109*,,England,v South Africa,The Oval,17 Aug 1929,Test # 185
5,GA Headley,114,112,,West Indies,v England,Georgetown,21 Feb 1930,Test # 192
6,E Paynter,117,100,,England,v South Africa,Johannesburg,24 Dec 1938,Test # 267
7,GA Headley,106,107,,West Indies,v England,Lord's,24 Jun 1939,Test # 272
8,DCS Compton,147,103*,,England,v Australia,Adelaide,31 Jan 1947,Test # 282
9,AR Morris,122,124*,,Australia,v England,Adelaide,31 Jan 1947,Test # 282
10,A Melville,189,104*,,South Africa,v England,Nottingham,7 Jun 1947,Test # 285
11,B Mitchell,120,189*,,South Africa,v England,The Oval,16 Aug 1947,Test # 289
12,DG Bradman,132,127*,,Australia,v India,Melbourne,1 Jan 1948,Test # 292
13,VS Hazare,116,145,,India,v Australia,Adelaide,23 Jan 1948,Test # 294
14,ED Weekes,162,101,,West Indies,v India,Kolkata,31 Dec 1948,Test # 308
15,J Moroney,118,101*,,Australia,v South Africa,Johannesburg,10 Feb 1950,Test # 321
16,CL Walcott,126,110,,West Indies,v Australia,Port of Spain,11 Apr 1955,Test # 404
17,CL Walcott,155,110,,West Indies,v Australia,Kingston,11 Jun 1955,Test # 408
18,GS Sobers,125,109*,,West Indies,v Pakistan,Georgetown,13 Mar 1958,Test # 452
19,RB Kanhai,117,115,,West Indies,v Australia,Adelaide,27 Jan 1961,Test # 504
20,Hanif Mohammad,111,104,,Pakistan,v England,Dhaka,19 Jan 1962,Test # 521
21,RB Simpson,153,115,,Australia,v Pakistan,Karachi,24 Oct 1964,Test # 569
22,KD Walters,242,103,,Australia,v West Indies,Sydney,14 Feb 1969,Test # 646
23,SM Gavaskar,124,220,,India,v West Indies,Port of Spain,13 Apr 1971,Test # 686
24,LG Rowe,214,100*,,West Indies,v New Zealand,Kingston,16 Feb 1972,Test # 693
25,GS Chappell,247*,133,,Australia,v New Zealand,Wellington,1 Mar 1974,Test # 733
26,IM Chappell,145,121,,Australia,v New Zealand,Wellington,1 Mar 1974,Test # 733
27,GM Turner,101,110*,,New Zealand,v Australia,Christchurch,8 Mar 1974,Test # 735
28,GS Chappell,123,109*,,Australia,v West Indies,Brisbane,28 Nov 1975,Test # 764
29,CG Greenidge,134,101,,West Indies,v England,Manchester,8 Jul 1976,Test # 779
30,GP Howarth,122,102,,New Zealand,v England,Auckland,4 Mar 1978,Test # 820
31,SM Gavaskar,111,137,,India,v Pakistan,Karachi,14 Nov 1978,Test # 833
32,SM Gavaskar,107,182*,,India,v West Indies,Kolkata,29 Dec 1978,Test # 839
33,AR Border,150*,153,,Australia,v Pakistan,Lahore,18 Mar 1980,Test # 879
34,LRD Mendis,105,105,,Sri Lanka,v India,Chennai,17 Sep 1982,Test # 934
35,Javed Miandad,104,103*,,Pakistan,v New Zealand,Hyderabad (Sind),25 Nov 1984,Test # 1000
36,AR Border,140,114*,,Australia,v New Zealand,Christchurch,28 Feb 1986,Test # 1038
37,DM Jones,116,121*,,Australia,v Pakistan,Adelaide,19 Jan 1990,Test # 1135
38,GA Gooch,333,123,,England,v India,Lord's,26 Jul 1990,Test # 1148
39,AP Gurusinha,119,102,,Sri Lanka,v New Zealand,Hamilton,22 Feb 1991,Test # 1164
40,AH Jones,122,100*,,New Zealand,v Sri Lanka,Hamilton,22 Feb 1991,Test # 1164
41,AJ Stewart,118,143,,England,v West Indies,Bridgetown,8 Apr 1994,Test # 1258
42,G Kirsten,102,133,,South Africa,v India,Kolkata,27 Nov 1996,Test # 1341
43,PA de Silva,138*,103*,,Sri Lanka,v Pakistan,Colombo (SSC),26 Apr 1997,Test # 1367
44,SR Waugh,108,116,,Australia,v England,Manchester,3 Jul 1997,Test # 1372
45,PA de Silva,146,120,,Sri Lanka,v India,Colombo (SSC),9 Aug 1997,Test # 1376
46,GW Flower,104,151,,Zimbabwe,v New Zealand,Harare,18 Sep 1997,Test # 1378
47,R Dravid,190,103*,,India,v New Zealand,Hamilton,2 Jan 1999,Test # 1438
48,Wajahatullah Wasti,133,121*,,Pakistan,v Sri Lanka,Lahore,4 Mar 1999,Test # 1447
49,A Flower,142,199*,,Zimbabwe,v South Africa,Harare,7 Sep 2001,Test # 1562
50,BC Lara,221,130,,West Indies,v Sri Lanka,Colombo (SSC),29 Nov 2001,Test # 1572
51,ML Hayden,197,103,,Australia,v England,Brisbane,7 Nov 2002,Test # 1623
52,Yasir Hameed,170,105,,Pakistan,v Bangladesh,Karachi,20 Aug 2003,Test # 1655
53,ML Hayden,117,132,,Australia,v Sri Lanka,Cairns,9 Jul 2004,Test # 1706
54,MP Vaughan,103,101*,,England,v West Indies,Lord's,22 Jul 2004,Test # 1707
55,ME Trescothick,105,107,,England,v West Indies,Birmingham,29 Jul 2004,Test # 1708
56,R Dravid,110,135,,India,v Pakistan,Kolkata,16 Mar 2005,Test # 1741
57,RT Ponting,149,104*,,Australia,v West Indies,Brisbane,3 Nov 2005,Test # 1769
58,Inzamam-ul-Haq,109,100*,,Pakistan,v England,Faisalabad,20 Nov 2005,Test # 1772
59,RT Ponting,120,143*,,Australia,v South Africa,Sydney,2 Jan 2006,Test # 1780
60,RT Ponting,103,116,,Australia,v South Africa,Durban,24 Mar 2006,Test # 1792
61,Mohammad Yousuf,102,124,,Pakistan,v West Indies,Karachi,27 Nov 2006,Test # 1818
62,JH Kallis,155,100*,,South Africa,v Pakistan,Karachi,1 Oct 2007,Test # 1843
63,AJ Strauss,123,108,,England,v India,Chennai,11 Dec 2008,Test # 1898
64,TM Dilshan,162,143,,Sri Lanka,v Bangladesh,Chattogram,3 Jan 2009,Test # 1905
65,PJ Hughes,115,160,,Australia,v South Africa,Durban,6 Mar 2009,Test # 1913
66,HM Amla,114,123*,,South Africa,v India,Kolkata,14 Feb 2010,Test # 1952
67,JH Kallis,161,109*,,South Africa,v India,Cape Town,2 Jan 2011,Test # 1988
68,KOA Powell,117,110,,West Indies,v Bangladesh,Mirpur,13 Nov 2012,Test # 2057
69,KC Sangakkara,142,105,,Sri Lanka,v Bangladesh,Galle,8 Mar 2013,Test # 2078
70,PG Fulton,136,110,,New Zealand,v England,Auckland,22 Mar 2013,Test # 2084
71,BRM Taylor,171,102*,,Zimbabwe,v Bangladesh,Harare,17 Apr 2013,Test # 2086
72,KC Sangakkara,319,105,,Sri Lanka,v Bangladesh,Chattogram,4 Feb 2014,Test # 2117
73,DA Warner,135,145,,Australia,v South Africa,Cape Town,1 Mar 2014,Test # 2122
74,Younis Khan,106,103*,,Pakistan,v Australia,Dubai (DSC),22 Oct 2014,Test # 2140
75,Azhar Ali,109,100*,,Pakistan,v Australia,Abu Dhabi,30 Oct 2014,Test # 2142
76,Misbah-ul-Haq,101,101*,,Pakistan,v Australia,Abu Dhabi,30 Oct 2014,Test # 2142
77,V Kohli,115,141,,India,v Australia,Adelaide,9 Dec 2014,Test # 2148
78,DA Warner,145,102,,Australia,v India,Adelaide,9 Dec 2014,Test # 2148
79,DA Warner,163,116,,Australia,v New Zealand,Brisbane,5 Nov 2015,Test # 2185
80,AM Rahane,127,100*,,India,v South Africa,Delhi,3 Dec 2015,Test # 2191
