,Player,Runs,,Team,Opposition,Ground,Match Date,Scorecard
0,MC Cowdrey,104,,England,v Australia,Birmingham,11 Jul 1968,Test # 639
1,Javed Miandad,145,,Pakistan,v India,Lahore,1 Dec 1989,Test # 1130
2,CG Greenidge,149,,West Indies,v England,St John's,12 Apr 1990,Test # 1144
3,AJ Stewart,105,,England,v West Indies,Manchester,3 Aug 2000,Test # 1506
4,Inzamam-ul-Haq,184,,Pakistan,v India,Bengaluru,24 Mar 2005,Test # 1743
5,RT Ponting,120,,Australia,v South Africa,Sydney,2 Jan 2006,Test # 1780
6,RT Ponting,143*,,Australia,v South Africa,Sydney,2 Jan 2006,Test # 1780
7,GC Smith,131,,South Africa,v England,The Oval,19 Jul 2012,Test # 2049
8,HM Amla,134,,South Africa,v Sri Lanka,Johannesburg,12 Jan 2017,Test # 2247
9,JE Root,218,,England,v India,Chennai,5 Feb 2021,Test # 2409
