,Player,Runs,Mins,Balls,4s,6s,,Team,Opposition,Ground,Match Date,Scorecard
0,H Wood,134*,-,-,-,0,,England,v South Africa,Cape Town,19 Mar 1892,Test # 37
1,AJL Hill,124,-,-,-,0,,England,v South Africa,Cape Town,21 Mar 1896,Test # 49
2,RA Duff,146,197,-,21,0,,Australia,v England,The Oval,14 Aug 1905,Test # 87
3,J Sharp,105,170,-,11,0,,England,v Australia,The Oval,9 Aug 1909,Test # 105
4,CAG Russell,140,-,-,11,0,,England,v South Africa,Durban,16 Feb 1923,Test # 152
5,CAG Russell,111,270,-,-,0,,England,v South Africa,Durban,16 Feb 1923,Test # 152
6,GB Legge,196,280,-,23,0,,England,v New Zealand,Auckland,21 Feb 1930,Test # 191
7,A Sandham,325,600,640,28,0,,England,v West Indies,Kingston,3 Apr 1930,Test # 193
8,FR Martin,123*,347,-,11,0,,West Indies,v Australia,Sydney,27 Feb 1931,Test # 208
9,WH Ponsford,266,460,422,27,0,,Australia,v England,The Oval,18 Aug 1934,Test # 237
10,M Leyland,187,381,438,17,0,,England,v Australia,The Oval,20 Aug 1938,Test # 266
11,PGV van der Bijl,125,428,-,11,1,,South Africa,v England,Durban,3 Mar 1939,Test # 271
12,KH Weekes,137,135,-,18,1,,West Indies,v England,The Oval,19 Aug 1939,Test # 274
13,AG Ganteaume,112,-,-,13,0,,West Indies,v England,Port of Spain,11 Feb 1948,Test # 296
14,W Place,107,-,-,-,0,,England,v West Indies,Kingston,27 Mar 1948,Test # 298
15,VM Merchant,154,450,-,-,0,,India,v England,Delhi,2 Nov 1951,Test # 339
16,R Subba Row,137,385,-,15,1,,England,v Australia,The Oval,17 Aug 1961,Test # 511
17,VL Manjrekar,102*,200,-,14,0,,India,v New Zealand,Chennai,27 Feb 1965,Test # 579
18,C Milburn,139,-,-,17,1,,England,v Pakistan,Karachi,6 Mar 1969,Test # 650
19,SM Nurse,258,476,-,34,1,,West Indies,v New Zealand,Christchurch,13 Mar 1969,Test # 652
20,BA Richards,126,236,212,16,3,,South Africa,v Australia,Gqeberha,5 Mar 1970,Test # 673
21,BL Irvine,102,178,146,9,2,,South Africa,v Australia,Gqeberha,5 Mar 1970,Test # 673
22,RE Redmond,107,145,-,20,0,,New Zealand,v Pakistan,Auckland,16 Feb 1973,Test # 713
23,IR Redpath,101,325,230,11,0,,Australia,v West Indies,Melbourne,31 Jan 1976,Test # 770
24,GS Chappell,182,530,400,17,0,,Australia,v Pakistan,Sydney,2 Jan 1984,Test # 974
25,M Azharuddin,102,224,170,13,2,,India,v South Africa,Bengaluru,2 Mar 2000,Test # 1486
26,MW Goodwin,148*,335,250,20,0,,Zimbabwe,v England,Nottingham,1 Jun 2000,Test # 1498
27,Saeed Anwar,101,131,104,17,1,,Pakistan,v Bangladesh,Multan,29 Aug 2001,Test # 1560
28,PA de Silva,206,318,234,28,1,,Sri Lanka,v Bangladesh,Colombo (PSS),21 Jul 2002,Test # 1609
29,ML Love,100*,176,154,7,0,,Australia,v Bangladesh,Cairns,25 Jul 2003,Test # 1652
30,N Hussain,103*,295,204,15,0,,England,v New Zealand,Lord's,20 May 2004,Test # 1700
31,JN Gillespie,201*,574,425,26,2,,Australia,v Bangladesh,Chattogram,16 Apr 2006,Test # 1799
32,PA Jaques,108,303,224,9,0,,Australia,v West Indies,Bridgetown,12 Jun 2008,Test # 1879
33,JH Kallis,115,393,316,13,0,,South Africa,v India,Durban,26 Dec 2013,Test # 2111
34,BB McCullum,145,124,79,21,6,,New Zealand,v Australia,Christchurch,20 Feb 2016,Test # 2202
35,AN Cook,147,389,286,14,0,,England,v India,The Oval,7 Sep 2018,Test # 2318
36,KR Patterson,114*,231,192,14,1,,Australia,v Sri Lanka,Canberra,1 Feb 2019,Test # 2345
37,CR Ervine,107,-,227,13,0,,Zimbabwe,v Bangladesh,Mirpur,22 Feb 2020,Test # 2386
38,Hashmatullah Shahidi,200*,590,443,21,1,,Afghanistan,v Zimbabwe,Abu Dhabi,10 Mar 2021,Test # 2415
39,Asghar Afghan,164,370,257,14,2,,Afghanistan,v Zimbabwe,Abu Dhabi,10 Mar 2021,Test # 2415
40,SC Williams,151*,465,309,13,1,,Zimbabwe,v Afghanistan,Abu Dhabi,10 Mar 2021,Test # 2415
41,Mahmudullah,150*,413,278,17,1,,Bangladesh,v Zimbabwe,Harare,7 Jul 2021,Test # 2427
42,Mushfiqur Rahim,175*,527,355,21,0,,Bangladesh,v Sri Lanka,Mirpur,23 May 2022,Test # 2463
43,DJ Mitchell,109,342,228,9,3,,New Zealand,v England,Leeds,23 Jun 2022,Test # 2467
44,KR Mayers,146,307,208,18,2,,West Indies,v Bangladesh,Gros Islet,24 Jun 2022,Test # 2468
45,RR Pant,146,219,111,19,4,,India,v England,Birmingham,1 Jul 2022,Test # 2470
46,RA Jadeja,104,269,194,13,0,,India,v England,Birmingham,1 Jul 2022,Test # 2470
47,M Labuschagne,104,216,156,12,0,,Australia,v Sri Lanka,Galle,8 Jul 2022,Test # 2471
48,SPD Smith,145*,368,272,16,0,,Australia,v Sri Lanka,Galle,8 Jul 2022,Test # 2471
49,DM de Silva,109,242,171,16,0,,Sri Lanka,v Pakistan,Galle,24 Jul 2022,Test # 2473
