,Player,Runs,Mins,Balls,4s,6s,,Team,Opposition,Ground,Match Date,Scorecard
0,C Bannerman,165*,285,-,18,0,,Australia,v England,Melbourne,15 Mar 1877,Test # 1
1,WG Grace,152,251,294,12,0,,England,v Australia,The Oval,6 Sep 1880,Test # 4
2,H Graham,107,140,-,12,0,,Australia,v England,Lord's,17 Jul 1893,Test # 39
3,KS Ranjitsinhji,154*,185,-,23,0,,England,v Australia,Manchester,16 Jul 1896,Test # 51
4,PF Warner,132*,-,-,-,0,,England,v South Africa,Johannesburg,14 Feb 1899,Test # 58
5,RA Duff,104,206,-,11,-,,Australia,v England,Melbourne,1 Jan 1902,Test # 66
6,RE Foster,287,419,-,37,0,,England,v Australia,Sydney,11 Dec 1903,Test # 78
7,G Gunn,119,150,-,20,0,,England,v Australia,Sydney,13 Dec 1907,Test # 96
8,MJ Hartigan,116,254,-,12,0,,Australia,v England,Adelaide,10 Jan 1908,Test # 98
9,HL Collins,104,219,278,11,0,,Australia,v England,Sydney,17 Dec 1920,Test # 135
10,WH Ponsford,110,228,275,8,0,,Australia,v England,Sydney,19 Dec 1924,Test # 158
11,A Jackson,164,318,331,15,0,,Australia,v England,Adelaide,1 Feb 1929,Test # 179
12,GA Headley,176,-,-,-,0,,West Indies,v England,Bridgetown,11 Jan 1930,Test # 187
13,JE Mills,117,258,-,12,0,,New Zealand,v England,Wellington,24 Jan 1930,Test # 188
14,Nawab of Pataudi,102,327,380,6,0,,England,v Australia,Sydney,2 Dec 1932,Test # 220
15,BH Valentine,136,180,-,12,1,,England,v India,Mumbai,15 Dec 1933,Test # 230
16,L Amarnath,118,185,-,21,0,,India,v England,Mumbai,15 Dec 1933,Test # 230
17,PA Gibb,106,192,-,-,0,,England,v South Africa,Johannesburg,24 Dec 1938,Test # 267
18,SC Griffith,140,354,-,15,0,,England,v West Indies,Port of Spain,11 Feb 1948,Test # 296
19,AG Ganteaume,112,-,-,13,0,,West Indies,v England,Port of Spain,11 Feb 1948,Test # 296
20,JW Burke,101*,245,-,9,0,,Australia,v England,Adelaide,2 Feb 1951,Test # 330
21,PBH May,138,380,-,-,0,,England,v South Africa,Leeds,26 Jul 1951,Test # 337
22,RH Shodhan,110,-,-,15,0,,India,v Pakistan,Kolkata,12 Dec 1952,Test # 360
23,BH Pairaudeau,115,-,-,-,0,,West Indies,v India,Port of Spain,21 Jan 1953,Test # 363
24,OG Smith,104,220,-,14,0,,West Indies,v Australia,Kingston,26 Mar 1955,Test # 403
