,Runs,Player,Match,Venue,Year
0,140,IDS Smith (173),NZ v Ind,Auckland,1989-90
1,139,NJ Astle (222),NZ v Eng,Christchurch,2001-02
2,133,VT Trumper (159),Aus v SA,Melbourne,1910-11
3,133,Virender Sehwag (293),Ind v SL,Mumbai (BS),2009-10
4,127,DL Vettori (127),NZ  v.Zim,Harare,2005-06
5,121,VVS Laxman  (167),Ind v Aus,Sydney,1999-00
6,121,MJ Prior (126*),Eng v WI,Lord's,2007
7,119,MG Johnson  (123*),Aus v SA,Cape Town,2008-09
8,118*,WR Hammond (167),Eng v Ind,Manchester,1936
9,114*,ED Weekes (156),WI  v NZ,Wellington,1955-56
10,113,GJ Bonnor (128),Aus v Eng,Sydney,1884-85
11,112,VT Trumper (185*),Aus v Eng,Sydney,1903-04
12,112,CH Gayle (116),WI  v SA,Cape Town,2003-04
13,111,SM Pollock (111),SA v SL,Centurion,2000-01
14,110,ME Waugh  (139*),Aus v WI,St.John's,1990-91
15,110*,ED Weekes  (123),WI  v NZ,Dunedin,1955-56
16,109,MS Dhoni  (224),Ind v Aus,Chennai,2012-13
17,108,KK Nair  (303*),Ind v Eng,Chennai,2016-17
18,107,DG Bradman (201),Aus v Ind,Adelaide,1947-48
19,107,ML Hayden  (380),Aus v Zim,Perth,2003-04
20,106,IT Botham (149*),Eng v Aus,Leeds,1981
21,106,RB Richardson (182),WI  v Aus,Georgetown,1990-91
22,105,DT Lindsay  (182),SA  v Aus,Johannesburg,1966-67
23,105,DR Smith (105*),WI  v SA,Cape Town,2003-04
24,105,CL Cairns (158),NZ  v SA,Auckland,2003-04
25,105,DS Lehmann  (177),Aus v Ban,Cairns,2003-04
26,105,C de Grandhomme  (105),NZ v WI,Wellington,2017-18
27,104,A Melville (104*),SA v Eng,Nottingham,1947
28,104,DA Warner (104*),Aus v Ind,Perth,2011-12
29,100,KD Walters (103),Aus v Eng,Perth,1974-75
30,102,CAG Russell (102*),Eng v Aus,The Oval,1921
31,102,DG Bradman  (304),Aus v Eng,Leeds,1934
32,102,AC Gilchrist (102*),Aus v Eng,Perth,2006-07
33,102,Yuvraj Singh (169),Ind v Pak,Bangalore,2007-08
34,101,DG Bradman (254),Aus v Eng,Lord's,1930
35,100,KC Sangakkara (222*),SL v Ban,Kandy,2007
