,Player,100s,Runs,Inns,,Team,Opposition,Ground,Match Date,Scorecard
0,ED Weekes,5,141,2,,West Indies,v England,Kingston,27 Mar 1948,Test # 298
1,,,128,1,,West Indies,v India,Delhi,10 Nov 1948,Test # 304
2,,,194,1,,West Indies,v India,Brabourne,9 Dec 1948,Test # 305
3,,,162,1,,West Indies,v India,Kolkata,31 Dec 1948,Test # 308
4,,,101,3,,West Indies,v India,Kolkata,31 Dec 1948,Test # 308
5,JHW Fingleton,4,112,1,,Australia,v South Africa,Cape Town,1 Jan 1936,Test # 249
6,,,108,2,,Australia,v South Africa,Johannesburg,15 Feb 1936,Test # 250
7,,,118,2,,Australia,v South Africa,Durban,28 Feb 1936,Test # 251
8,,,100,2,,Australia,v England,Brisbane,4 Dec 1936,Test # 255
9,A Melville,4,103,3,,South Africa,v England,Durban,3 Mar 1939,Test # 271
10,,,189,1,,South Africa,v England,Nottingham,7 Jun 1947,Test # 285
11,,,104*,4,,South Africa,v England,Nottingham,7 Jun 1947,Test # 285
12,,,117,2,,South Africa,v England,Lord's,21 Jun 1947,Test # 286
13,R Dravid,4,115,3,,India,v England,Nottingham,8 Aug 2002,Test # 1612
14,,,148,1,,India,v England,Leeds,22 Aug 2002,Test # 1613
15,,,217,2,,India,v England,The Oval,5 Sep 2002,Test # 1614
16,,,100*,1,,India,v West Indies,Wankhede,9 Oct 2002,Test # 1616
17,W Bardsley,3,136,1,,Australia,v England,The Oval,9 Aug 1909,Test # 105
18,,,130,3,,Australia,v England,The Oval,9 Aug 1909,Test # 105
19,,,132,1,,Australia,v South Africa,Sydney,9 Dec 1910,Test # 111
20,H Sutcliffe,3,115,4,,England,v Australia,Sydney,19 Dec 1924,Test # 158
21,,,176,2,,England,v Australia,Melbourne,1 Jan 1925,Test # 159
22,,,127,4,,England,v Australia,Melbourne,1 Jan 1925,Test # 159
23,CG Macartney,3,133*,3,,Australia,v England,Lord's,26 Jun 1926,Test # 164
24,,,151,1,,Australia,v England,Leeds,10 Jul 1926,Test # 165
25,,,109,1,,Australia,v England,Manchester,24 Jul 1926,Test # 166
26,GA Headley,3,270*,1,,West Indies,v England,Kingston,14 Mar 1935,Test # 241
27,,,106,1,,West Indies,v England,Lord's,24 Jun 1939,Test # 272
28,,,107,3,,West Indies,v England,Lord's,24 Jun 1939,Test # 272
29,AR Morris,3,155,3,,Australia,v England,Melbourne,1 Jan 1947,Test # 281
30,,,122,2,,Australia,v England,Adelaide,31 Jan 1947,Test # 282
31,,,124*,4,,Australia,v England,Adelaide,31 Jan 1947,Test # 282
32,DCS Compton,3,163,3,,England,v South Africa,Nottingham,7 Jun 1947,Test # 285
33,,,208,1,,England,v South Africa,Lord's,21 Jun 1947,Test # 286
34,,,115,2,,England,v South Africa,Manchester,5 Jul 1947,Test # 287
35,DG Bradman,3,132,1,,Australia,v India,Melbourne,1 Jan 1948,Test # 292
36,,,127*,3,,Australia,v India,Melbourne,1 Jan 1948,Test # 292
37,,,201,1,,Australia,v India,Adelaide,23 Jan 1948,Test # 294
38,VS Hazare,3,122,4,,India,v West Indies,Brabourne,4 Feb 1949,Test # 311
39,,,164*,2,,India,v England,Delhi,2 Nov 1951,Test # 339
40,,,155,1,,India,v England,Brabourne,14 Dec 1951,Test # 342
41,ED Weekes,3,123,2,,West Indies,v New Zealand,Dunedin,3 Feb 1956,Test # 421
42,,,103,1,,West Indies,v New Zealand,Christchurch,18 Feb 1956,Test # 422
43,,,156,1,,West Indies,v New Zealand,Wellington,3 Mar 1956,Test # 423
44,GS Sobers,3,365*,2,,West Indies,v Pakistan,Kingston,26 Feb 1958,Test # 450
45,,,125,2,,West Indies,v Pakistan,Georgetown,13 Mar 1958,Test # 452
46,,,109*,4,,West Indies,v Pakistan,Georgetown,13 Mar 1958,Test # 452
47,PR Umrigar,3,117,2,,India,v Pakistan,Chennai,13 Jan 1961,Test # 503
48,,,112,1,,India,v Pakistan,Delhi,8 Feb 1961,Test # 505
49,,,147*,1,,India,v England,Kanpur,1 Dec 1961,Test # 514
50,SM Gavaskar,3,117*,4,,India,v West Indies,Bridgetown,1 Apr 1971,Test # 685
51,,,124,1,,India,v West Indies,Port of Spain,13 Apr 1971,Test # 686
52,,,220,3,,India,v West Indies,Port of Spain,13 Apr 1971,Test # 686
53,G Boycott,3,119*,3,,England,v Australia,Adelaide,29 Jan 1971,Test # 678
54,,,121*,1,,England,v Pakistan,Lord's,17 Jun 1971,Test # 688
55,,,112,1,,England,v Pakistan,Leeds,8 Jul 1971,Test # 689
56,CG Greenidge,3,134,1,,West Indies,v England,Manchester,8 Jul 1976,Test # 779
57,,,101,3,,West Indies,v England,Manchester,8 Jul 1976,Test # 779
58,,,115,1,,West Indies,v England,Leeds,22 Jul 1976,Test # 780
59,SM Gavaskar,3,111,1,,India,v Pakistan,Karachi,14 Nov 1978,Test # 833
60,,,137,3,,India,v Pakistan,Karachi,14 Nov 1978,Test # 833
61,,,205,1,,India,v West Indies,Wankhede,1 Dec 1978,Test # 835
62,Zaheer Abbas,3,215,1,,Pakistan,v India,Lahore,10 Dec 1982,Test # 941
63,,,186,2,,Pakistan,v India,Karachi,23 Dec 1982,Test # 942
64,,,168,2,,Pakistan,v India,Faisalabad,3 Jan 1983,Test # 945
65,Mudassar Nazar,3,231,1,,Pakistan,v India,Hyderabad (Sind),14 Jan 1983,Test # 946
66,,,152*,1,,Pakistan,v India,Lahore,23 Jan 1983,Test # 947
67,,,152,2,,Pakistan,v India,Karachi,30 Jan 1983,Test # 948
68,GA Gooch,3,333,1,,England,v India,Lord's,26 Jul 1990,Test # 1148
69,,,123,3,,England,v India,Lord's,26 Jul 1990,Test # 1148
70,,,116,1,,England,v India,Manchester,9 Aug 1990,Test # 1149
71,DL Haynes,3,109,3,,West Indies,v England,Bridgetown,5 Apr 1990,Test # 1143
72,,,167,2,,West Indies,v England,St John's,12 Apr 1990,Test # 1144
73,,,117,1,,West Indies,v Pakistan,Karachi,15 Nov 1990,Test # 1154
74,AH Jones,3,186,3,,New Zealand,v Sri Lanka,Wellington,31 Jan 1991,Test # 1162
75,,,122,1,,New Zealand,v Sri Lanka,Hamilton,22 Feb 1991,Test # 1164
76,,,100*,3,,New Zealand,v Sri Lanka,Hamilton,22 Feb 1991,Test # 1164
77,VG Kambli,3,224,2,,India,v England,Wankhede,19 Feb 1993,Test # 1214
78,,,227,1,,India,v Zimbabwe,Delhi,13 Mar 1993,Test # 1218
79,,,125,1,,India,v Sri Lanka,Colombo (SSC),27 Jul 1993,Test # 1228
80,PA de Silva,3,168,3,,Sri Lanka,v Pakistan,Colombo (RPS),19 Apr 1997,Test # 1366
81,,,138*,1,,Sri Lanka,v Pakistan,Colombo (SSC),26 Apr 1997,Test # 1367
82,,,103*,3,,Sri Lanka,v Pakistan,Colombo (SSC),26 Apr 1997,Test # 1367
83,PA de Silva,3,126,2,,Sri Lanka,v India,Colombo (RPS),2 Aug 1997,Test # 1374
84,,,146,1,,Sri Lanka,v India,Colombo (SSC),9 Aug 1997,Test # 1376
85,,,120,3,,Sri Lanka,v India,Colombo (SSC),9 Aug 1997,Test # 1376
86,AC Gilchrist,3,113,2,,Australia,v Pakistan,Sydney,2 Jan 2005,Test # 1731
87,,,121,2,,Australia,v New Zealand,Christchurch,10 Mar 2005,Test # 1739
88,,,162,1,,Australia,v New Zealand,Wellington,18 Mar 2005,Test # 1742
89,Mohammad Yousuf,3,191,3,,Pakistan,v West Indies,Multan,19 Nov 2006,Test # 1816
90,,,102,1,,Pakistan,v West Indies,Karachi,27 Nov 2006,Test # 1818
91,,,124,3,,Pakistan,v West Indies,Karachi,27 Nov 2006,Test # 1818
92,DPMD Jayawardene,3,195,2,,Sri Lanka,v England,Colombo (SSC),9 Dec 2007,Test # 1853
93,,,213*,1,,Sri Lanka,v England,Galle,18 Dec 2007,Test # 1854
94,,,136,1,,Sri Lanka,v West Indies,Providence,22 Mar 2008,Test # 1869
95,RS Bopara,3,104,1,,England,v West Indies,Bridgetown,26 Feb 2009,Test # 1911
96,,,143,1,,England,v West Indies,Lord's,6 May 2009,Test # 1919
97,,,108,1,,England,v West Indies,Chester-le-Street,14 May 2009,Test # 1920
98,HM Amla,3,253*,1,,South Africa,v India,Nagpur,6 Feb 2010,Test # 1951
99,,,114,1,,South Africa,v India,Kolkata,14 Feb 2010,Test # 1952
100,,,123*,3,,South Africa,v India,Kolkata,14 Feb 2010,Test # 1952
101,KC Sangakkara,3,137,3,,Sri Lanka,v India,Brabourne,2 Dec 2009,Test # 1937
102,,,103,1,,Sri Lanka,v India,Galle,18 Jul 2010,Test # 1964
103,,,219,1,,Sri Lanka,v India,Colombo (SSC),26 Jul 2010,Test # 1966
104,KC Sangakkara,3,142,1,,Sri Lanka,v Bangladesh,Galle,8 Mar 2013,Test # 2078
105,,,105,3,,Sri Lanka,v Bangladesh,Galle,8 Mar 2013,Test # 2078
106,,,139,2,,Sri Lanka,v Bangladesh,Colombo (RPS),16 Mar 2013,Test # 2082
107,KC Sangakkara,3,319,1,,Sri Lanka,v Bangladesh,Chattogram,4 Feb 2014,Test # 2117
108,,,105,3,,Sri Lanka,v Bangladesh,Chattogram,4 Feb 2014,Test # 2117
109,,,147,2,,Sri Lanka,v England,Lord's,12 Jun 2014,Test # 2124
110,DA Warner,3,135,1,,Australia,v South Africa,Cape Town,1 Mar 2014,Test # 2122
111,,,145,3,,Australia,v South Africa,Cape Town,1 Mar 2014,Test # 2122
