,Player,Mat,1st,2nd,,Team,Opposition,Ground,Match Date,Scorecard
0,M Azharuddin,3,110,DNB,,India,v England,Kolkata,31 Dec 1984,Test # 1007
1,,,48,105,,India,v England,Chennai,13 Jan 1985,Test # 1008
2,,,122,54*,,India,v England,Kanpur,31 Jan 1985,Test # 1011
3,WH Ponsford,2,110,27,,Australia,v England,Sydney,19 Dec 1924,Test # 158
4,,,128,4,,Australia,v England,Melbourne,1 Jan 1925,Test # 159
5,KD Walters,2,155,-,,Australia,v England,Brisbane,10 Dec 1965,Test # 597
6,,,22,115,,Australia,v England,Melbourne,30 Dec 1965,Test # 598
7,AI Kallicharran,2,100*,DNB,,West Indies,v New Zealand,Georgetown,6 Apr 1972,Test # 696
8,,,101,18,,West Indies,v New Zealand,Port of Spain,20 Apr 1972,Test # 697
9,GS Blewett,2,102*,12,,Australia,v England,Adelaide,26 Jan 1995,Test # 1284
10,,,20,115,,Australia,v England,Perth,3 Feb 1995,Test # 1287
11,SC Ganguly,2,131,-,,India,v England,Lord's,20 Jun 1996,Test # 1328
12,,,136,48,,India,v England,Nottingham,4 Jul 1996,Test # 1329
13,RG Sharma,2,177,-,,India,v West Indies,Kolkata,6 Nov 2013,Test # 2101
14,,,111*,-,,India,v West Indies,Wankhede,14 Nov 2013,Test # 2102
15,JDS Neesham,2,33,137*,,New Zealand,v India,Wellington,14 Feb 2014,Test # 2120
16,,,107,20,,New Zealand,v West Indies,Kingston,8 Jun 2014,Test # 2123
17,Abid Ali,2,109*,-,,Pakistan,v Sri Lanka,Rawalpindi,11 Dec 2019,Test # 2373
18,,,38,174,,Pakistan,v Sri Lanka,Karachi,19 Dec 2019,Test # 2375
