,Player,Mat,1st,2nd,,Team,Opposition,Ground,Match Date,Scorecard
0,DG Bradman,6,13,270,,Australia,v England,Melbourne,1 Jan 1937,Test # 257
1,,,26,212,,Australia,v England,Adelaide,29 Jan 1937,Test # 258
2,,,169,-,,Australia,v England,Melbourne,26 Feb 1937,Test # 259
3,,,51,144*,,Australia,v England,Nottingham,10 Jun 1938,Test # 263
4,,,18,102*,,Australia,v England,Lord's,24 Jun 1938,Test # 264
5,,,103,16,,Australia,v England,Leeds,22 Jul 1938,Test # 265
6,JH Kallis,5,158,44,,South Africa,v West Indies,Johannesburg,12 Dec 2003,Test # 1674
7,,,177,-,,South Africa,v West Indies,Durban,26 Dec 2003,Test # 1679
8,,,73,130*,,South Africa,v West Indies,Cape Town,2 Jan 2004,Test # 1681
9,,,130*,DNB,,South Africa,v West Indies,Centurion,16 Jan 2004,Test # 1682
10,,,92,150*,,South Africa,v New Zealand,Hamilton,10 Mar 2004,Test # 1686
11,Mohammad Yousuf,5,192,8,,Pakistan,v England,Leeds,4 Aug 2006,Test # 1813
12,,,128,-,,Pakistan,v England,The Oval,17 Aug 2006,Test # 1814
13,,,192,DNB,,Pakistan,v West Indies,Lahore,11 Nov 2006,Test # 1815
14,,,56,191,,Pakistan,v West Indies,Multan,19 Nov 2006,Test # 1816
15,,,102,124,,Pakistan,v West Indies,Karachi,27 Nov 2006,Test # 1818
16,G Gambhir,5,16,137,,India,v New Zealand,Napier,26 Mar 2009,Test # 1917
17,,,23,167,,India,v New Zealand,Wellington,3 Apr 2009,Test # 1918
18,,,1,114,,India,v Sri Lanka,Ahmedabad,16 Nov 2009,Test # 1933
19,,,167,-,,India,v Sri Lanka,Kanpur,24 Nov 2009,Test # 1935
20,,,23,116,,India,v Bangladesh,Chattogram,17 Jan 2010,Test # 1949
21,DG Bradman,4,123,37*,,Australia,v England,Melbourne,8 Mar 1929,Test # 180
22,,,8,131,,Australia,v England,Nottingham,13 Jun 1930,Test # 194
23,,,254,1,,Australia,v England,Lord's,27 Jun 1930,Test # 195
24,,,334,-,,Australia,v England,Leeds,11 Jul 1930,Test # 196
25,DG Bradman,4,226,-,,Australia,v South Africa,Brisbane,27 Nov 1931,Test # 212
26,,,112,-,,Australia,v South Africa,Sydney,18 Dec 1931,Test # 213
27,,,2,167,,Australia,v South Africa,Melbourne,31 Dec 1931,Test # 214
28,,,299*,DNB,,Australia,v South Africa,Adelaide,29 Jan 1932,Test # 215
