,Batter,Match,Venue,Year
0,W Attewell,England v Australia,Sydney,1892
1,JT Willoughby,South Africa v England,Port Elizabeth,1896
2,EG Hayes,England v South Africa,Cape Town,1906
3,AEE Vogler,South Africa v Australia,Sydney,1910
4,TA Ward,South Africa v Australia,Manchester,1912
5,RJ Crisp,South Africa v Australia,Durban,1936
6,IA Colquhoun,New Zealand v England,Auckland,1955
7,C Wesley,South Africa v England,Nottingham,1960
8,BS Chandrasekhar,India v Australia,Melbourne,1977
9,GB Troup,New Zealand v India,Wellington,1981
10,DJ Richardson,South Africa v Pakistan,Johannesburg,1995
11,AG Huckle,Zimbabwe v Pakistan,Harare,1998
12,AB Agarkar,India v Australia,Melbourne,1999
13,AC Gilchrist,Australia v India,Kolkata,2001
14,Javed Omar,Bangladesh v India,Dhaka,2007
15,RJ Harris,Australia v England,Adelaide,2010
16,V Sehwag,India v England,Birmingham,2011
17,HMRKB Herath,Sri Lanka v Pakistan,Sharjah,2014
18,KTGD Prasad,Sri Lanka v Pakistan,Pallekele,2015
19,JM Anderson,England v India,Visakhapatnam,2016
20,N Pradeep,Sri Lanka v  Pakistan,Abu Dhabi,2017
21,Nurul Hasan,Bangladesh v West Indies,Kingston,2018
22,SM Curran,England v India,Lord's,2021
