,Player,Runs,Mins,Balls,4s,6s,,Team,Opposition,Ground,Match Date,Scorecard
0,L Hutton,364,797,847,35,0,,England,v Australia,The Oval,20 Aug 1938,Test # 266
1,GM Turner,259,704,759,22,0,,New Zealand,v West Indies,Georgetown,6 Apr 1972,Test # 696
2,RB Simpson,311,762,743,23,1,,Australia,v England,Manchester,23 Jul 1964,Test # 564
3,SG Barnes,234,649,667,17,0,,Australia,v England,Sydney,13 Dec 1946,Test # 280
4,G Kirsten,275,878,642,26,0,,South Africa,v England,Durban,26 Dec 1999,Test # 1480
5,A Sandham,325,600,640,28,0,,England,v West Indies,Kingston,3 Apr 1930,Test # 193
6,KF Barrington,256,683,624,26,0,,England,v Australia,Manchester,23 Jul 1964,Test # 564
7,WR Hammond,251,461,605,30,0,,England,v Australia,Sydney,14 Dec 1928,Test # 177
8,WR Hammond,177,440,603,17,0,,England,v Australia,Adelaide,1 Feb 1929,Test # 179
9,RM Cowper,307,727,589,20,0,,Australia,v England,Melbourne,11 Feb 1966,Test # 601
10,BC Lara,400*,778,582,43,4,,West Indies,v England,St John's,10 Apr 2004,Test # 1696
11,WR Hammond,231*,460,579,27,0,,England,v Australia,Sydney,18 Dec 1936,Test # 256
12,ST Jayasuriya,340,799,578,36,2,,Sri Lanka,v India,Colombo (RPS),2 Aug 1997,Test # 1374
13,DPMD Jayawardene,374,752,572,43,1,,Sri Lanka,v South Africa,Colombo (SSC),27 Jul 2006,Test # 1810
14,Younis Khan,313,760,568,27,4,,Pakistan,v Sri Lanka,Karachi,21 Feb 2009,Test # 1909
15,MA Taylor,334*,720,564,32,1,,Australia,v Pakistan,Peshawar,15 Oct 1998,Test # 1426
16,DL Amiss,262*,570,563,40,1,,England,v West Indies,Kingston,16 Feb 1974,Test # 732
17,RS Mahanama,225,753,561,27,0,,Sri Lanka,v India,Colombo (RPS),2 Aug 1997,Test # 1374
18,BB McCullum,302,775,559,32,4,,New Zealand,v India,Wellington,14 Feb 2014,Test # 2120
19,Hanif Mohammad,187*,542,556,21,0,,Pakistan,v England,Lord's,27 Jul 1967,Test # 621
20,G Boycott,246*,573,555,30,1,,England,v India,Leeds,8 Jun 1967,Test # 618
21,TW Jarvis,182,540,555,19,0,,New Zealand,v West Indies,Georgetown,6 Apr 1972,Test # 696
22,DSBP Kuruppu,201*,777,548,24,0,,Sri Lanka,v New Zealand,Colombo (CCC),16 Apr 1987,Test # 1074
23,AN Cook,294,773,545,33,0,,England,v India,Birmingham,10 Aug 2011,Test # 2003
24,DL Houghton,266,675,541,30,3,,Zimbabwe,v Sri Lanka,Bulawayo,20 Oct 1994,Test # 1271
25,BC Lara,375,766,538,45,0,,West Indies,v England,St John's,16 Apr 1994,Test # 1259
26,MS Atapattu,201*,684,536,18,0,,Sri Lanka,v England,Galle,22 Feb 2001,Test # 1530
27,HM Amla,311*,790,529,35,0,,South Africa,v England,The Oval,19 Jul 2012,Test # 2049
28,AN Cook,263,836,528,18,0,,England,v Pakistan,Abu Dhabi,13 Oct 2015,Test # 2180
29,WL Murdoch,211,490,525,24,0,,Australia,v England,The Oval,11 Aug 1884,Test # 16
30,G Kirsten,210,650,525,24,1,,South Africa,v England,Manchester,2 Jul 1998,Test # 1420
31,CA Pujara,202,672,525,21,0,,India,v Australia,Ranchi,16 Mar 2017,Test # 2256
32,CT Radley,158,648,524,15,0,,England,v New Zealand,Auckland,4 Mar 1978,Test # 820
33,MD Crowe,299,610,523,29,3,,New Zealand,v Sri Lanka,Wellington,31 Jan 1991,Test # 1162
34,GW Flower,201*,654,523,11,1,,Zimbabwe,v Pakistan,Harare,31 Jan 1995,Test # 1285
35,Javed Miandad,260,617,521,28,1,,Pakistan,v England,The Oval,6 Aug 1987,Test # 1079
36,GT Dowling,239,556,519,26,5,,New Zealand,v India,Christchurch,22 Feb 1968,Test # 631
37,GN Yallop,268,716,517,29,0,,Australia,v Pakistan,Melbourne,26 Dec 1983,Test # 973
38,Shoaib Mohammad,163,720,516,17,1,,Pakistan,v New Zealand,Wellington,10 Feb 1989,Test # 1115
39,S Chanderpaul,136*,675,510,17,0,,West Indies,v India,St John's,10 May 2002,Test # 1602
40,Younis Khan,267,690,504,32,1,,Pakistan,v India,Bengaluru,24 Mar 2005,Test # 1743
