,Player,Runs,Mins,Balls,4s,6s,,Team,Opposition,Ground,Match Date,Scorecard
0,Hanif Mohammad,337,970,-,24,0,,Pakistan,v West Indies,Bridgetown,17 Jan 1958,Test # 446
1,G Kirsten,275,878,642,26,0,,South Africa,v England,Durban,26 Dec 1999,Test # 1480
2,AN Cook,263,836,528,18,0,,England,v Pakistan,Abu Dhabi,13 Oct 2015,Test # 2180
3,ST Jayasuriya,340,799,578,36,2,,Sri Lanka,v India,Colombo (RPS),2 Aug 1997,Test # 1374
4,L Hutton,364,797,847,35,0,,England,v Australia,The Oval,20 Aug 1938,Test # 266
5,HM Amla,311*,790,529,35,0,,South Africa,v England,The Oval,19 Jul 2012,Test # 2049
6,BC Lara,400*,778,582,43,4,,West Indies,v England,St John's,10 Apr 2004,Test # 1696
7,DSBP Kuruppu,201*,777,548,24,0,,Sri Lanka,v New Zealand,Colombo (CCC),16 Apr 1987,Test # 1074
8,BB McCullum,302,775,559,32,4,,New Zealand,v India,Wellington,14 Feb 2014,Test # 2120
9,AN Cook,294,773,545,33,0,,England,v India,Birmingham,10 Aug 2011,Test # 2003
10,BC Lara,375,766,538,45,0,,West Indies,v England,St John's,16 Apr 1994,Test # 1259
11,RB Simpson,311,762,743,23,1,,Australia,v England,Manchester,23 Jul 1964,Test # 564
12,Younis Khan,313,760,568,27,4,,Pakistan,v Sri Lanka,Karachi,21 Feb 2009,Test # 1909
13,RS Mahanama,225,753,561,27,0,,Sri Lanka,v India,Colombo (RPS),2 Aug 1997,Test # 1374
14,DPMD Jayawardene,374,752,572,43,1,,Sri Lanka,v South Africa,Colombo (SSC),27 Jul 2006,Test # 1810
15,R Dravid,270,740,495,34,1,,India,v Pakistan,Rawalpindi,13 Apr 2004,Test # 1697
16,RM Cowper,307,727,589,20,0,,Australia,v England,Melbourne,11 Feb 1966,Test # 601
17,Shoaib Mohammad,163,720,516,17,1,,Pakistan,v New Zealand,Wellington,10 Feb 1989,Test # 1115
18,MA Taylor,334*,720,564,32,1,,Australia,v Pakistan,Peshawar,15 Oct 1998,Test # 1426
19,GN Yallop,268,716,517,29,0,,Australia,v Pakistan,Melbourne,26 Dec 1983,Test # 973
20,Taufeeq Umar,236,712,496,17,1,,Pakistan,v Sri Lanka,Abu Dhabi,18 Oct 2011,Test # 2009
21,KC Brathwaite,160,710,489,17,0,,West Indies,v England,Bridgetown,16 Mar 2022,Test # 2457
22,SM Gavaskar,172,708,472,19,0,,India,v England,Bengaluru,9 Dec 1981,Test # 912
23,HM Amla,201,707,477,27,0,,South Africa,v England,Cape Town,2 Jan 2016,Test # 2197
24,GM Turner,259,704,759,22,0,,New Zealand,v West Indies,Georgetown,6 Apr 1972,Test # 696
