,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,West Indies,Ireland,West Indies,24 runs,Kingston,"Jan 8, 2022",ODI # 4339
1,West Indies,Ireland,Ireland,5 wickets,Kingston,"Jan 13, 2022",ODI # 4340
2,Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Pallekele,"Jan 16, 2022",ODI # 4341
3,West Indies,Ireland,Ireland,2 wickets,Kingston,"Jan 16, 2022",ODI # 4342
4,Sri Lanka,Zimbabwe,Zimbabwe,22 runs,Pallekele,"Jan 18, 2022",ODI # 4343
5,South Africa,India,South Africa,31 runs,Paarl,"Jan 19, 2022",ODI # 4344
6,Afghanistan,Netherlands,Afghanistan,36 runs,Doha,"Jan 21, 2022",ODI # 4345
7,South Africa,India,South Africa,7 wickets,Paarl,"Jan 21, 2022",ODI # 4346
8,Sri Lanka,Zimbabwe,Sri Lanka,184 runs,Pallekele,"Jan 21, 2022",ODI # 4347
9,Afghanistan,Netherlands,Afghanistan,48 runs,Doha,"Jan 23, 2022",ODI # 4348
10,South Africa,India,South Africa,4 runs,Cape Town,"Jan 23, 2022",ODI # 4349
11,Afghanistan,Netherlands,Afghanistan,75 runs,Doha,"Jan 25, 2022",ODI # 4350
12,Oman,U.A.E.,U.A.E.,4 wickets,Al Amerat,"Feb 5, 2022",ODI # 4351
13,Oman,U.A.E.,U.A.E.,4 wickets,Al Amerat,"Feb 6, 2022",ODI # 4352
14,India,West Indies,India,6 wickets,Ahmedabad,"Feb 6, 2022",ODI # 4353
15,Oman,U.A.E.,tied,,Al Amerat,"Feb 8, 2022",ODI # 4354
16,India,West Indies,India,44 runs,Ahmedabad,"Feb 9, 2022",ODI # 4355
17,India,West Indies,India,96 runs,Ahmedabad,"Feb 11, 2022",ODI # 4356
18,Bangladesh,Afghanistan,Bangladesh,4 wickets,Chattogram,"Feb 23, 2022",ODI # 4357
19,Bangladesh,Afghanistan,Bangladesh,88 runs,Chattogram,"Feb 25, 2022",ODI # 4358
20,Bangladesh,Afghanistan,Afghanistan,7 wickets,Chattogram,"Feb 28, 2022",ODI # 4359
21,U.A.E.,Oman,Oman,12 runs,ICCA Dubai,"Mar 5, 2022",ODI # 4360
22,Namibia,Oman,Namibia,110 runs,ICCA Dubai,"Mar 6, 2022",ODI # 4361
23,U.A.E.,Namibia,U.A.E.,3 wickets,ICCA Dubai,"Mar 8, 2022",ODI # 4362
24,U.A.E.,Oman,Oman,8 runs,ICCA Dubai,"Mar 9, 2022",ODI # 4363
25,Namibia,Oman,Oman,7 wickets,Sharjah,"Mar 11, 2022",ODI # 4364
26,U.A.E.,Namibia,U.A.E.,43 runs,Sharjah,"Mar 12, 2022",ODI # 4365
27,Namibia,Oman,Namibia,5 wickets,Dubai (DSC),"Mar 14, 2022",ODI # 4366
28,U.A.E.,P.N.G.,U.A.E.,7 wickets,Sharjah,"Mar 15, 2022",ODI # 4367
29,Nepal,P.N.G.,Nepal,2 wickets,Sharjah,"Mar 16, 2022",ODI # 4368
30,U.A.E.,Nepal,U.A.E.,48 runs,Dubai (DSC),"Mar 18, 2022",ODI # 4369
31,South Africa,Bangladesh,Bangladesh,38 runs,Centurion,"Mar 18, 2022",ODI # 4370
32,U.A.E.,P.N.G.,P.N.G.,6 wickets,Dubai (DSC),"Mar 19, 2022",ODI # 4371
33,South Africa,Bangladesh,South Africa,7 wickets,Johannesburg,"Mar 20, 2022",ODI # 4372
34,U.A.E.,Nepal,U.A.E.,99 runs,Dubai (DSC),"Mar 21, 2022",ODI # 4373
35,Nepal,P.N.G.,Nepal,7 wickets,Dubai (DSC),"Mar 22, 2022",ODI # 4374
36,South Africa,Bangladesh,Bangladesh,9 wickets,Centurion,"Mar 23, 2022",ODI # 4375
37,Nepal,P.N.G.,P.N.G.,6 runs,Kirtipur,"Mar 25, 2022",ODI # 4376
38,Nepal,P.N.G.,P.N.G.,3 wickets,Kirtipur,"Mar 26, 2022",ODI # 4377
39,New Zealand,Netherlands,New Zealand,7 wickets,Mount Maunganui,"Mar 29, 2022",ODI # 4378
40,Pakistan,Australia,Australia,88 runs,Lahore,"Mar 29, 2022",ODI # 4379
41,Pakistan,Australia,Pakistan,6 wickets,Lahore,"Mar 31, 2022",ODI # 4380
42,New Zealand,Netherlands,New Zealand,118 runs,Hamilton,"Apr 2, 2022",ODI # 4381
43,Pakistan,Australia,Pakistan,9 wickets,Lahore,"Apr 2, 2022",ODI # 4382
44,New Zealand,Netherlands,New Zealand,115 runs,Hamilton,"Apr 4, 2022",ODI # 4383
45,P.N.G.,Scotland,Scotland,162 runs,Dubai (DSC),"Apr 9, 2022",ODI # 4384
46,Oman,Scotland,Scotland,4 runs,Dubai (DSC),"Apr 10, 2022",ODI # 4385
47,Oman,P.N.G.,Oman,7 wickets,Dubai (DSC),"Apr 12, 2022",ODI # 4386
48,P.N.G.,Scotland,Scotland,123 runs,Dubai (DSC),"Apr 13, 2022",ODI # 4387
49,Oman,Scotland,Scotland,2 wickets,Dubai (DSC),"Apr 15, 2022",ODI # 4388
50,Oman,P.N.G.,Oman,85 runs,Dubai (DSC),"Apr 16, 2022",ODI # 4389
51,U.S.A.,Scotland,U.S.A.,104 runs,Pearland,"May 28, 2022",ODI # 4390
52,U.S.A.,Scotland,Scotland,111 runs,Pearland,"May 29, 2022",ODI # 4391
53,Netherlands,West Indies,West Indies,7 wickets,Amstelveen,"May 31, 2022",ODI # 4392
54,Scotland,U.A.E.,Scotland,4 wickets,Pearland,"May 31, 2022",ODI # 4393
55,U.S.A.,U.A.E.,U.S.A.,4 wickets,Pearland,"Jun 1, 2022",ODI # 4394
56,Netherlands,West Indies,West Indies,5 wickets,Amstelveen,"Jun 2, 2022",ODI # 4395
57,Scotland,U.A.E.,U.A.E.,5 wickets,Pearland,"Jun 3, 2022",ODI # 4396
58,Zimbabwe,Afghanistan,Afghanistan,60 runs,Harare,"Jun 4, 2022",ODI # 4397
59,Netherlands,West Indies,West Indies,20 runs,Amstelveen,"Jun 4, 2022",ODI # 4398
60,U.S.A.,U.A.E.,U.A.E.,8 wickets,Pearland,"Jun 4, 2022",ODI # 4399
61,Zimbabwe,Afghanistan,Afghanistan,8 wickets,Harare,"Jun 6, 2022",ODI # 4400
