,Player,Ducks,Runs,Inns,,Team,Opposition,Ground,Match Date,Scorecard
0,RG Holland,5,0,1,,Australia,v England,Birmingham,15 Aug 1985,Test # 1021
1,,,0,3,,Australia,v England,Birmingham,15 Aug 1985,Test # 1021
2,,,0,1,,Australia,v New Zealand,Brisbane,8 Nov 1985,Test # 1029
3,,,0,3,,Australia,v New Zealand,Brisbane,8 Nov 1985,Test # 1029
4,,,0,2,,Australia,v New Zealand,Sydney,22 Nov 1985,Test # 1030
5,AB Agarkar,5,0,4,,India,v Australia,Adelaide,10 Dec 1999,Test # 1476
6,,,0,2,,India,v Australia,Melbourne,26 Dec 1999,Test # 1479
7,,,0,4,,India,v Australia,Melbourne,26 Dec 1999,Test # 1479
8,,,0,1,,India,v Australia,Sydney,2 Jan 2000,Test # 1481
9,,,0,3,,India,v Australia,Sydney,2 Jan 2000,Test # 1481
10,Mohammad Asif,5,0,3,,Pakistan,v India,Faisalabad,21 Jan 2006,Test # 1782
11,,,0,1,,Pakistan,v India,Karachi,29 Jan 2006,Test # 1783
12,,,0,2,,Pakistan,v Sri Lanka,Colombo (SSC),26 Mar 2006,Test # 1794
13,,,0,2,,Pakistan,v Sri Lanka,Kandy,3 Apr 2006,Test # 1796
14,,,0,2,,Pakistan,v England,The Oval,17 Aug 2006,Test # 1814
15,R Peel,4,0,2,,England,v Australia,Adelaide,11 Jan 1895,Test # 44
16,,,0,4,,England,v Australia,Adelaide,11 Jan 1895,Test # 44
17,,,0,2,,England,v Australia,Sydney,1 Feb 1895,Test # 45
18,,,0,3,,England,v Australia,Sydney,1 Feb 1895,Test # 45
19,RJ Crisp,4,0,2,,South Africa,v Australia,Cape Town,1 Jan 1936,Test # 249
20,,,0,3,,South Africa,v Australia,Cape Town,1 Jan 1936,Test # 249
21,,,0,1,,South Africa,v Australia,Durban,28 Feb 1936,Test # 251
22,,,0,3,,South Africa,v Australia,Durban,28 Feb 1936,Test # 251
23,P Roy,4,0,3,,India,v England,Lord's,19 Jun 1952,Test # 352
24,,,0,2,,India,v England,Manchester,17 Jul 1952,Test # 353
25,,,0,3,,India,v England,Manchester,17 Jul 1952,Test # 353
26,,,0,2,,India,v England,The Oval,14 Aug 1952,Test # 354
27,LSM Miller,4,0,4,,New Zealand,v South Africa,Johannesburg,24 Dec 1953,Test # 378
