,Player,Inns,From,Until
0,DI Gower (ENG),119,26 Aug 1982,26 Dec 1990
1,RB Richardson (WI),96,23 Nov 1984,25 Jul 1991
2,SR Tendulkar (INDIA),91*,23 Jul 2008,14 Nov 2013
3,AR Border (AUS),89,26 Nov 1982,2 Dec 1988
4,AJ Stewart (ENG),86,17 Mar 1994,28 Nov 1998
5,KC Sangakkara (SL),85,26 Mar 2006,15 Dec 2011
6,AD Mathews (SL),83,22 Jun 2012,3 Aug 2017
7,KF Barrington (ENG),78,5 Jul 1962,28 Mar 1968
8,AB de Villiers (SA),78,17 Dec 2004,19 Nov 2008
9,PA de Silva (SL),75,23 Aug 1984,11 Oct 1994
10,CH Lloyd (WI),74,3 Jun 1976,9 Aug 1984
11,HW Taylor (SA),72,27 May 1912,29 Jan 1932
12,GM Turner (NZ),72*,27 Feb 1969,11 Mar 1983
13,R Dravid (INDIA),72,24 Feb 2000,5 Apr 2004
14,KD Walters (AUS),68,12 Dec 1969,1 Jan 1977
15,WR Hammond (ENG),67,17 Aug 1929,15 Aug 1936
16,G Boycott (ENG),67,21 Aug 1969,6 Jan 1979
17,ML Hayden (AUS),67,3 Oct 2002,21 Jul 2005
18,R Dravid (ICC/INDIA),67,14 Oct 2005,29 Oct 2008
19,HA Gomes (WI),66,31 Mar 1978,30 Dec 1984
20,HM Amla (SA),65,6 Mar 2009,12 Feb 2014
21,AN Cook (ENG),64,26 Dec 2015,1 Aug 2018
22,ME Waugh (AUS),63,23 Jan 1993,29 Nov 1996
23,GA Hick (ENG),63,19 Feb 1993,27 Aug 1998
24,APE Knott (ENG),62*,20 Jun 1974,27 Aug 1981
25,GR Marsh (AUS),62,18 Sep 1986,25 Jan 1991
26,RT Ponting (AUS),62,11 Aug 2005,28 Nov 2008
27,Shakib Al Hasan (BAN),62,3 Jan 2009,12 Jan 2017
28,LD Chandimal (SL),61,31 Dec 2013,6 Oct 2017
29,GA Gooch (ENG),60,21 Jun 1990,16 Jun 1994
30,JL Langer (AUS),60,15 Oct 1998,30 Nov 2001
31,CL Hooper (WI),60*,6 Dec 1997,30 Oct 2002
32,R Dravid (INDIA),59*,18 Mar 2009,24 Jan 2012
33,CH Lloyd (WI),58,13 Dec 1966,2 Feb 1974
34,AJ Lamb (ENG),58,2 Jan 1983,19 Jun 1986
35,MA Taylor (AUS),58,23 Mar 1991,25 Mar 1994
36,LRPL Taylor (NZ),58,8 Nov 2007,1 Dec 2011
37,H Sutcliffe (ENG),56,12 Jun 1926,23 Feb 1933
38,RC Fredericks (WI),56,6 Mar 1971,3 Jan 1976
39,JH Kallis (SA),56,26 Dec 2007,2 Jan 2011
40,JR Reid (NZ),55,29 Jan 1954,23 Feb 1963
41,GP Thorpe (ENG),55,10 Aug 1995,18 Jun 1998
42,ER Dexter (ENG),54,21 Oct 1961,22 Jan 1965
43,RW Marsh (AUS),54,16 Feb 1973,7 Jul 1977
44,RB Simpson (AUS),54,18 Jun 1964,28 Jan 1978
45,JV Coney (NZ),54*,4 Mar 1983,12 Mar 1987
46,JM Anderson (ENG),54,22 May 2003,7 Aug 2009
47,WJ Edrich (ENG),53,18 Feb 1939,28 Jan 1955
48,CL Walcott (WI),53*,9 Nov 1951,25 Mar 1960
49,Majid Khan (PAK),53,6 Jan 1973,10 Mar 1979
50,JG Wright (NZ),53,7 Aug 1986,30 Jan 1992
51,AH Jones (NZ),53,2 Feb 1990,3 Feb 1995
52,AR Border (AUS),52,6 Jan 1979,16 Jul 1981
53,JH Kallis (SA),52,29 Mar 2001,18 Mar 2004
54,ST Jayasuriya (SL),52,25 Apr 2003,7 Dec 2006
55,AK Davidson (AUS),51,11 Jun 1953,6 Jul 1961
56,WM Lawry (AUS),51,30 Nov 1962,30 Dec 1965
57,IVA Richards (WI),51,28 Nov 1975,13 Feb 1981
58,MA Taylor (AUS),51,5 Oct 1994,3 Jul 1997
59,GO Jones (ENG),51,10 Apr 2004,1 Dec 2006
60,SPD Smith (AUS),51,3 Nov 2016,17 Dec 2020
61,IR Redpath (AUS),50,19 Feb 1970,12 Dec 1975
62,DPMD Jayawardene (SL),50,12 Jul 2009,22 Jun 2012
63,Litton Das (BAN),50*,31 Jan 2018,24 Jun 2022
