,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,200s
0,DG Bradman (AUS),1928-1948,52,80,10,6996,334,99.94,29,13,7,12
1,KC Sangakkara (SL),2000-2015,134,233,17,12400,319,57.40,38,52,11,11
2,BC Lara (ICC/WI),1990-2006,131,232,6,11953,400*,52.88,34,48,17,9
3,WR Hammond (ENG),1927-1947,85,140,16,7249,336*,58.45,22,24,4,7
4,V Kohli (INDIA),2011-2022,102,173,10,8074,254*,49.53,27,28,14,7
5,DPMD Jayawardene (SL),1997-2014,149,252,15,11814,374,49.84,34,50,15,7
6,MS Atapattu (SL),1990-2007,90,156,15,5502,249,39.02,16,17,22,6
7,V Sehwag (ICC/INDIA),2001-2013,104,180,6,8586,319,49.34,23,32,16,6
8,Javed Miandad (PAK),1976-1993,124,189,21,8832,280*,52.57,23,43,6,6
9,Younis Khan (PAK),2000-2017,118,213,19,10099,313,52.05,34,33,19,6
10,RT Ponting (AUS),1995-2012,168,287,29,13378,257,51.85,41,62,17,6
11,SR Tendulkar (INDIA),1989-2013,200,329,33,15921,248*,53.78,51,68,14,6
12,GC Smith (ICC/SA),2002-2014,117,205,13,9265,277,48.25,27,38,11,5
13,JE Root (ENG),2012-2022,124,228,18,10504,254,50.01,28,54,11,5
14,R Dravid (ICC/INDIA),1996-2012,164,286,32,13288,270,52.31,36,63,8,5
15,AN Cook (ENG),2006-2018,161,291,16,12472,294,45.35,33,57,9,5
16,Zaheer Abbas (PAK),1969-1985,78,124,11,5062,274,44.79,12,20,10,4
17,L Hutton (ENG),1937-1955,79,138,15,6971,364,56.67,19,33,5,4
18,GS Chappell (AUS),1970-1984,87,151,19,7110,247*,53.86,24,31,12,4
19,KS Williamson (NZ),2010-2022,88,154,14,7368,251,52.62,24,33,9,4
20,Mohammad Yousuf (PAK),1998-2010,90,156,12,7530,223,52.29,24,33,11,4
21,BB McCullum (NZ),2004-2016,101,176,9,6453,302,38.64,12,31,14,4
22,CG Greenidge (WI),1974-1991,108,185,16,7558,226,44.72,19,34,11,4
23,MJ Clarke (AUS),2004-2015,115,198,22,8643,329*,49.10,28,27,9,4
24,SM Gavaskar (INDIA),1971-1987,125,214,16,10122,236*,51.12,34,45,12,4
25,HM Amla (SA),2004-2019,124,215,16,9282,311*,46.64,28,41,13,4
26,RB Simpson (AUS),1957-1978,62,111,7,4869,311,46.81,10,27,8,3
27,Mushfiqur Rahim (BAN),2005-2022,82,151,13,5235,219*,37.93,9,25,12,3
28,SPD Smith (AUS),2010-2022,87,154,18,8161,239,60.00,28,36,7,3
29,CA Pujara (INDIA),2010-2022,96,164,9,6792,206*,43.81,18,33,11,3
30,Azhar Ali (PAK),2010-2022,95,176,11,7030,302*,42.60,19,35,18,3
31,G Kirsten (SA),1993-2004,101,176,15,7289,275,45.27,21,34,13,3
32,KP Pietersen (ENG),2005-2014,104,181,8,8181,227,47.28,23,35,10,3
33,CH Gayle (WI),2000-2014,103,182,11,7214,333,42.18,15,37,15,3
34,JL Langer (AUS),1993-2007,105,182,12,7696,250,45.27,23,30,11,3
35,IVA Richards (WI),1974-1991,121,182,12,8540,291,50.23,24,45,10,3
36,ST Jayasuriya (SL),1991-2007,110,188,14,6973,340,40.07,14,31,15,3
37,SP Fleming (NZ),1994-2008,111,189,10,7172,274*,40.06,9,46,16,3
38,LRPL Taylor (NZ),2007-2022,112,196,24,7683,290,44.66,19,35,14,3
