,Player,Mat,Inns,NO,Runs,HS,Ave,100,50,0,4s,6s
0,Khaled Ahmed (BAN),7,13,3,1,1,0.10,0,0,9,0,0
1,AG Hurst (AUS),6,12,2,44,17*,4.40,0,0,6,4,0
2,OE Robinson (ENG),10,17,2,103,22,6.86,0,0,6,11,0
3,AB Agarkar (INDIA),3,6,0,19,19,3.16,0,0,5,3,0
4,M Amarnath (INDIA),3,6,0,1,1,0.16,0,0,5,0,0
5,GP Wickramasinghe (SL),3,6,0,5,5,0.83,0,0,5,1,0
6,WM Clark (AUS),4,7,1,6,4,1.00,0,0,5,1,0
7,GD McGrath (AUS),5,7,0,15,10,2.14,0,0,5,1,0
8,AD Mullally (ENG),4,7,0,20,16,2.85,0,0,5,4,0
9,P Roy (INDIA),4,7,0,54,35,7.71,0,0,5,0+,0
10,NAT Adcock (SA),5,8,2,6,3*,1.00,0,0,5,0,0
11,RC Motz (NZ),5,9,1,25,10*,3.12,0,0,5,0+,0
12,K Rabada (SA),8,13,1,141,47,11.75,0,0,5,11,5
13,Mahmudul Hasan Joy (BAN),8,14,0,363,137,25.92,1,2,5,43,2
14,Mominul Haque (BAN),9,17,1,180,88,11.25,0,1,5,24,0
15,N Pradeep (SL),2,4,0,0,0,0.00,0,0,4,0,0
16,PI Pocock (ENG),2,4,0,0,0,0.00,0,0,4,0,0
17,Iqbal Qasim (PAK),3,5,1,5,5*,1.25,0,0,4,0,0
18,DK Morrison (NZ),3,5,1,20,20*,5.00,0,0,4,2,0
19,XC Balaskas (SA),3,6,0,4,2,0.66,0,0,4,0,0
20,BS Bedi (INDIA),3,6,1,15,14,3.00,0,0,4,3,0
21,BP Bracewell (NZ),3,6,1,4,4,0.80,0,0,4,1,0
22,D Ramnarine (WI),3,6,2,0,0*,0.00,0,0,4,0,0
23,ME Waugh (AUS),3,6,0,61,56,10.16,0,1,4,4,0
24,AR Caddick (ENG),5,7,0,19,8,2.71,0,0,4,2,0
25,Mohammad Asif (PAK),4,7,0,23,14,3.28,0,0,4,4,0
26,L Ngidi (SA),5,7,2,7,4*,1.40,0,0,4,1,0
27,PCR Tufnell (ENG),4,7,3,6,4*,1.50,0,0,4,0,0
28,BS Bedi (INDIA),4,8,0,45,14,5.62,0,0,4,5+,0
29,IR Bishop (WI),5,8,0,86,48,10.75,0,0,4,11,0
30,BS Chandrasekhar (INDIA),5,8,2,4,2,0.66,0,0,4,0,0
31,RJ Crisp (SA),4,8,0,94,35,11.75,0,0,4,8+,1
32,JE Emburey (ENG),4,8,2,64,35*,10.66,0,0,4,10,0
33,J Garner (WI),5,8,0,92,43,11.50,0,0,4,8+,2
34,G Kishenchand (INDIA),4,8,0,69,44,8.62,0,0,4,6,0
35,Q McMillan (SA),4,8,0,52,29,6.50,0,0,4,4,0
36,LSM Miller (NZ),4,8,0,47,18,5.87,0,0,4,0+,0
37,F Nicholson (SA),4,8,1,76,29,10.85,0,0,4,2+,1
38,OE Robinson (ENG),4,8,1,38,22,5.42,0,0,4,4,0
39,H Trumble (AUS),4,8,0,21,9,2.62,0,0,4,2,0
40,S Ramadhin (WI),5,9,1,47,19,5.87,0,0,4,5,0
41,JV Saunders (AUS),5,9,2,13,9,1.85,0,0,4,1,0
42,DL Underwood (ENG),5,9,0,40,31,4.44,0,0,4,2,0
43,NAM McLean (WI),5,10,0,64,17,6.40,0,0,4,4,3
44,Mohammed Shami (INDIA),5,10,1,27,10*,3.00,0,0,4,3,0
45,R Peel (ENG),5,10,1,168,73,18.66,0,2,4,3+,0
46,CA Walsh (WI),5,10,2,19,9,2.37,0,0,4,0,0
47,KR Mayers (WI),7,11,1,296,146,29.60,1,0,4,38,4
48,RM Hogg (AUS),6,12,0,95,36,7.91,0,0,4,10,0
49,RJ Burns (ENG),7,13,0,260,61,20.00,0,2,4,33,1
50,H Hameed (ENG),7,13,0,220,68,16.92,0,2,4,27,0
51,TG Southee (NZ),9,15,0,127,33,8.46,0,0,4,20,1
52,JJ Bumrah (INDIA),10,16,6,169,34*,16.90,0,0,4,19,6
53,Mohammed Shami (INDIA),9,16,3,170,56*,13.07,0,1,4,22,2
54,Ebadot Hossain (BAN),9,17,11,29,21*,4.83,0,0,4,4,0
