,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,CA Walsh (WI),1984-2001,132,185,61,936,30*,7.54,2088,44.82,0,0,43,77,19
1,SCJ Broad (ENG),2007-2022,159,232,39,3550,169,18.39,5417,65.53,1,13,39,427,54
2,CS Martin (NZ),2000-2013,71,104,52,123,12*,2.36,615,20.00,0,0,36,15,0
3,GD McGrath (AUS),1993-2007,124,138,51,641,61,7.36,1570,40.82,0,1,35,51,1
4,I Sharma (INDIA),2007-2021,105,142,47,785,57,8.26,2568,30.56,0,1,34,88,1
5,SK Warne (AUS),1992-2007,145,199,17,3154,99,17.32,5470,57.65,0,12,34,353,37
6,M Muralidaran (ICC/SL),1992-2010,133,164,56,1261,67,11.67,1794,70.28,0,1,33,146,29
7,JM Anderson (ENG),2003-2022,175,245,106,1285,81,9.24,3262,39.39,0,1,31,173,3
8,Z Khan (INDIA),2000-2014,92,127,24,1231,75,11.95,2381,51.70,0,3,29,141,28
9,M Dillon (WI),1997-2004,38,68,3,549,43,8.44,1381,39.75,0,0,26,76,7
10,CEL Ambrose (WI),1988-2000,98,145,29,1439,53,12.40,3080,46.72,0,1,26,172,12
11,Danish Kaneria (PAK),2000-2010,61,84,33,360,29,7.05,743,48.45,0,0,25,46,3
12,DK Morrison (NZ),1987-1997,48,71,26,379,42,8.42,1696,22.34,0,0,24,35,1
13,BS Chandrasekhar (INDIA),1964-1979,58,80,39,167,22,4.07,345+,19.42*,0,0,23,12+,0
14,HMRKB Herath (SL),1999-2018,93,144,28,1699,80*,14.64,3405,49.89,0,3,23,201,6
15,ST Gabriel (WI),2012-2021,56,84,32,221,20*,4.25,635,34.80,0,0,22,28,5
16,M Morkel (SA),2006-2018,86,104,23,944,40,11.65,1858,50.80,0,0,22,143,5
17,MS Atapattu (SL),1990-2007,90,156,15,5502,249,39.02,12384+,44.42*,16,17,22,685,4
18,SR Waugh (AUS),1985-2004,168,260,46,10927,200,51.06,22461,48.64,32,50,22,1175,20
