,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,50+,0
0,SR Tendulkar (INDIA),1989-2013,200,329,33,15921,248*,53.78,51,68,119,14
1,JH Kallis (ICC/SA),1995-2013,166,280,40,13289,224,55.37,45,58,103,16
2,RT Ponting (AUS),1995-2012,168,287,29,13378,257,51.85,41,62,103,17
3,R Dravid (ICC/INDIA),1996-2012,164,286,32,13288,270,52.31,36,63,99,8
4,S Chanderpaul (WI),1994-2015,164,280,49,11867,203*,51.37,30,66,96,15
5,KC Sangakkara (SL),2000-2015,134,233,17,12400,319,57.40,38,52,90,11
6,AR Border (AUS),1978-1994,156,265,44,11174,205,50.56,27,63,90,11
7,AN Cook (ENG),2006-2018,161,291,16,12472,294,45.35,33,57,90,9
8,DPMD Jayawardene (SL),1997-2014,149,252,15,11814,374,49.84,34,50,84,15
9,JE Root (ENG),2012-2022,124,228,18,10504,254,50.01,28,54,82,11
10,BC Lara (ICC/WI),1990-2006,131,232,6,11953,400*,52.88,34,48,82,17
11,SR Waugh (AUS),1985-2004,168,260,46,10927,200,51.06,32,50,82,22
12,SM Gavaskar (INDIA),1971-1987,125,214,16,10122,236*,51.12,34,45,79,12
13,VVS Laxman (INDIA),1996-2012,134,225,34,8781,281,45.97,17,56,73,14
14,Inzamam-ul-Haq (ICC/PAK),1992-2007,120,200,22,8830,329,49.60,25,46,71,15
15,IVA Richards (WI),1974-1991,121,182,12,8540,291,50.23,24,45,69,10
16,HM Amla (SA),2004-2019,124,215,16,9282,311*,46.64,28,41,69,13
17,AB de Villiers (SA),2004-2018,114,191,18,8765,278*,50.66,22,46,68,8
18,IR Bell (ENG),2004-2015,118,205,24,7727,235,42.69,22,46,68,14
19,ME Waugh (AUS),1991-2002,128,209,17,8029,153*,41.81,20,47,67,19
20,Younis Khan (PAK),2000-2017,118,213,19,10099,313,52.05,34,33,67,19
21,Javed Miandad (PAK),1976-1993,124,189,21,8832,280*,52.57,23,43,66,6
22,GA Gooch (ENG),1975-1995,118,215,6,8900,333,42.58,20,46,66,13
23,GC Smith (ICC/SA),2002-2014,117,205,13,9265,277,48.25,27,38,65,11
24,SPD Smith (AUS),2010-2022,87,154,18,8161,239,60.00,28,36,64,7
25,G Boycott (ENG),1964-1982,108,193,23,8114,246*,47.72,22,42,64,10
26,MA Atherton (ENG),1989-2001,115,212,7,7728,185*,37.69,16,46,62,20
27,MC Cowdrey (ENG),1954-1975,114,188,15,7624,182,44.06,22,38,60,9
28,AJ Stewart (ENG),1990-2003,133,235,21,8463,190,39.54,15,45,60,14
29,ML Hayden (AUS),1994-2009,103,184,14,8625,380,50.73,30,29,59,14
30,MA Taylor (AUS),1989-1999,104,186,13,7525,334*,43.49,19,40,59,5
31,CH Lloyd (WI),1966-1985,110,175,14,7515,242*,46.67,19,39,58,4
32,DA Warner (AUS),2011-2022,96,176,8,7817,335*,46.52,24,34,58,11
33,KP Pietersen (ENG),2005-2014,104,181,8,8181,227,47.28,23,35,58,10
34,KS Williamson (NZ),2010-2022,88,154,14,7368,251,52.62,24,33,57,9
35,Mohammad Yousuf (PAK),1998-2010,90,156,12,7530,223,52.29,24,33,57,11
36,DL Haynes (WI),1978-1994,116,202,25,7487,184,42.29,18,39,57,10
37,DI Gower (ENG),1978-1992,117,204,18,8231,215,44.25,18,39,57,7
38,GS Sobers (WI),1954-1974,93,160,21,8032,365*,57.78,26,30,56,12
39,KF Barrington (ENG),1955-1968,82,131,15,6806,256,58.67,20,35,55,5
40,GS Chappell (AUS),1970-1984,87,151,19,7110,247*,53.86,24,31,55,12
41,V Kohli (INDIA),2011-2022,102,173,10,8074,254*,49.53,27,28,55,14
42,G Kirsten (SA),1993-2004,101,176,15,7289,275,45.27,21,34,55,13
43,GP Thorpe (ENG),1993-2005,100,179,28,6744,200*,44.66,16,39,55,12
44,V Sehwag (ICC/INDIA),2001-2013,104,180,6,8586,319,49.34,23,32,55,16
45,SP Fleming (NZ),1994-2008,111,189,10,7172,274*,40.06,9,46,55,16
46,MJ Clarke (AUS),2004-2015,115,198,22,8643,329*,49.10,28,27,55,9
47,Azhar Ali (PAK),2010-2022,95,176,11,7030,302*,42.60,19,35,54,18
48,LRPL Taylor (NZ),2007-2022,112,196,24,7683,290,44.66,19,35,54,14
49,JL Langer (AUS),1993-2007,105,182,12,7696,250,45.27,23,30,53,11
50,CG Greenidge (WI),1974-1991,108,185,16,7558,226,44.72,19,34,53,11
51,DC Boon (AUS),1984-1996,107,190,20,7422,200,43.65,21,32,53,16
52,L Hutton (ENG),1937-1955,79,138,15,6971,364,56.67,19,33,52,5
53,CH Gayle (WI),2000-2014,103,182,11,7214,333,42.18,15,37,52,15
54,DB Vengsarkar (INDIA),1976-1992,116,185,22,6868,166,42.13,17,35,52,15
55,CA Pujara (INDIA),2010-2022,96,164,9,6792,206*,43.81,18,33,51,11
56,AD Mathews (SL),2009-2022,100,178,24,6953,200*,45.14,13,38,51,4
57,SC Ganguly (INDIA),1996-2008,113,188,17,7212,239,42.17,16,35,51,13
