,Player,Runs,Mins,Balls,4s,6s,,Team,Opposition,Ground,Match Date,Scorecard
0,JH Edrich,310*,532,450,52,5,,England,v New Zealand,Leeds,8 Jul 1965,Test # 593
1,V Sehwag,254,328,247,47,1,,India,v Pakistan,Lahore,13 Jan 2006,Test # 1781
2,DG Bradman,334,383,448,46,0,,Australia,v England,Leeds,11 Jul 1930,Test # 196
3,BC Lara,375,766,538,45,0,,West Indies,v England,St John's,16 Apr 1994,Test # 1259
4,VVS Laxman,281,631,452,44,0,,India,v Australia,Kolkata,11 Mar 2001,Test # 1535
5,DG Bradman,304,430,473,43,2,,Australia,v England,Leeds,20 Jul 1934,Test # 236
6,RG Pollock,274,417,401,43,0,,South Africa,v Australia,Durban,5 Feb 1970,Test # 671
7,GA Gooch,333,628,485,43,3,,England,v India,Lord's,26 Jul 1990,Test # 1148
8,BC Lara,400*,778,582,43,4,,West Indies,v England,St John's,10 Apr 2004,Test # 1696
9,DPMD Jayawardene,374,752,572,43,1,,Sri Lanka,v South Africa,Colombo (SSC),27 Jul 2006,Test # 1810
10,LRPL Taylor,290,567,374,43,0,,New Zealand,v Australia,Perth,13 Nov 2015,Test # 2187
11,RB Kanhai,256,400,-,42,0,,West Indies,v India,Kolkata,31 Dec 1958,Test # 463
12,V Sehwag,319,530,304,42,5,,India,v South Africa,Chennai,26 Mar 2008,Test # 1870
13,DL Amiss,262*,570,563,40,1,,England,v West Indies,Kingston,16 Feb 1974,Test # 732
14,PA de Silva,267,509,380,40,0,,Sri Lanka,v New Zealand,Wellington,31 Jan 1991,Test # 1162
15,V Sehwag,293,366,254,40,7,,India,v Sri Lanka,Brabourne,2 Dec 2009,Test # 1937
16,MJ Clarke,230,345,257,40,1,,Australia,v South Africa,Adelaide,22 Nov 2012,Test # 2061
17,V Sehwag,309,531,375,39,6,,India,v Pakistan,Multan,28 Mar 2004,Test # 1693
18,MJ Clarke,329*,609,468,39,1,,Australia,v India,Sydney,3 Jan 2012,Test # 2027
19,DA Warner,335*,554,418,39,1,,Australia,v Pakistan,Adelaide,29 Nov 2019,Test # 2372
20,GS Sobers,365*,614,-,38,0,,West Indies,v Pakistan,Kingston,26 Feb 1958,Test # 450
21,Zaheer Abbas,274,544,467,38,0,,Pakistan,v England,Birmingham,3 Jun 1971,Test # 687
22,IVA Richards,291,472,386,38,0,,West Indies,v England,The Oval,12 Aug 1976,Test # 781
23,BC Lara,277,474,372,38,0,,West Indies,v Australia,Sydney,2 Jan 1993,Test # 1208
24,N Hussain,207,437,337,38,0,,England,v Australia,Birmingham,5 Jun 1997,Test # 1368
25,Inzamam-ul-Haq,329,579,436,38,9,,Pakistan,v New Zealand,Lahore,1 May 2002,Test # 1600
26,ML Hayden,380,622,437,38,11,,Australia,v Zimbabwe,Perth,9 Oct 2003,Test # 1661
27,RE Foster,287,419,-,37,0,,England,v Australia,Sydney,11 Dec 1903,Test # 78
28,BA Young,267*,605,422,37,0,,New Zealand,v Sri Lanka,Dunedin,7 Mar 1997,Test # 1358
29,CH Gayle,317,630,483,37,3,,West Indies,v South Africa,St John's,29 Apr 2005,Test # 1750
30,AD Nourse,231,289,-,36,0,,South Africa,v Australia,Johannesburg,24 Dec 1935,Test # 248
31,LG Rowe,302,612,430,36,1,,West Indies,v England,Bridgetown,6 Mar 1974,Test # 734
32,ST Jayasuriya,340,799,578,36,2,,Sri Lanka,v India,Colombo (RPS),2 Aug 1997,Test # 1374
33,MS Atapattu,249,516,324,36,1,,Sri Lanka,v Zimbabwe,Bulawayo,14 May 2004,Test # 1699
34,KC Sangakkara,270,468,365,36,2,,Sri Lanka,v Zimbabwe,Bulawayo,14 May 2004,Test # 1699
35,L Hutton,364,797,847,35,0,,England,v Australia,The Oval,20 Aug 1938,Test # 266
36,FMM Worrell,261,335,-,35,2,,West Indies,v England,Nottingham,20 Jul 1950,Test # 325
37,FMM Worrell,237,570,-,35,0,,West Indies,v India,Kingston,28 Mar 1953,Test # 371
38,GC Smith,277,541,373,35,0,,South Africa,v England,Birmingham,24 Jul 2003,Test # 1651
39,HH Gibbs,183,324,258,35,1,,South Africa,v England,The Oval,4 Sep 2003,Test # 1659
40,SR Tendulkar,248*,552,379,35,0,,India,v Bangladesh,Dhaka,10 Dec 2004,Test # 1725
41,KC Sangakkara,287,675,457,35,0,,Sri Lanka,v South Africa,Colombo (SSC),27 Jul 2006,Test # 1810
42,HM Amla,311*,790,529,35,0,,South Africa,v England,The Oval,19 Jul 2012,Test # 2049
