,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,4s,6s
0,SR Tendulkar (INDIA),1989-2013,200,329,33,15921,248*,53.78,51,68,14,2058+,69
1,R Dravid (ICC/INDIA),1996-2012,164,286,32,13288,270,52.31,36,63,8,1654,21
2,BC Lara (ICC/WI),1990-2006,131,232,6,11953,400*,52.88,34,48,17,1559,88
3,RT Ponting (AUS),1995-2012,168,287,29,13378,257,51.85,41,62,17,1509,73
4,KC Sangakkara (SL),2000-2015,134,233,17,12400,319,57.40,38,52,11,1491,51
5,JH Kallis (ICC/SA),1995-2013,166,280,40,13289,224,55.37,45,58,16,1488,97
6,AN Cook (ENG),2006-2018,161,291,16,12472,294,45.35,33,57,9,1442,11
7,DPMD Jayawardene (SL),1997-2014,149,252,15,11814,374,49.84,34,50,15,1387,61
8,S Chanderpaul (WI),1994-2015,164,280,49,11867,203*,51.37,30,66,15,1285,36
9,V Sehwag (ICC/INDIA),2001-2013,104,180,6,8586,319,49.34,23,32,16,1233,91
10,SR Waugh (AUS),1985-2004,168,260,46,10927,200,51.06,32,50,22,1175,20
11,HM Amla (SA),2004-2019,124,215,16,9282,311*,46.64,28,41,13,1170,14
12,JE Root (ENG),2012-2022,124,228,18,10504,254,50.01,28,54,11,1168,28
13,GC Smith (ICC/SA),2002-2014,117,205,13,9265,277,48.25,27,38,11,1165,24
14,AR Border (AUS),1978-1994,156,265,44,11174,205,50.56,27,63,11,1161,28
15,VVS Laxman (INDIA),1996-2012,134,225,34,8781,281,45.97,17,56,14,1135,5
16,AJ Stewart (ENG),1990-2003,133,235,21,8463,190,39.54,15,45,14,1121,10
17,Inzamam-ul-Haq (ICC/PAK),1992-2007,120,200,22,8830,329,49.60,25,46,15,1105,48
18,Younis Khan (PAK),2000-2017,118,213,19,10099,313,52.05,34,33,19,1082,70
19,GA Gooch (ENG),1975-1995,118,215,6,8900,333,42.58,20,46,13,1079,25
20,ML Hayden (AUS),1994-2009,103,184,14,8625,380,50.73,30,29,14,1049,82
21,CH Gayle (WI),2000-2014,103,182,11,7214,333,42.18,15,37,15,1046,98
22,AB de Villiers (SA),2004-2018,114,191,18,8765,278*,50.66,22,46,8,1024,64
