,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0
0,DG Bradman (AUS),1928-1948,37,63,7,5028,334,89.78,19,12,6
1,SM Gavaskar (INDIA),1971-1983,27,48,6,2749,236*,65.45,13,7,5
2,JB Hobbs (ENG),1908-1930,41,71,4,3636,187,54.26,12,15,3
3,SPD Smith (AUS),2010-2022,32,56,5,3044,239,59.68,11,11,2
4,SR Tendulkar (INDIA),1991-2013,39,74,8,3630,241*,55.00,11,16,4
5,KC Sangakkara (SL),2002-2015,23,45,6,2911,230,74.64,10,12,2
6,GS Sobers (WI),1954-1974,36,61,8,3214,226,60.64,10,13,6
7,SR Waugh (AUS),1986-2003,46,73,18,3200,177*,58.18,10,14,6
8,SR Tendulkar (INDIA),1990-2010,25,36,3,1995,203,60.45,9,6,0
9,JE Root (ENG),2012-2022,25,45,5,2526,218,63.15,9,10,1
10,RB Richardson (WI),1984-1995,29,48,4,2175,182,49.43,9,7,3
11,WR Hammond (ENG),1928-1947,33,58,3,2852,251,51.85,9,7,2
12,BC Lara (ICC/WI),1992-2005,31,58,2,2856,277,51.00,9,11,5
13,GS Chappell (AUS),1970-1983,35,65,8,2619,144,45.94,9,12,4
14,DI Gower (ENG),1978-1991,42,77,4,3269,215,44.78,9,12,3
15,RN Harvey (AUS),1949-1958,14,23,3,1625,205,81.25,8,5,0
16,SPD Smith (AUS),2013-2021,14,28,4,1742,192,72.58,8,5,1
17,GA Headley (WI),1930-1954,16,29,3,1852,270*,71.23,8,5,1
18,GS Sobers (WI),1958-1971,18,30,7,1920,198,83.47,8,7,2
19,SM Gavaskar (INDIA),1977-1986,20,31,1,1550,172,51.66,8,4,2
20,PA de Silva (SL),1985-2000,21,38,3,1475,168,42.14,8,1,3
21,DPMD Jayawardene (SL),1998-2014,23,41,3,2212,213*,58.21,8,10,2
22,IVA Richards (WI),1974-1989,28,41,3,1927,192*,50.71,8,7,1
23,JH Kallis (SA),1998-2010,24,43,11,2356,177,73.62,8,12,3
24,AR Morris (AUS),1946-1955,24,43,2,2080,206,50.73,8,8,3
25,H Sutcliffe (ENG),1924-1934,27,46,5,2741,194,66.85,8,16,1
26,RT Ponting (AUS),1997-2012,26,48,3,2132,143*,47.37,8,11,6
27,Younis Khan (PAK),2000-2015,29,48,4,2286,313,51.95,8,6,3
28,IVA Richards (WI),1976-1991,36,50,4,2869,291,62.36,8,15,2
29,JH Kallis (SA),1995-2012,31,51,3,2141,182*,44.60,8,8,4
30,RT Ponting (AUS),1996-2012,29,51,4,2555,257,54.36,8,12,4
31,RT Ponting (AUS),1997-2010,35,58,2,2476,196,44.21,8,9,2
32,AR Border (AUS),1978-1993,47,82,19,3548,200*,56.31,8,21,3
33,Mohammad Yousuf (PAK),2000-2006,8,14,2,1214,192,101.16,7,3,1
34,ED Weekes (WI),1948-1953,10,15,1,1495,207,106.78,7,4,0
35,KC Sangakkara (SL),2001-2014,15,21,2,1816,319,95.57,7,7,1
36,GC Smith (SA),2003-2010,14,25,2,1593,148,69.26,7,4,0
37,Javed Miandad (PAK),1976-1993,18,29,5,1919,271,79.95,7,6,0
38,JH Kallis (SA),2000-2013,18,31,6,1734,201*,69.36,7,5,1
39,M Leyland (ENG),1929-1938,20,34,4,1705,187,56.83,7,3,2
40,V Kohli (INDIA),2011-2020,20,36,1,1682,169,48.05,7,5,3
41,R Dravid (INDIA),1996-2011,21,37,5,1950,217,60.93,7,8,1
42,MJ Slater (AUS),1993-2001,20,37,0,1669,176,45.10,7,4,0
43,GC Smith (SA),2003-2012,21,39,3,2051,277,56.97,7,7,3
44,MJ Clarke (AUS),2004-2014,22,40,2,2049,329*,53.92,7,6,2
45,DCS Compton (ENG),1947-1957,24,42,1,2205,208,53.78,7,11,1
46,AD Nourse (SA),1935-1951,24,43,6,2037,208,55.05,7,9,1
47,S Chanderpaul (WI),1994-2013,25,44,10,2171,140,63.85,7,10,0
48,CH Lloyd (WI),1966-1983,28,44,4,2344,242*,58.60,7,12,1
49,RT Ponting (AUS),1996-2012,24,44,7,1977,206,53.43,7,7,0
50,SR Tendulkar (INDIA),1992-2011,25,45,4,1741,169,42.46,7,5,3
51,CG Greenidge (WI),1976-1990,32,48,2,2318,223,50.39,7,8,3
52,BC Lara (WI),1994-2004,30,51,3,2983,400*,62.14,7,11,4
53,WM Lawry (AUS),1961-1971,29,51,5,2233,166,48.54,7,13,4
54,SR Waugh (AUS),1988-2003,32,51,7,2192,200,49.81,7,9,3
55,SR Tendulkar (INDIA),1990-2012,32,53,4,2535,193,51.73,7,13,0
56,AN Cook (ENG),2006-2018,30,54,3,2431,294,47.66,7,9,1
57,HW Taylor (SA),1912-1931,30,54,3,2287,176,44.84,7,13,0
58,DC Boon (AUS),1985-1995,31,57,8,2237,184*,45.65,7,8,5
59,JH Edrich (ENG),1964-1975,32,57,3,2644,175,48.96,7,13,0
60,B Mitchell (SA),1929-1949,30,57,7,2732,189*,54.64,7,16,0
61,MJ Clarke (AUS),2005-2015,35,62,7,2241,187,40.74,7,7,2
62,G Boycott (ENG),1964-1981,38,71,9,2945,191,47.50,7,14,3
