,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0
0,SR Tendulkar (INDIA),1989-2013,200,329,33,15921,248*,53.78,51,68,14
1,JH Kallis (ICC/SA),1995-2013,166,280,40,13289,224,55.37,45,58,16
2,RT Ponting (AUS),1995-2012,168,287,29,13378,257,51.85,41,62,17
3,KC Sangakkara (SL),2000-2015,134,233,17,12400,319,57.40,38,52,11
4,R Dravid (ICC/INDIA),1996-2012,164,286,32,13288,270,52.31,36,63,8
5,Younis Khan (PAK),2000-2017,118,213,19,10099,313,52.05,34,33,19
6,SM Gavaskar (INDIA),1971-1987,125,214,16,10122,236*,51.12,34,45,12
7,BC Lara (ICC/WI),1990-2006,131,232,6,11953,400*,52.88,34,48,17
8,DPMD Jayawardene (SL),1997-2014,149,252,15,11814,374,49.84,34,50,15
9,AN Cook (ENG),2006-2018,161,291,16,12472,294,45.35,33,57,9
10,SR Waugh (AUS),1985-2004,168,260,46,10927,200,51.06,32,50,22
11,ML Hayden (AUS),1994-2009,103,184,14,8625,380,50.73,30,29,14
12,S Chanderpaul (WI),1994-2015,164,280,49,11867,203*,51.37,30,66,15
13,DG Bradman (AUS),1928-1948,52,80,10,6996,334,99.94,29,13,7
14,SPD Smith (AUS),2010-2022,87,154,18,8161,239,60.00,28,36,7
15,MJ Clarke (AUS),2004-2015,115,198,22,8643,329*,49.10,28,27,9
16,HM Amla (SA),2004-2019,124,215,16,9282,311*,46.64,28,41,13
17,JE Root (ENG),2012-2022,124,228,18,10504,254,50.01,28,54,11
18,V Kohli (INDIA),2011-2022,102,173,10,8074,254*,49.53,27,28,14
19,GC Smith (ICC/SA),2002-2014,117,205,13,9265,277,48.25,27,38,11
20,AR Border (AUS),1978-1994,156,265,44,11174,205,50.56,27,63,11
21,GS Sobers (WI),1954-1974,93,160,21,8032,365*,57.78,26,30,12
22,Inzamam-ul-Haq (ICC/PAK),1992-2007,120,200,22,8830,329,49.60,25,46,15
23,GS Chappell (AUS),1970-1984,87,151,19,7110,247*,53.86,24,31,12
24,KS Williamson (NZ),2010-2022,88,154,14,7368,251,52.62,24,33,9
25,Mohammad Yousuf (PAK),1998-2010,90,156,12,7530,223,52.29,24,33,11
26,DA Warner (AUS),2011-2022,96,176,8,7817,335*,46.52,24,34,11
27,IVA Richards (WI),1974-1991,121,182,12,8540,291,50.23,24,45,10
28,V Sehwag (ICC/INDIA),2001-2013,104,180,6,8586,319,49.34,23,32,16
29,KP Pietersen (ENG),2005-2014,104,181,8,8181,227,47.28,23,35,10
30,JL Langer (AUS),1993-2007,105,182,12,7696,250,45.27,23,30,11
31,Javed Miandad (PAK),1976-1993,124,189,21,8832,280*,52.57,23,43,6
32,WR Hammond (ENG),1927-1947,85,140,16,7249,336*,58.45,22,24,4
33,M Azharuddin (INDIA),1984-2000,99,147,9,6215,199,45.03,22,21,5
34,MC Cowdrey (ENG),1954-1975,114,188,15,7624,182,44.06,22,38,9
35,AB de Villiers (SA),2004-2018,114,191,18,8765,278*,50.66,22,46,8
36,G Boycott (ENG),1964-1982,108,193,23,8114,246*,47.72,22,42,10
37,IR Bell (ENG),2004-2015,118,205,24,7727,235,42.69,22,46,14
38,RN Harvey (AUS),1948-1963,79,137,10,6149,205,48.41,21,24,7
39,G Kirsten (SA),1993-2004,101,176,15,7289,275,45.27,21,34,13
40,AJ Strauss (ENG),2004-2012,100,178,6,7037,177,40.91,21,27,15
41,DC Boon (AUS),1984-1996,107,190,20,7422,200,43.65,21,32,16
42,KF Barrington (ENG),1955-1968,82,131,15,6806,256,58.67,20,35,5
43,PA de Silva (SL),1984-2002,93,159,11,6361,267,42.97,20,22,7
44,ME Waugh (AUS),1991-2002,128,209,17,8029,153*,41.81,20,47,19
45,GA Gooch (ENG),1975-1995,118,215,6,8900,333,42.58,20,46,13
46,MEK Hussey (AUS),2005-2013,79,137,16,6235,195,51.52,19,29,12
47,L Hutton (ENG),1937-1955,79,138,15,6971,364,56.67,19,33,5
48,CH Lloyd (WI),1966-1985,110,175,14,7515,242*,46.67,19,39,4
49,Azhar Ali (PAK),2010-2022,95,176,11,7030,302*,42.60,19,35,18
50,CG Greenidge (WI),1974-1991,108,185,16,7558,226,44.72,19,34,11
51,MA Taylor (AUS),1989-1999,104,186,13,7525,334*,43.49,19,40,5
52,LRPL Taylor (NZ),2007-2022,112,196,24,7683,290,44.66,19,35,14
53,MP Vaughan (ENG),1999-2008,82,147,9,5719,197,41.44,18,18,9
54,CA Pujara (INDIA),2010-2022,96,164,9,6792,206*,43.81,18,33,11
55,DL Haynes (WI),1978-1994,116,202,25,7487,184,42.29,18,39,10
56,DI Gower (ENG),1978-1992,117,204,18,8231,215,44.25,18,39,7
57,DCS Compton (ENG),1937-1957,78,131,15,5807,278,50.06,17,28,10
58,MD Crowe (NZ),1982-1995,77,131,11,5444,299,45.36,17,18,9
59,AC Gilchrist (AUS),1999-2008,96,137,20,5570,204*,47.60,17,26,14
60,DB Vengsarkar (INDIA),1976-1992,116,185,22,6868,166,42.13,17,35,15
61,VVS Laxman (INDIA),1996-2012,134,225,34,8781,281,45.97,17,56,14
62,H Sutcliffe (ENG),1924-1935,54,84,9,4555,194,60.73,16,23,2
63,TM Dilshan (SL),1999-2013,87,145,11,5492,193,40.98,16,23,14
64,RB Richardson (WI),1983-1995,86,146,12,5949,194,44.39,16,27,8
65,MS Atapattu (SL),1990-2007,90,156,15,5502,249,39.02,16,17,22
66,GP Thorpe (ENG),1993-2005,100,179,28,6744,200*,44.66,16,39,12
67,SC Ganguly (INDIA),1996-2008,113,188,17,7212,239,42.17,16,35,13
68,MA Atherton (ENG),1989-2001,115,212,7,7728,185*,37.69,16,46,20
69,CL Walcott (WI),1948-1960,44,74,7,3798,220,56.68,15,14,1
70,ED Weekes (WI),1948-1958,48,81,5,4455,207,58.61,15,19,6
71,JB Hobbs (ENG),1908-1930,61,102,7,5410,211,56.94,15,28,4
72,KD Walters (AUS),1965-1981,74,125,14,5357,250,48.26,15,33,4
73,RB Kanhai (WI),1957-1974,79,137,6,6227,256,47.53,15,28,7
74,Saleem Malik (PAK),1982-1999,103,154,22,5768,237,43.69,15,29,12
75,RR Sarwan (WI),2000-2011,87,154,8,5842,291,40.01,15,31,12
76,CH Gayle (WI),2000-2014,103,182,11,7214,333,42.18,15,37,15
77,AJ Stewart (ENG),1990-2003,133,235,21,8463,190,39.54,15,45,14
