,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0
0,JE Root (ENG),2021-2022,19,35,4,1790,180*,57.74,8,5,3
1,JM Bairstow (ENG),2021-2022,15,28,3,1285,162,51.40,6,2,3
2,CL Walcott (WI),1955-1955,5,10,0,827,155,82.70,5,2,0
3,DG Bradman (AUS),1931-1932,5,5,1,806,299*,201.50,4,0,0
4,Mohammad Yousuf (PAK),2006-2006,3,5,0,665,192,133.00,4,1,0
5,DG Bradman (AUS),1947-1948,5,6,2,715,201,178.75,4,1,0
6,JH Kallis (SA),2003-2004,4,6,2,712,177,178.00,4,1,0
7,KD Walters (AUS),1968-1969,4,6,0,699,242,116.50,4,2,0
8,DG Bradman (AUS),1930-1930,5,7,0,974,334,139.14,4,0,0
9,ED Weekes (WI),1948-1949,5,7,0,779,194,111.28,4,2,0
10,DCS Compton (ENG),1947-1947,5,8,0,753,208,94.12,4,2,0
11,SM Gavaskar (INDIA),1971-1971,4,8,3,774,220,154.80,4,3,0
12,RN Harvey (AUS),1949-1950,5,8,3,660,178,132.00,4,1,0
13,GA Headley (WI),1930-1930,4,8,0,703,223,87.87,4,0,0
14,V Kohli (INDIA),2014-2015,4,8,0,692,169,86.50,4,1,0
15,Mudassar Nazar (PAK),1982-1983,6,8,2,761,231,126.83,4,1,0
16,SPD Smith (AUS),2014-2015,4,8,2,769,192,128.16,4,2,0
17,SM Gavaskar (INDIA),1978-1979,6,9,1,732,205,91.50,4,1,1
18,WR Hammond (ENG),1928-1929,5,9,1,905,251,113.12,4,0,0
19,RN Harvey (AUS),1952-1953,5,9,0,834,205,92.66,4,3,0
20,JE Root (ENG),2021-2022,5,9,2,737,180*,105.28,4,1,0
21,H Sutcliffe (ENG),1924-1925,5,9,0,734,176,81.55,4,2,1
22,H Sutcliffe (ENG),1929-1929,5,9,1,513,114,64.12,4,0,0
23,UT Khawaja (AUS),2022-2022,7,13,4,888,160,98.66,4,3,0
