,Player,Inns,Debut,Until:,Team,Opposition,Ground,Match Date,Scorecard
0,AB de Villiers,78,17 Dec 2004,,South Africa,v Bangladesh,Centurion,26 Nov 2008,Test # 1895
1,PA de Silva,75,23 Aug 1984,,Sri Lanka,v Zimbabwe,Bulawayo,20 Oct 1994,Test # 1271
2,CH Lloyd,58,13 Dec 1966,,West Indies,v England,Port of Spain,2 Feb 1974,Test # 731
3,LRPL Taylor,58,8 Nov 2007,,New Zealand,v Australia,Brisbane,1 Dec 2011,Test # 2020
4,JM Anderson,54,22 May 2003,,England,v Australia,The Oval,20 Aug 2009,Test # 1931
5,AK Davidson,51,11 Jun 1953,,Australia,v England,Manchester,27 Jul 1961,Test # 510
6,GO Jones,51,10 Apr 2004,,England,v Australia,Perth,14 Dec 2006,Test # 1821
7,OJ Pope,47,9 Aug 2018,,England,v India,Birmingham,1 Jul 2022,Test # 2470
8,BF Butcher,46,28 Nov 1958,,West Indies,v India,Chennai,13 Jan 1967,Test # 614
9,MJ Clarke,46,6 Oct 2004,,Australia,v India,Sydney,2 Jan 2008,Test # 1857
10,Yasir Hameed,46,20 Aug 2003,,Pakistan,v England,The Oval,18 Aug 2010,Test # 1970
11,PD Collingwood,45,2 Dec 2003,,England,v India,Lord's,19 Jul 2007,Test # 1840
12,CJL Rogers,45,16 Jan 2008,,Australia,v England,Nottingham,6 Aug 2015,Test # 2175
13,MJ Slater,44,3 Jun 1993,,Australia,v West Indies,Port of Spain,21 Apr 1995,Test # 1296
14,RT Ponting,44,8 Dec 1995,,Australia,v Pakistan,Brisbane,5 Nov 1999,Test # 1467
15,Sarfaraz Ahmed,42,14 Jan 2010,,Pakistan,v England,Birmingham,3 Aug 2016,Test # 2212
16,RN Harvey,41,23 Jan 1948,,Australia,v England,Nottingham,11 Jun 1953,Test # 372
17,GS Sobers,41,30 Mar 1954,,West Indies,v Pakistan,Karachi,20 Feb 1959,Test # 469
18,KD Ghavri,41,27 Dec 1974,,India,v Pakistan,Delhi,4 Dec 1979,Test # 863
19,WH Ponsford,40,19 Dec 1924,,Australia,v England,Brisbane,10 Feb 1933,Test # 223
20,Sadiq Mohammad,40,24 Oct 1969,,Pakistan,v Australia,Melbourne,1 Jan 1977,Test # 790
21,AJ Stewart,40,24 Feb 1990,,England,v India,Kolkata,29 Jan 1993,Test # 1211
