,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,90s
0,SR Waugh (AUS),1985-2004,168,260,46,10927,200,51.06,32,50,10
1,R Dravid (ICC/INDIA),1996-2012,164,286,32,13288,270,52.31,36,63,10
2,SR Tendulkar (INDIA),1989-2013,200,329,33,15921,248*,53.78,51,68,10
3,MJ Slater (AUS),1993-2001,74,131,7,5312,219,42.83,14,21,9
4,AI Kallicharran (WI),1972-1981,66,109,10,4399,187,44.43,12,21,8
5,AB de Villiers (SA),2004-2018,114,191,18,8765,278*,50.66,22,46,8
6,Inzamam-ul-Haq (ICC/PAK),1992-2007,120,200,22,8830,329,49.60,25,46,8
7,ML Hayden (AUS),1994-2009,103,184,14,8625,380,50.73,30,29,7
8,AN Cook (ENG),2006-2018,161,291,16,12472,294,45.35,33,57,7
9,C Hill (AUS),1896-1912,49,89,2,3412,191,39.21,7,19,6
10,RB Kanhai (WI),1957-1974,79,137,6,6227,256,47.53,15,28,6
11,HH Gibbs (SA),1996-2008,90,154,7,6167,228,41.95,14,26,6
12,CG Greenidge (WI),1974-1991,108,185,16,7558,226,44.72,19,34,6
13,SP Fleming (NZ),1994-2008,111,189,10,7172,274*,40.06,9,46,6
14,G Boycott (ENG),1964-1982,108,193,23,8114,246*,47.72,22,42,6
15,BC Lara (ICC/WI),1990-2006,131,232,6,11953,400*,52.88,34,48,6
16,DPMD Jayawardene (SL),1997-2014,149,252,15,11814,374,49.84,34,50,6
17,S Chanderpaul (WI),1994-2015,164,280,49,11867,203*,51.37,30,66,6
18,RT Ponting (AUS),1995-2012,168,287,29,13378,257,51.85,41,62,6
19,RR Pant (INDIA),2018-2022,31,53,4,2123,159*,43.32,5,10,5
20,KF Barrington (ENG),1955-1968,82,131,15,6806,256,58.67,20,35,5
21,HP Tillakaratne (SL),1989-2004,83,131,25,4545,204*,42.87,11,20,5
22,Misbah-ul-Haq (PAK),2001-2017,75,132,20,5222,161*,46.62,10,39,5
23,MEK Hussey (AUS),2005-2013,79,137,16,6235,195,51.52,19,29,5
24,MS Dhoni (INDIA),2005-2014,90,144,16,4876,224,38.09,6,33,5
25,KC Brathwaite (WI),2011-2022,79,152,10,4893,212,34.45,10,27,5
26,GS Sobers (WI),1954-1974,93,160,21,8032,365*,57.78,26,30,5
27,AD Mathews (SL),2009-2022,100,178,24,6953,200*,45.14,13,38,5
28,V Sehwag (ICC/INDIA),2001-2013,104,180,6,8586,319,49.34,23,32,5
29,KP Pietersen (ENG),2005-2014,104,181,8,8181,227,47.28,23,35,5
30,DC Boon (AUS),1984-1996,107,190,20,7422,200,43.65,21,32,5
31,MJ Clarke (AUS),2004-2015,115,198,22,8643,329*,49.10,28,27,5
32,MA Atherton (ENG),1989-2001,115,212,7,7728,185*,37.69,16,46,5
33,SM Gavaskar (INDIA),1971-1987,125,214,16,10122,236*,51.12,34,45,5
34,JH Kallis (ICC/SA),1995-2013,166,280,40,13289,224,55.37,45,58,5
