,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,Pairs
0,CS Martin (NZ),2000-2013,71,104,52,123,12*,2.36,0,0,36,7
1,M Dillon (WI),1997-2004,38,68,3,549,43,8.44,0,0,26,4
2,BS Chandrasekhar (INDIA),1964-1979,58,80,39,167,22,4.07,0,0,23,4
3,MS Atapattu (SL),1990-2007,90,156,15,5502,249,39.02,16,17,22,4
4,CA Walsh (WI),1984-2001,132,185,61,936,30*,7.54,0,0,43,4
5,M Muralidaran (ICC/SL),1992-2010,133,164,56,1261,67,11.67,0,1,33,4
6,Khaled Ahmed (BAN),2018-2022,9,15,4,5,4*,0.45,0,0,10,3
7,AG Hurst (AUS),1974-1979,12,20,3,102,26,6.00,0,0,10,3
8,CB Mpofu (ZIM),2005-2017,15,28,10,105,33,5.83,0,0,9,3
9,A Nehra (INDIA),1999-2004,17,25,11,77,19,5.50,0,0,10,3
10,Manjural Islam (BAN),2001-2004,17,33,11,81,21,3.68,0,0,10,3
11,MVT Fernando (SL),2016-2022,17,25,12,85,38,6.53,0,0,10,3
12,RW Blair (NZ),1953-1964,19,34,6,189,64*,6.75,0,1,12,3
13,R Peel (ENG),1884-1896,20,33,4,427,83,14.72,0,3,8,3
14,AB Agarkar (INDIA),1998-2006,26,39,5,571,109*,16.79,1,0,9,3
15,N Pradeep (SL),2011-2017,28,50,17,132,17*,4.00,0,0,18,3
16,DE Malcolm (ENG),1989-1997,40,58,19,236,29,6.05,0,0,16,3
17,DK Morrison (NZ),1987-1997,48,71,26,379,42,8.42,0,0,24,3
18,BS Bedi (INDIA),1966-1979,67,101,28,656,50*,8.98,0,1,20,3
19,A Flintoff (ENG/ICC),1998-2009,79,130,9,3845,167,31.77,5,26,17,3
20,DL Underwood (ENG),1966-1982,86,116,35,937,45*,11.56,0,0,19,3
21,Z Khan (INDIA),2000-2014,92,127,24,1231,75,11.95,0,3,29,3
22,CEL Ambrose (WI),1988-2000,98,145,29,1439,53,12.40,0,1,26,3
23,GD McGrath (AUS),1993-2007,124,138,51,641,61,7.36,0,1,35,3
24,JM Anderson (ENG),2003-2022,175,245,106,1285,81,9.24,0,1,31,3
