,Player,Runs,Mins,Balls,4s,6s,4+6,,Team,Opposition,Ground,Match Date,Scorecard
0,JH Edrich,310*,532,450,52,5,238,,England,v New Zealand,Leeds,8 Jul 1965,Test # 593
1,ML Hayden,380,622,437,38,11,218,,Australia,v Zimbabwe,Perth,9 Oct 2003,Test # 1661
2,Inzamam-ul-Haq,329,579,436,38,9,206,,Pakistan,v New Zealand,Lahore,1 May 2002,Test # 1600
3,V Sehwag,293,366,254,40,7,202,,India,v Sri Lanka,Brabourne,2 Dec 2009,Test # 1937
4,V Sehwag,319,530,304,42,5,198,,India,v South Africa,Chennai,26 Mar 2008,Test # 1870
5,WR Hammond,336*,318,-,34,10,196,,England,v New Zealand,Auckland,31 Mar 1933,Test # 226
6,BC Lara,400*,778,582,43,4,196,,West Indies,v England,St John's,10 Apr 2004,Test # 1696
7,V Sehwag,254,328,247,47,1,194,,India,v Pakistan,Lahore,13 Jan 2006,Test # 1781
8,V Sehwag,309,531,375,39,6,192,,India,v Pakistan,Multan,28 Mar 2004,Test # 1693
9,GA Gooch,333,628,485,43,3,190,,England,v India,Lord's,26 Jul 1990,Test # 1148
10,CH Gayle,333,653,437,34,9,190,,West Indies,v Sri Lanka,Galle,15 Nov 2010,Test # 1977
11,BA Stokes,258,338,198,30,11,186,,England,v South Africa,Cape Town,2 Jan 2016,Test # 2197
12,DG Bradman,334,383,448,46,0,184,,Australia,v England,Leeds,11 Jul 1930,Test # 196
13,DG Bradman,304,430,473,43,2,184,,Australia,v England,Leeds,20 Jul 1934,Test # 236
14,BC Lara,375,766,538,45,0,180,,West Indies,v England,St John's,16 Apr 1994,Test # 1259
15,NJ Astle,222,231,168,28,11,178,,New Zealand,v England,Christchurch,13 Mar 2002,Test # 1594
16,DPMD Jayawardene,374,752,572,43,1,178,,Sri Lanka,v South Africa,Colombo (SSC),27 Jul 2006,Test # 1810
17,VVS Laxman,281,631,452,44,0,176,,India,v Australia,Kolkata,11 Mar 2001,Test # 1535
18,KC Sangakkara,319,551,482,32,8,176,,Sri Lanka,v Bangladesh,Chattogram,4 Feb 2014,Test # 2117
19,RG Pollock,274,417,401,43,0,172,,South Africa,v Australia,Durban,5 Feb 1970,Test # 671
20,LRPL Taylor,290,567,374,43,0,172,,New Zealand,v Australia,Perth,13 Nov 2015,Test # 2187
21,RB Kanhai,256,400,-,42,0,168,,West Indies,v India,Kolkata,31 Dec 1958,Test # 463
22,DL Amiss,262*,570,563,40,1,166,,England,v West Indies,Kingston,16 Feb 1974,Test # 732
23,CH Gayle,317,630,483,37,3,166,,West Indies,v South Africa,St John's,29 Apr 2005,Test # 1750
24,MJ Clarke,230,345,257,40,1,166,,Australia,v South Africa,Adelaide,22 Nov 2012,Test # 2061
25,MJ Clarke,329*,609,468,39,1,162,,Australia,v India,Sydney,3 Jan 2012,Test # 2027
26,DA Warner,335*,554,418,39,1,162,,Australia,v Pakistan,Adelaide,29 Nov 2019,Test # 2372
27,PA de Silva,267,509,380,40,0,160,,Sri Lanka,v New Zealand,Wellington,31 Jan 1991,Test # 1162
28,Wasim Akram,257*,490,363,22,12,160,,Pakistan,v Zimbabwe,Sheikhupura,17 Oct 1996,Test # 1336
29,MA Agarwal,243,-,330,28,8,160,,India,v Bangladesh,Indore,14 Nov 2019,Test # 2366
30,ST Jayasuriya,340,799,578,36,2,156,,Sri Lanka,v India,Colombo (RPS),2 Aug 1997,Test # 1374
31,KC Sangakkara,270,468,365,36,2,156,,Sri Lanka,v Zimbabwe,Bulawayo,14 May 2004,Test # 1699
32,ST Jayasuriya,253,490,348,33,4,156,,Sri Lanka,v Pakistan,Faisalabad,20 Oct 2004,Test # 1716
33,FMM Worrell,261,335,-,35,2,152,,West Indies,v England,Nottingham,20 Jul 1950,Test # 325
34,GS Sobers,365*,614,-,38,0,152,,West Indies,v Pakistan,Kingston,26 Feb 1958,Test # 450
35,Zaheer Abbas,274,544,467,38,0,152,,Pakistan,v England,Birmingham,3 Jun 1971,Test # 687
36,IVA Richards,291,472,386,38,0,152,,West Indies,v England,The Oval,12 Aug 1976,Test # 781
37,BC Lara,277,474,372,38,0,152,,West Indies,v Australia,Sydney,2 Jan 1993,Test # 1208
38,N Hussain,207,437,337,38,0,152,,England,v Australia,Birmingham,5 Jun 1997,Test # 1368
39,HH Gibbs,228,383,240,29,6,152,,South Africa,v Pakistan,Cape Town,2 Jan 2003,Test # 1637
40,BB McCullum,302,775,559,32,4,152,,New Zealand,v India,Wellington,14 Feb 2014,Test # 2120
41,KK Nair,303*,565,381,32,4,152,,India,v England,Chennai,16 Dec 2016,Test # 2241
42,LG Rowe,302,612,430,36,1,150,,West Indies,v England,Bridgetown,6 Mar 1974,Test # 734
43,KC Sangakkara,230,480,327,33,3,150,,Sri Lanka,v Pakistan,Lahore,6 Mar 2002,Test # 1592
44,MS Atapattu,249,516,324,36,1,150,,Sri Lanka,v Zimbabwe,Bulawayo,14 May 2004,Test # 1699
45,BB McCullum,202,279,188,21,11,150,,New Zealand,v Pakistan,Sharjah,26 Nov 2014,Test # 2147
