,Player,Year,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,Mohammad Yousuf (PAK),2006,11,19,1,1788,202,99.33,2854,62.64,9,3,1,222,12
1,IVA Richards (WI),1976,11,19,0,1710,291,90.00,1584+,72.85*,7,5,0,179+,7
2,JE Root (ENG),2021,15,29,1,1708,228,61.00,3004,56.85,6,4,1,179,3
3,GC Smith (SA),2008,15,25,2,1656,232,72.00,2516,65.81,6,6,1,215,4
4,MJ Clarke (AUS),2012,11,18,3,1595,329*,106.33,2418,65.96,5,3,0,189,6
5,SR Tendulkar (INDIA),2010,14,23,3,1562,214,78.10,2794,55.90,7,5,0,181,10
6,SM Gavaskar (INDIA),1979,18,27,1,1555,221,59.80,2433+,47.43*,5,8,0,177+,3+
7,RT Ponting (AUS),2005,15,28,5,1544,207,67.13,2518,61.31,6,6,1,178,11
8,RT Ponting (AUS),2003,11,18,3,1503,257,100.20,2494,60.26,6,4,1,180,7
9,KC Sangakkara (SL),2014,12,22,1,1493,319,71.09,2707,55.15,4,9,1,161,11
10,MP Vaughan (ENG),2002,14,26,2,1481,197,61.70,2422,61.14,6,2,3,186,11
11,JL Langer (AUS),2004,14,27,0,1481,215,54.85,2697,54.91,5,4,2,172,10
12,JE Root (ENG),2016,17,32,2,1477,254,49.23,2433,60.70,3,10,1,170,1
13,SPD Smith (AUS),2015,13,24,4,1474,215,73.70,2374,62.08,6,5,0,167,7
14,JM Bairstow (ENG),2016,17,29,4,1470,167*,58.80,2525,58.21,3,8,1,145,8
15,V Sehwag (INDIA),2008,14,27,1,1462,319,56.23,1703,85.84,3,6,1,181,22
16,V Sehwag (INDIA),2010,14,25,2,1422,173,61.82,1566,90.80,5,8,2,215,10
17,SR Tendulkar (INDIA),2002,16,26,1,1392,193,55.68,2568,54.20,4,5,3,197,4
18,ML Hayden (AUS),2001,14,25,3,1391,203,63.22,2213,62.85,5,5,2,169,20
19,GR Viswanath (INDIA),1979,18,26,2,1388,179,57.83,2054+,46.20*,5,6,0,127+,1
20,JE Root (ENG),2015,14,26,3,1385,182*,60.21,2174,63.70,3,10,1,158,10
21,RB Simpson (AUS),1964,14,26,3,1381,311,60.04,1572+,45.10*,3,7,2,135,1
22,ML Hayden (AUS),2005,15,29,3,1380,138,53.07,2550,54.11,5,4,2,175,6
23,DL Amiss (ENG),1974,13,22,2,1379,262*,68.95,3126,44.11,5,3,0,160,1
24,AN Cook (ENG),2015,14,26,1,1364,263,54.56,3123,43.67,3,8,1,150,0
25,R Dravid (INDIA),2002,16,26,3,1357,217,59.00,3237,41.92,5,5,0,189,0
26,DR Martyn (AUS),2004,14,26,2,1353,161,56.37,2603,51.97,6,5,1,148,5
27,BC Lara (WI),2003,10,19,1,1344,209,74.66,2129,63.12,5,5,0,178,16
28,KP Pietersen (ENG),2006,14,26,1,1343,158,53.72,2057,65.28,4,6,1,171,15
29,RT Ponting (AUS),2006,10,18,3,1333,196,88.86,2193,60.78,7,4,0,139,7
30,IJL Trott (ENG),2010,14,24,4,1325,226,66.25,2680,49.44,4,4,0,148,0
31,ME Trescothick (ENG),2005,13,24,0,1323,194,55.12,2099,63.03,4,4,3,180,11
32,V Kohli (INDIA),2018,13,24,0,1322,153,55.08,2433,54.33,5,5,2,144,2
33,AD Mathews (SL),2014,12,21,6,1317,160,87.80,2654,49.62,3,8,0,133,16
34,DA Warner (AUS),2015,13,24,0,1317,253,54.87,1609,81.85,4,7,2,163,11
35,ML Hayden (AUS),2003,12,21,4,1312,380,77.17,1734,75.66,5,3,0,156,20
36,SM Gavaskar (INDIA),1983,18,32,4,1310,236*,46.78,1098+,50.27*,5,5,3,122+,3
37,SPD Smith (AUS),2017,11,20,3,1305,239,76.76,2573,50.71,6,3,0,140,2
38,JH Kallis (SA),2004,11,21,5,1288,162,80.50,2540,50.70,5,7,2,148,12
39,AN Cook (ENG),2010,14,24,2,1287,235*,58.50,2350,54.76,5,4,0,148,3
40,ST Jayasuriya (SL),1997,11,19,0,1271,340,66.89,1947,65.27,3,7,2,140,9
41,AN Cook (ENG),2016,17,33,3,1270,130,42.33,2447,51.90,2,7,0,151,1
42,GA Gooch (ENG),1990,9,17,1,1264,333,79.00,2267,55.75,4,5,1,152,8
43,HM Amla (SA),2010,11,19,3,1249,253*,78.06,2354,53.05,5,4,0,138,2
44,AN Cook (ENG),2012,15,29,3,1249,190,48.03,2981,41.89,4,3,2,138,5
45,KC Sangakkara (SL),2006,11,20,2,1242,287,69.00,2104,59.03,4,4,1,165,3
46,DC Boon (AUS),1993,16,25,5,1241,164*,62.05,3025,41.02,4,7,4,149,1
47,TT Samaraweera (SL),2009,11,20,3,1234,231,72.58,2115,58.34,4,4,1,170,4
48,BC Lara (WI),1995,12,20,2,1222,179,67.88,1660,73.61,4,6,1,192,1
49,AJ Stewart (ENG),1998,16,31,3,1222,164,43.64,2599,47.01,2,7,2,152,0
50,PA de Silva (SL),1997,11,19,3,1220,168,76.25,2075,58.79,7,2,2,149,6
51,MA Taylor (AUS),1989,11,20,1,1219,219,64.15,2766,44.07,4,5,0,125,2
52,V Kohli (INDIA),2016,12,18,2,1215,235,75.93,2011,60.41,4,2,0,134,2
53,Younis Khan (PAK),2014,10,20,3,1213,213,71.35,2217,54.71,6,2,1,101,12
54,JH Kallis (SA),2007,9,17,3,1210,186,86.42,2319,52.17,5,6,1,135,7
