,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0
0,SK Warne (AUS),1992-2007,145,199,17,3154,99,17.32,0,12,34
1,N Dickwella (SL),2014-2022,53,94,7,2750,96,31.60,0,22,3
2,CPS Chauhan (INDIA),1969-1981,40,68,2,2084,97,31.57,0,16,6
3,DL Murray (WI),1963-1980,62,96,9,1993,91,22.90,0,11,7
4,TG Southee (NZ),2008-2022,88,126,11,1855,77*,16.13,0,5,15
5,MA Starc (AUS),2011-2022,71,104,22,1816,99,22.14,0,10,12
6,MD Marshall (WI),1978-1991,81,107,11,1810,92,18.85,0,10,15
7,VD Philander (SA),2011-2020,64,94,20,1779,74,24.04,0,8,8
8,JE Emburey (ENG),1978-1995,64,96,20,1713,75,22.53,0,10,16
9,HMRKB Herath (SL),1999-2018,93,144,28,1699,80*,14.64,0,3,23
10,TD Paine (AUS),2010-2021,35,57,10,1534,92,32.63,0,9,4
11,KD Mackay (AUS),1956-1963,37,52,7,1507,89,33.48,0,13,6
12,B Lee (AUS),1999-2008,76,90,18,1451,64,20.15,0,5,14
13,FJ Titmus (ENG),1955-1975,53,76,11,1449,84*,22.29,0,10,4
14,JM Brearley (ENG),1976-1981,39,66,3,1442,91,22.88,0,9,6
15,CEL Ambrose (WI),1988-2000,98,145,29,1439,53,12.40,0,1,26
16,WAS Oldfield (AUS),1920-1937,54,80,17,1427,65*,22.65,0,4,9
17,AF Giles (ENG),1998-2006,54,81,13,1421,59,20.89,0,4,9
18,GP Swann (ENG),2008-2013,60,76,14,1370,85,22.09,0,5,5
19,Wasim Bari (PAK),1967-1984,81,112,26,1366,85,15.88,0,6,19
20,BM Laird (AUS),1979-1982,21,40,2,1341,92,35.28,0,11,2
21,AK Davidson (AUS),1953-1963,44,61,7,1328,80,24.59,0,5,1
22,N Boje (SA),2000-2006,43,62,10,1312,85,25.23,0,4,5
23,MDK Perera (SL),2014-2021,43,77,8,1303,95,18.88,0,7,14
24,KS More (INDIA),1986-1993,49,64,14,1285,73,25.70,0,7,7
25,JM Anderson (ENG),2003-2022,175,245,106,1285,81,9.24,0,1,31
26,UC Hathurusingha (SL),1991-1999,26,44,1,1274,83,29.62,0,8,2
27,RF Surti (INDIA),1960-1969,26,48,4,1263,99,28.70,0,9,5
28,M Muralidaran (ICC/SL),1992-2010,133,164,56,1261,67,11.67,0,1,33
29,DW Steyn (SA),2004-2019,93,119,27,1251,76,13.59,0,2,14
30,NM Lyon (AUS),2011-2022,110,140,42,1247,47,12.72,0,0,16
31,HB Cameron (SA),1927-1935,26,45,4,1239,90,30.21,0,10,3
32,Z Khan (INDIA),2000-2014,92,127,24,1231,75,11.95,0,3,29
33,DD Ebrahim (ZIM),2001-2005,29,55,1,1225,94,22.68,0,10,8
34,G Miller (ENG),1976-1984,34,51,4,1213,98*,25.80,0,7,5
35,DN Patel (NZ),1987-1997,37,66,8,1200,99,20.68,0,5,10
36,PM Siddle (AUS),2008-2019,67,94,15,1164,51,14.73,0,2,17
37,RW Taylor (ENG),1971-1984,57,83,12,1156,97,16.28,0,3,10
38,Rajin Saleh (BAN),2003-2008,24,46,2,1141,89,25.93,0,7,8
39,AC Bannerman (AUS),1879-1893,28,50,2,1108,94,23.08,0,8,3
40,KAJ Roach (WI),2009-2022,73,116,24,1101,41,11.96,0,0,17
41,Saleem Yousuf (PAK),1982-1990,32,44,5,1055,91*,27.05,0,5,2
42,Sarfraz Nawaz (PAK),1969-1984,55,72,13,1045,90,17.71,0,4,6
43,S Madan Lal (INDIA),1974-1986,39,62,16,1042,74,22.65,0,5,7
44,DR Flynn (NZ),2008-2013,24,45,5,1038,95,25.95,0,6,8
45,MG Hughes (AUS),1985-1994,53,70,8,1032,72*,16.64,0,2,10
46,KA Maharaj (SA),2016-2022,45,71,6,1032,84,15.87,0,4,12
47,Abdul Qadir (PAK),1977-1990,67,77,11,1029,61,15.59,0,3,7
48,GJ Rennie (ZIM),1997-2002,23,46,1,1023,93,22.73,0,7,5
49,S Abid Ali (INDIA),1967-1974,29,53,3,1018,81,20.36,0,6,3
50,KJ Wadsworth (NZ),1969-1976,33,51,4,1010,80,21.48,0,5,5
51,Waqar Younis (PAK),1989-2003,87,120,21,1010,45,10.20,0,0,21
52,J Srinath (INDIA),1991-2002,67,92,21,1009,76,14.21,0,4,13
53,IWG Johnson (AUS),1946-1956,45,66,12,1000,77,18.51,0,6,10
