,Player,1st,2nd,Runs,,Team,Opposition,Ground,Match Date,Scorecard
0,BC Lara,221,130,351,,West Indies,v Sri Lanka,Colombo (SSC),29 Nov 2001,Test # 1572
1,A Flower,142,199*,341,,Zimbabwe,v South Africa,Harare,7 Sep 2001,Test # 1562
2,H Sutcliffe,176,127,303,,England,v Australia,Melbourne,1 Jan 1925,Test # 159
3,CL Walcott,155,110,265,,West Indies,v Australia,Kingston,11 Jun 1955,Test # 408
4,VS Hazare,116,145,261,,India,v Australia,Adelaide,23 Jan 1948,Test # 294
5,HH Gibbs,161,98,259,,South Africa,v England,Johannesburg,13 Jan 2005,Test # 1734
6,MH Mankad,72,184,256,,India,v England,Lord's,19 Jun 1952,Test # 352
7,V Kohli,115,141,256,,India,v Australia,Adelaide,9 Dec 2014,Test # 2148
8,A Flower,183*,70,253,,Zimbabwe,v India,Delhi,18 Nov 2000,Test # 1515
9,DJ Mitchell,190,62*,252,,New Zealand,v England,Nottingham,10 Jun 2022,Test # 2465
10,KC Sangakkara,57,192,249,,Sri Lanka,v Australia,Hobart,16 Nov 2007,Test # 1847
11,SM Gavaskar,111,137,248,,India,v Pakistan,Karachi,14 Nov 1978,Test # 833
12,Azhar Ali,205*,43,248,,Pakistan,v Australia,Melbourne,26 Dec 2016,Test # 2242
13,BC Lara,226,17,243,,West Indies,v Australia,Adelaide,25 Nov 2005,Test # 1773
14,VT Trumper,214*,28,242,,Australia,v South Africa,Adelaide,7 Jan 1911,Test # 113
15,RT Ponting,242,0,242,,Australia,v India,Adelaide,12 Dec 2003,Test # 1673
16,V Sehwag,201,38,239,,India,v Pakistan,Bengaluru,24 Mar 2005,Test # 1743
17,ML Hayden,203,35,238,,Australia,v India,Chennai,18 Mar 2001,Test # 1539
18,HM Amla,114,123*,237,,South Africa,v India,Kolkata,14 Feb 2010,Test # 1952
19,BC Lara,87,145,232,,West Indies,v England,Manchester,27 Jul 1995,Test # 1301
20,NJ Astle,10,222,232,,New Zealand,v England,Christchurch,13 Mar 2002,Test # 1594
21,AJ Strauss,123,108,231,,England,v India,Chennai,11 Dec 2008,Test # 1898
22,DCS Compton,158,71,229,,England,v South Africa,Manchester,7 Jul 1955,Test # 410
23,PR Umrigar,56,172*,228,,India,v West Indies,Port of Spain,4 Apr 1962,Test # 528
24,PD Collingwood,206,22*,228,,England,v Australia,Adelaide,1 Dec 2006,Test # 1819
25,GA Hick,178,47,225,,England,v India,Wankhede,19 Feb 1993,Test # 1214
26,S Chanderpaul,128*,97*,225,,West Indies,v England,Lord's,22 Jul 2004,Test # 1707
27,KS Duleepsinhji,173,48,221,,England,v Australia,Lord's,27 Jun 1930,Test # 195
