,Player,1st,2nd,Runs,,Team,Opposition,Ground,Match Date,Scorecard
0,GA Gooch,333,123,456,,England,v India,Lord's,26 Jul 1990,Test # 1148
1,MA Taylor,334*,92,426,,Australia,v Pakistan,Peshawar,15 Oct 1998,Test # 1426
2,KC Sangakkara,319,105,424,,Sri Lanka,v Bangladesh,Chattogram,4 Feb 2014,Test # 2117
3,BC Lara,400*,-,400,,West Indies,v England,St John's,10 Apr 2004,Test # 1696
4,GS Chappell,247*,133,380,,Australia,v New Zealand,Wellington,1 Mar 1974,Test # 733
5,ML Hayden,380,-,380,,Australia,v Zimbabwe,Perth,9 Oct 2003,Test # 1661
6,A Sandham,325,50,375,,England,v West Indies,Kingston,3 Apr 1930,Test # 193
7,BC Lara,375,-,375,,West Indies,v England,St John's,16 Apr 1994,Test # 1259
8,DPMD Jayawardene,374,-,374,,Sri Lanka,v South Africa,Colombo (SSC),27 Jul 2006,Test # 1810
9,GS Sobers,365*,-,365,,West Indies,v Pakistan,Kingston,26 Feb 1958,Test # 450
10,L Hutton,364,-,364,,England,v Australia,The Oval,20 Aug 1938,Test # 266
11,GC Smith,277,85,362,,South Africa,v England,Birmingham,24 Jul 2003,Test # 1651
12,Hanif Mohammad,17,337,354,,Pakistan,v West Indies,Bridgetown,17 Jan 1958,Test # 446
13,BC Lara,221,130,351,,West Indies,v Sri Lanka,Colombo (SSC),29 Nov 2001,Test # 1572
14,Younis Khan,267,84*,351,,Pakistan,v India,Bengaluru,24 Mar 2005,Test # 1743
15,KD Walters,242,103,345,,Australia,v West Indies,Sydney,14 Feb 1969,Test # 646
16,SM Gavaskar,124,220,344,,India,v West Indies,Port of Spain,13 Apr 1971,Test # 686
17,SP Fleming,274*,69*,343,,New Zealand,v Sri Lanka,Colombo (PSS),25 Apr 2003,Test # 1641
18,A Flower,142,199*,341,,Zimbabwe,v South Africa,Harare,7 Sep 2001,Test # 1562
19,ST Jayasuriya,340,-,340,,Sri Lanka,v India,Colombo (RPS),2 Aug 1997,Test # 1374
20,VVS Laxman,59,281,340,,India,v Australia,Kolkata,11 Mar 2001,Test # 1535
21,WR Hammond,336*,-,336,,England,v New Zealand,Auckland,31 Mar 1933,Test # 226
22,DA Warner,335*,-,335,,Australia,v Pakistan,Adelaide,29 Nov 2019,Test # 2372
23,DG Bradman,334,-,334,,Australia,v England,Leeds,11 Jul 1930,Test # 196
24,CH Gayle,333,-,333,,West Indies,v Sri Lanka,Galle,15 Nov 2010,Test # 1977
25,SC Ganguly,239,91,330,,India,v Pakistan,Bengaluru,8 Dec 2007,Test # 1852
26,MD Crowe,30,299,329,,New Zealand,v Sri Lanka,Wellington,31 Jan 1991,Test # 1162
27,Inzamam-ul-Haq,329,-,329,,Pakistan,v New Zealand,Lahore,1 May 2002,Test # 1600
28,MJ Clarke,329*,-,329,,Australia,v India,Sydney,3 Jan 2012,Test # 2027
29,LRPL Taylor,290,36*,326,,New Zealand,v Australia,Perth,13 Nov 2015,Test # 2187
30,JE Root,254,71*,325,,England,v Pakistan,Manchester,22 Jul 2016,Test # 2208
31,DG Bradman,244,77,321,,Australia,v England,The Oval,18 Aug 1934,Test # 237
32,V Sehwag,319,-,319,,India,v South Africa,Chennai,26 Mar 2008,Test # 1870
33,CH Gayle,317,-,317,,West Indies,v South Africa,St John's,29 Apr 2005,Test # 1750
34,PBH May,30,285*,315,,England,v West Indies,Birmingham,30 May 1957,Test # 439
35,RB Simpson,311,4*,315,,Australia,v England,Manchester,23 Jul 1964,Test # 564
36,LG Rowe,214,100*,314,,West Indies,v New Zealand,Kingston,16 Feb 1972,Test # 693
37,Younis Khan,313,-,313,,Pakistan,v Sri Lanka,Karachi,21 Feb 2009,Test # 1909
38,HM Amla,311*,-,311,,South Africa,v England,The Oval,19 Jul 2012,Test # 2049
39,KS Williamson,69,242*,311,,New Zealand,v Sri Lanka,Wellington,3 Jan 2015,Test # 2155
40,JH Edrich,310*,-,310,,England,v New Zealand,Leeds,8 Jul 1965,Test # 593
41,BB McCullum,8,302,310,,New Zealand,v India,Wellington,14 Feb 2014,Test # 2120
42,B Mitchell,120,189*,309,,South Africa,v England,The Oval,16 Aug 1947,Test # 289
43,V Sehwag,309,-,309,,India,v Pakistan,Multan,28 Mar 2004,Test # 1693
44,RM Cowper,307,-,307,,Australia,v England,Melbourne,11 Feb 1966,Test # 601
45,RE Foster,287,19,306,,England,v Australia,Sydney,11 Dec 1903,Test # 78
46,R Dravid,233,72*,305,,India,v Australia,Adelaide,12 Dec 2003,Test # 1673
47,TM Dilshan,162,143,305,,Sri Lanka,v Bangladesh,Chattogram,3 Jan 2009,Test # 1905
48,DG Bradman,304,-,304,,Australia,v England,Leeds,20 Jul 1934,Test # 236
49,Azhar Ali,302*,2,304,,Pakistan,v West Indies,Dubai (DSC),13 Oct 2016,Test # 2224
50,H Sutcliffe,176,127,303,,England,v Australia,Melbourne,1 Jan 1925,Test # 159
51,AR Border,150*,153,303,,Australia,v Pakistan,Lahore,18 Mar 1980,Test # 879
52,AB de Villiers,278*,25,303,,South Africa,v Pakistan,Abu Dhabi,20 Nov 2010,Test # 1979
53,KK Nair,303*,-,303,,India,v England,Chennai,16 Dec 2016,Test # 2241
54,RG Sharma,176,127,303,,India,v South Africa,Visakhapatnam,2 Oct 2019,Test # 2363
55,LG Rowe,302,-,302,,West Indies,v England,Bridgetown,6 Mar 1974,Test # 734
56,AN Cook,67,235*,302,,England,v Australia,Brisbane,25 Nov 2010,Test # 1981
