,Player,Mat,Inns,NO,Runs,HS,Ave,100,50,0,4s,6s
0,RR Pant (INDIA),10,18,1,720,146,42.35,2,4,1,82,15
1,Litton Das (BAN),7,12,0,672,141,56.00,2,4,0,77,2
2,TA Blundell (NZ),9,16,2,620,106,44.28,1,5,2,85,0
3,DT Lindsay (SA),5,7,0,606,182,86.57,3,2,0,61+,12
4,A Flower (ZIM),2,4,2,540,232*,270.00,2,2,0,70,7
5,BK Kunderan (INDIA),5,10,0,525,192,52.50,2,1,0,79,1
6,BJ Haddin (AUS),5,8,0,493,118,61.62,1,5,0,53,9
7,FCM Alexander (WI),5,10,2,484,108,60.50,1,5,1,42,1
8,AC Gilchrist (AUS),3,5,2,473,204*,157.66,2,1,0,62,10
9,AJ Stewart (ENG),5,10,1,465,164,51.66,1,1,0,69,0
10,CL Walcott (WI),5,7,0,452,152,64.57,2,2,0,12+,3
11,AT Carey (AUS),10,15,1,451,93,32.21,0,3,1,42,2
12,A Flower (ZIM),2,4,2,422,199*,211.00,2,1,0,58,2
13,LEG Ames (ENG),4,8,1,417,149,59.57,2,0,0,19+,0
14,FM Engineer (INDIA),5,10,0,415,121,41.50,1,3,0,52,0
15,Mohammad Rizwan (PAK),9,15,4,412,104*,37.45,1,1,1,44,3
16,WW Wade (SA),5,9,1,407,125,50.87,1,3,1,7+,1
17,A Flower (ZIM),3,6,2,388,129,97.00,1,3,0,32,1
18,JM Bairstow (ENG),3,4,1,387,167*,129.00,2,0,0,37,1
19,TA Blundell (NZ),3,6,1,383,106,76.60,1,3,0,54,0
20,Q de Kock (SA),4,8,0,380,95,47.50,0,4,0,51,4
21,AJ Stewart (ENG),6,12,0,378,78,31.50,0,3,0,52,2
22,Imtiaz Ahmed (PAK),5,10,1,375,135,41.66,1,2,0,-,0
23,PJL Dujon (WI),6,7,0,367,98,52.42,0,4,1,26+,1
24,JM Bairstow (ENG),4,7,0,366,83,52.28,0,4,0,40,0
25,APE Knott (ENG),5,9,1,365,87,45.62,0,3,0,41,1
26,K Verreynne (SA),9,15,3,365,136*,30.41,1,0,2,41,2
27,APE Knott (ENG),6,11,1,364,106*,36.40,1,3,0,38,0
28,JHB Waite (SA),5,9,0,362,134,40.22,2,1,1,-,0
29,BJ Haddin (AUS),5,9,1,360,136,45.00,1,3,0,35,5
30,JM Bairstow (ENG),4,7,2,359,150*,71.80,1,1,1,42,5
31,IA Healy (AUS),5,9,3,356,161*,59.33,1,0,1,46,0
32,J Da Silva (WI),9,14,4,353,100*,35.30,1,1,1,35,0
33,AB de Villiers (SA),3,5,1,352,121,88.00,2,1,0,40,0
34,JM Bairstow (ENG),5,9,1,352,89,44.00,0,3,0,27,5
35,RR Pant (INDIA),4,7,1,350,159*,58.33,1,0,0,31,5
36,WB Phillips (AUS),6,11,1,350,91,35.00,0,2,0,52,1
37,RR Pant (INDIA),5,9,0,349,146,38.77,1,2,0,41,5
38,MS Dhoni (INDIA),5,10,0,349,82,34.90,0,4,1,51,2
39,Imtiaz Ahmed (PAK),5,9,0,344,122,38.22,1,1,1,14+,0
40,AC Gilchrist (AUS),3,3,1,343,162,171.50,2,1,0,44,12
41,AJ Stewart (ENG),5,8,0,342,95,42.75,0,3,1,51,3
42,DL Murray (WI),6,11,0,342,66,31.09,0,4,0,37,5
43,AB de Villiers (SA),3,6,0,341,116,56.83,1,1,0,42,3
44,MV Boucher (SA),4,7,1,341,95,56.83,0,3,0,40,2
45,PJL Dujon (WI),5,8,1,341,139,48.71,1,1,1,37,2
46,AC Gilchrist (AUS),5,5,0,340,152,68.00,1,2,0,48,6
47,LEG Ames (ENG),5,8,3,339,115,67.80,1,1,0,13+,0
48,BT Foakes (ENG),9,15,4,336,113*,30.54,1,1,2,36,0
49,AC Gilchrist (AUS),5,8,2,333,133,55.50,1,2,1,42,5
50,T Taibu (ZIM),2,4,1,330,153,110.00,1,2,1,40,2
51,JM Bairstow (ENG),4,8,0,330,99,41.25,0,3,0,46,2
52,MS Dhoni (INDIA),4,6,2,326,224,81.50,1,0,0,40,6
53,MJ Prior (ENG),4,6,1,324,126*,64.80,1,2,1,41,4
54,FM Engineer (INDIA),4,8,0,321,63,40.12,0,2,0,13+,0
55,RT Spooner (ENG),5,10,1,319,92,35.44,0,3,1,-,0
56,RD Jacobs (WI),5,10,3,317,78,45.28,0,2,0,41,4
57,RD Jacobs (WI),5,10,4,317,113*,52.83,1,2,3,33,4
58,RC Russell (ENG),6,11,3,314,128*,39.25,1,1,0,36,0
59,RW Marsh (AUS),6,11,2,313,55,34.77,0,1,0,23,2
60,MJ Prior (ENG),3,5,2,311,110*,103.66,1,2,0,51,2
61,MJ Prior (ENG),4,6,2,310,131*,77.50,1,2,1,34,1
62,Taslim Arif (PAK),3,4,1,307,210*,102.33,1,1,0,31,0
63,MS Dhoni (INDIA),4,6,1,307,92,61.40,0,4,0,23,6
64,N Dickwella (SL),8,14,2,307,61*,25.58,0,4,0,36,1
65,HB Cameron (SA),5,8,0,306,90,38.25,0,3,0,19+,6
66,JM Bairstow (ENG),5,9,0,306,119,34.00,1,0,0,39,1
67,PJL Dujon (WI),5,7,1,305,67,50.83,0,4,0,36,0
68,SMH Kirmani (INDIA),5,9,0,305,55,33.88,0,2,0,28,0
69,H Carter (AUS),5,10,3,300,66,42.85,0,3,0,31+,0
