,Player,Mat,Inns,NO,Runs,HS,Ave,100,50,0
0,JE Root (ENG),19,35,4,1790,180*,57.74,8,5,3
1,JM Bairstow (ENG),15,28,3,1285,162,51.40,6,2,3
2,DG Bradman (AUS),5,7,0,974,334,139.14,4,0,0
3,Babar Azam (PAK),9,16,1,953,196,63.53,2,7,0
4,WR Hammond (ENG),5,9,1,905,251,113.12,4,0,0
5,UT Khawaja (AUS),7,13,4,888,160,98.66,4,3,0
6,Litton Das (BAN),10,18,0,883,141,49.05,3,5,0
7,FDM Karunaratne (SL),10,19,1,847,147,47.05,2,5,0
8,MA Taylor (AUS),6,11,1,839,219,83.90,2,5,0
9,RN Harvey (AUS),5,9,0,834,205,92.66,4,3,0
10,IVA Richards (WI),4,7,0,829,291,118.42,3,2,0
11,CL Walcott (WI),5,10,0,827,155,82.70,5,2,0
12,GS Sobers (WI),5,8,2,824,365*,137.33,3,3,0
13,DG Bradman (AUS),5,9,0,810,270,90.00,3,1,2
14,DG Bradman (AUS),5,5,1,806,299*,201.50,4,0,0
15,BC Lara (WI),5,8,0,798,375,99.75,2,2,0
16,BA Stokes (ENG),15,26,1,798,120,31.92,2,4,0
17,ED Weekes (WI),5,7,0,779,194,111.28,4,2,0
18,LD Chandimal (SL),8,14,4,778,206*,77.80,2,4,1
19,SPD Smith (AUS),4,7,0,774,211,110.57,3,3,0
20,SM Gavaskar (INDIA),4,8,3,774,220,154.80,4,3,0
21,SPD Smith (AUS),4,8,2,769,192,128.16,4,2,0
22,AN Cook (ENG),5,7,1,766,235*,127.66,3,2,0
23,BC Lara (WI),6,10,1,765,179,85.00,3,3,0
24,Mudassar Nazar (PAK),6,8,2,761,231,126.83,4,1,0
25,DG Bradman (AUS),5,8,0,758,304,94.75,2,1,0
26,DCS Compton (ENG),5,8,0,753,208,94.12,4,2,0
27,GA Gooch (ENG),3,6,0,752,333,125.33,3,2,0
28,KC Brathwaite (WI),9,18,3,752,160,50.13,1,6,1
29,JE Root (ENG),5,9,2,737,180*,105.28,4,1,0
30,Abdullah Shafique (PAK),7,13,2,736,160*,66.90,2,4,1
31,H Sutcliffe (ENG),5,9,0,734,176,81.55,4,2,1
32,SM Gavaskar (INDIA),6,9,1,732,205,91.50,4,1,1
33,DI Gower (ENG),6,9,0,732,215,81.33,3,1,0
34,GA Faulkner (SA),5,10,0,732,204,73.20,2,5,0
35,GS Sobers (WI),5,8,1,722,174,103.14,3,2,1
36,RR Pant (INDIA),10,18,1,720,146,42.35,2,4,1
37,AD Mathews (SL),10,17,2,717,199,47.80,2,2,2
38,ED Weekes (WI),5,8,1,716,207,102.28,3,2,0
39,DG Bradman (AUS),5,6,2,715,201,178.75,4,1,0
40,GC Smith (SA),5,9,0,714,277,79.33,2,1,0
41,JH Kallis (SA),4,6,2,712,177,178.00,4,1,0
42,GS Sobers (WI),5,8,1,709,226,101.28,3,1,1
43,DJ Mitchell (NZ),7,12,1,709,190,64.45,3,4,0
44,RT Ponting (AUS),4,8,1,706,257,100.85,2,2,1
45,GA Headley (WI),4,8,0,703,223,87.87,4,0,0
46,GS Chappell (AUS),6,11,5,702,182*,117.00,3,3,0
47,KD Walters (AUS),4,6,0,699,242,116.50,4,2,0
48,CL Walcott (WI),5,10,2,698,220,87.25,3,3,0
49,AR Morris (AUS),5,9,1,696,196,87.00,3,3,0
50,EH Hendren (ENG),4,8,2,693,205*,115.50,2,5,0
51,V Kohli (INDIA),4,8,0,692,169,86.50,4,1,0
52,BC Lara (WI),3,6,0,688,221,114.66,3,1,0
53,SPD Smith (AUS),5,7,2,687,239,137.40,3,2,0
54,DG Bradman (AUS),5,8,1,680,234,97.14,2,3,1
55,L Hutton (ENG),5,8,1,677,205,96.71,2,3,0
56,GA Gooch (ENG),6,12,0,673,133,56.08,2,4,0
57,GM Turner (NZ),5,8,1,672,259,96.00,2,2,0
58,WM Lawry (AUS),5,8,0,667,205,83.37,3,2,0
