,Player,Runs,Mins,Balls,4s,6s,,Team,Opposition,Ground,Match Date,Scorecard
0,ML Hayden,380,622,437,38,11,,Australia,v Zimbabwe,Perth,9 Oct 2003,Test # 1661
1,L Hutton,364,797,847,35,0,,England,v Australia,The Oval,20 Aug 1938,Test # 266
2,ST Jayasuriya,340,799,578,36,2,,Sri Lanka,v India,Colombo (RPS),2 Aug 1997,Test # 1374
3,Hanif Mohammad,337,970,-,24,0,,Pakistan,v West Indies,Bridgetown,17 Jan 1958,Test # 446
4,DA Warner,335*,554,418,39,1,,Australia,v Pakistan,Adelaide,29 Nov 2019,Test # 2372
5,MA Taylor,334*,720,564,32,1,,Australia,v Pakistan,Peshawar,15 Oct 1998,Test # 1426
6,GA Gooch,333,628,485,43,3,,England,v India,Lord's,26 Jul 1990,Test # 1148
7,CH Gayle,333,653,437,34,9,,West Indies,v Sri Lanka,Galle,15 Nov 2010,Test # 1977
8,A Sandham,325,600,640,28,0,,England,v West Indies,Kingston,3 Apr 1930,Test # 193
9,V Sehwag,319,530,304,42,5,,India,v South Africa,Chennai,26 Mar 2008,Test # 1870
10,CH Gayle,317,630,483,37,3,,West Indies,v South Africa,St John's,29 Apr 2005,Test # 1750
11,RB Simpson,311,762,743,23,1,,Australia,v England,Manchester,23 Jul 1964,Test # 564
12,JH Edrich,310*,532,450,52,5,,England,v New Zealand,Leeds,8 Jul 1965,Test # 593
13,V Sehwag,309,531,375,39,6,,India,v Pakistan,Multan,28 Mar 2004,Test # 1693
14,Azhar Ali,302*,658,469,23,2,,Pakistan,v West Indies,Dubai (DSC),13 Oct 2016,Test # 2224
15,LG Rowe,302,612,430,36,1,,West Indies,v England,Bridgetown,6 Mar 1974,Test # 734
