,Player,Runs,Mins,Balls,4s,6s,,Team,Opposition,Ground,Match Date,Scorecard
0,C Bannerman,165*,285,-,18,0,,Australia,v England,Melbourne,15 Mar 1877,Test # 1
1,WL Murdoch,211,490,525,24,0,,Australia,v England,The Oval,11 Aug 1884,Test # 16
2,RE Foster,287,419,-,37,0,,England,v Australia,Sydney,11 Dec 1903,Test # 78
3,A Sandham,325,600,640,28,0,,England,v West Indies,Kingston,3 Apr 1930,Test # 193
4,DG Bradman,334,383,448,46,0,,Australia,v England,Leeds,11 Jul 1930,Test # 196
5,WR Hammond,336*,318,-,34,10,,England,v New Zealand,Auckland,31 Mar 1933,Test # 226
6,L Hutton,364,797,847,35,0,,England,v Australia,The Oval,20 Aug 1938,Test # 266
7,GS Sobers,365*,614,-,38,0,,West Indies,v Pakistan,Kingston,26 Feb 1958,Test # 450
8,BC Lara,375,766,538,45,0,,West Indies,v England,St John's,16 Apr 1994,Test # 1259
9,ML Hayden,380,622,437,38,11,,Australia,v Zimbabwe,Perth,9 Oct 2003,Test # 1661
10,BC Lara,400*,778,582,43,4,,West Indies,v England,St John's,10 Apr 2004,Test # 1696
