,Player,Runs,Mins,Balls,4s,6s,,Team,Opposition,Ground,Match Date,Scorecard
0,BC Lara,400*,778,582,43,4,,West Indies,v England,St John's,10 Apr 2004,Test # 1696
1,DPMD Jayawardene,374,752,572,43,1,,Sri Lanka,v South Africa,Colombo (SSC),27 Jul 2006,Test # 1810
2,MA Taylor,334*,720,564,32,1,,Australia,v Pakistan,Peshawar,15 Oct 1998,Test # 1426
3,GA Gooch,333,628,485,43,3,,England,v India,Lord's,26 Jul 1990,Test # 1148
4,MJ Clarke,329*,609,468,39,1,,Australia,v India,Sydney,3 Jan 2012,Test # 2027
5,Younis Khan,313,760,568,27,4,,Pakistan,v Sri Lanka,Karachi,21 Feb 2009,Test # 1909
6,RB Simpson,311,762,743,23,1,,Australia,v England,Manchester,23 Jul 1964,Test # 564
7,BB McCullum,302,775,559,32,4,,New Zealand,v India,Wellington,14 Feb 2014,Test # 2120
8,MD Crowe,299,610,523,29,3,,New Zealand,v Sri Lanka,Wellington,31 Jan 1991,Test # 1162
9,PBH May,285*,600,-,25,2,,England,v West Indies,Birmingham,30 May 1957,Test # 439
10,GC Smith,277,541,373,35,0,,South Africa,v England,Birmingham,24 Jul 2003,Test # 1651
11,SP Fleming,274*,653,476,28,1,,New Zealand,v Sri Lanka,Colombo (PSS),25 Apr 2003,Test # 1641
12,DG Bradman,270,458,375,22,0,,Australia,v England,Melbourne,1 Jan 1937,Test # 257
13,AN Cook,263,836,528,18,0,,England,v Pakistan,Abu Dhabi,13 Oct 2015,Test # 2180
14,SP Fleming,262,576,423,31,2,,New Zealand,v South Africa,Cape Town,27 Apr 2006,Test # 1800
15,MJ Clarke,259*,582,398,26,0,,Australia,v South Africa,Brisbane,9 Nov 2012,Test # 2056
16,GC Smith,259,574,370,34,0,,South Africa,v England,Lord's,31 Jul 2003,Test # 1653
17,Wasim Akram,257*,490,363,22,12,,Pakistan,v Zimbabwe,Sheikhupura,17 Oct 1996,Test # 1336
18,V Kohli,254*,-,336,33,2,,India,v South Africa,Pune,10 Oct 2019,Test # 2364
19,TWM Latham,252,552,373,34,2,,New Zealand,v Bangladesh,Christchurch,9 Jan 2022,Test # 2447
20,KS Williamson,251,624,412,34,2,,New Zealand,v West Indies,Hamilton,3 Dec 2020,Test # 2394
21,MS Atapattu,249,516,324,36,1,,Sri Lanka,v Zimbabwe,Bulawayo,14 May 2004,Test # 1699
22,FDM Karunaratne,244,698,437,26,0,,Sri Lanka,v Bangladesh,Pallekele,21 Apr 2021,Test # 2418
23,V Kohli,243,447,287,25,0,,India,v Sri Lanka,Delhi,2 Dec 2017,Test # 2286
24,CH Lloyd,242*,429,-,19,4,,West Indies,v India,Wankhede,23 Jan 1975,Test # 753
25,WR Hammond,240,367,394,32,0,,England,v Australia,Lord's,24 Jun 1938,Test # 264
26,DPMD Jayawardene,240,531,424,32,0,,Sri Lanka,v Pakistan,Karachi,21 Feb 2009,Test # 1909
27,GT Dowling,239,556,519,26,5,,New Zealand,v India,Christchurch,22 Feb 1968,Test # 631
28,SPD Smith,239,578,399,30,1,,Australia,v England,Perth,14 Dec 2017,Test # 2288
29,KS Williamson,238,573,364,28,0,,New Zealand,v Pakistan,Christchurch,3 Jan 2021,Test # 2400
30,Saleem Malik,237,443,328,34,0,,Pakistan,v Australia,Rawalpindi,5 Oct 1994,Test # 1269
31,GS Chappell,235,441,363,21,0,,Australia,v Pakistan,Faisalabad,6 Mar 1980,Test # 878
32,V Kohli,235,515,340,25,1,,India,v England,Wankhede,8 Dec 2016,Test # 2239
33,DG Bradman,234,397,396,24,0,,Australia,v England,Sydney,13 Dec 1946,Test # 280
34,GC Smith,234,627,388,16,0,,South Africa,v Pakistan,Dubai (DSC),23 Oct 2013,Test # 2100
35,CL Hooper,233,630,402,29,3,,West Indies,v India,Georgetown,11 Apr 2002,Test # 1598
36,GC Smith,232,406,277,33,1,,South Africa,v Bangladesh,Chattogram,29 Feb 2008,Test # 1865
37,MJ Clarke,230,345,257,40,1,,Australia,v South Africa,Adelaide,22 Nov 2012,Test # 2061
38,JE Root,228,476,321,18,1,,England,v Sri Lanka,Galle,14 Jan 2021,Test # 2403
39,JE Root,226,636,441,22,1,,England,v New Zealand,Hamilton,29 Nov 2019,Test # 2371
40,RB Simpson,225,545,427,18,1,,Australia,v England,Adelaide,28 Jan 1966,Test # 600
41,MS Dhoni,224,365,265,24,6,,India,v Australia,Chennai,22 Feb 2013,Test # 2074
42,BB McCullum,224,462,307,29,5,,New Zealand,v India,Auckland,6 Feb 2014,Test # 2118
43,DS Atkinson,219,351,-,29,1,,West Indies,v Australia,Bridgetown,14 May 1955,Test # 406
44,KC Sangakkara,219,399,335,29,0,,Sri Lanka,v India,Colombo (SSC),26 Jul 2010,Test # 1966
45,JE Root,218,536,377,19,2,,England,v India,Chennai,5 Feb 2021,Test # 2409
46,SR Tendulkar,217,494,344,29,0,,India,v New Zealand,Ahmedabad,29 Oct 1999,Test # 1465
47,BC Lara,216,422,262,22,7,,West Indies,v Pakistan,Multan,19 Nov 2006,Test # 1816
48,DI Gower,215,452,314,25,1,,England,v Australia,Birmingham,15 Aug 1985,Test # 1021
49,DPMD Jayawardene,213*,610,411,25,0,,Sri Lanka,v England,Galle,18 Dec 2007,Test # 1854
50,BC Lara,213,468,344,29,3,,West Indies,v Australia,Kingston,13 Mar 1999,Test # 1451
51,V Kohli,213,386,267,17,2,,India,v Sri Lanka,Nagpur,24 Nov 2017,Test # 2283
52,DG Bradman,212,437,395,14,0,,Australia,v England,Adelaide,29 Jan 1937,Test # 258
53,WL Murdoch,211,490,525,24,0,,Australia,v England,The Oval,11 Aug 1884,Test # 16
54,Javed Miandad,211,636,441,29,1,,Pakistan,v Australia,Karachi,15 Sep 1988,Test # 1104
55,V Kohli,211,536,366,20,0,,India,v New Zealand,Indore,8 Oct 2016,Test # 2223
56,MJ Clarke,210,380,275,26,1,,Australia,v India,Adelaide,24 Jan 2012,Test # 2031
57,BC Lara,209,452,360,24,1,,West Indies,v Sri Lanka,Gros Islet,20 Jun 2003,Test # 1648
58,RT Ponting,209,523,354,25,0,,Australia,v Pakistan,Hobart,14 Jan 2010,Test # 1947
59,AD Nourse,208,555,-,25,0,,South Africa,v England,Nottingham,7 Jun 1951,Test # 334
60,HM Amla,208,475,371,22,0,,South Africa,v West Indies,Centurion,17 Dec 2014,Test # 2150
61,RT Ponting,207,491,332,30,0,,Australia,v Pakistan,Sydney,2 Jan 2005,Test # 1731
62,L Hutton,205,532,-,24,1,,England,v West Indies,Kingston,30 Mar 1954,Test # 386
63,ER Dexter,205,495,-,22,0,,England,v Pakistan,Karachi,2 Feb 1962,Test # 522
64,WM Lawry,205,461,416,12,1,,Australia,v West Indies,Melbourne,26 Dec 1968,Test # 643
65,SM Gavaskar,205,397,342,29,2,,India,v West Indies,Wankhede,1 Dec 1978,Test # 835
66,AR Border,205,599,485,20,0,,Australia,v New Zealand,Adelaide,11 Dec 1987,Test # 1084
67,GS Chappell,204,408,296,27,0,,Australia,v India,Sydney,2 Jan 1981,Test # 893
68,V Kohli,204,295,246,24,0,,India,v Bangladesh,Hyderabad (Deccan),9 Feb 2017,Test # 2249
69,Nawab of Pataudi,203*,430,-,23,2,,India,v England,Delhi,8 Feb 1964,Test # 556
70,Hanif Mohammad,203*,445,-,33,0,,Pakistan,v New Zealand,Lahore,2 Apr 1965,Test # 586
71,Javed Miandad,203*,-,-,-,1,,Pakistan,v Sri Lanka,Faisalabad,16 Oct 1985,Test # 1026
72,S Chanderpaul,203*,541,370,23,0,,West Indies,v South Africa,Georgetown,31 Mar 2005,Test # 1745
73,HL Collins,203,267,-,26,0,,Australia,v South Africa,Johannesburg,12 Nov 1921,Test # 146
74,JO Holder,202*,284,229,23,8,,West Indies,v England,Bridgetown,23 Jan 2019,Test # 2342
75,BC Lara,202,439,274,32,2,,West Indies,v South Africa,Johannesburg,12 Dec 2003,Test # 1674
76,SP Fleming,202,446,318,21,1,,New Zealand,v Bangladesh,Chattogram,26 Oct 2004,Test # 1717
77,BB McCullum,202,279,188,21,11,,New Zealand,v Pakistan,Sharjah,26 Nov 2014,Test # 2147
78,DG Bradman,201,272,296,21,1,,Australia,v India,Adelaide,23 Jan 1948,Test # 294
