,Score,Player,Match,Location,Year
0,201*,JN Gillespie,Australia v Bangladesh,Chittagong,2006
1,125,MV Boucher,South Africa v Zimbabwe,Harare,1999
2,108,MV Boucher,South Africa v England,Durban,1999
3,105,AL Mann,Australia v India,Perth,1977
4,101*,SMH Kirmani,India v Australia,Mumbai,1979
5,101,Nasim-ul-Ghani,Pakistan v England,Lord's,1962
6,99*,AJ Tudor,England v New Zealand,Birmingham,1999
7,98,H Larwood,England v Australia,Sydney,1933
8,95,EE Hemmings,England v Australia,Sydney,1983
9,94,RC Russell,England v Sri Lanka,Lord's,1988
10,92,MJ Leach,England v Ireland,Lord's,2019
11,87,PL Taylor,Australia v New Zealand,Wellington,1990
12,85,Wasim Bari,Pakistan v India,Lahore,1978
13,85,IA Healy,Australia v New Zealand,Perth,1997
14,85,N Boje,South Africa v India,Bangalore,2000
