,Player,Runs,Mins,Balls,4s,6s,,Team,Opposition,Ground,Match Date,Scorecard
0,A Flower,232*,544,444,30,2,,Zimbabwe,v India,Nagpur,25 Nov 2000,Test # 1517
1,KC Sangakkara,230,480,327,33,3,,Sri Lanka,v Pakistan,Lahore,6 Mar 2002,Test # 1592
2,MS Dhoni,224,365,265,24,6,,India,v Australia,Chennai,22 Feb 2013,Test # 2074
3,Mushfiqur Rahim,219*,589,421,18,1,,Bangladesh,v Zimbabwe,Mirpur,11 Nov 2018,Test # 2325
4,Taslim Arif,210*,435,379,20,0,,Pakistan,v Australia,Faisalabad,6 Mar 1980,Test # 878
5,Imtiaz Ahmed,209,380,-,28,0,,Pakistan,v New Zealand,Lahore,26 Oct 1955,Test # 414
6,BJ Watling,205,667,473,24,1,,New Zealand,v England,Mount Maunganui,21 Nov 2019,Test # 2367
7,AC Gilchrist,204*,293,213,19,8,,Australia,v South Africa,Johannesburg,22 Feb 2002,Test # 1590
8,DSBP Kuruppu,201*,777,548,24,0,,Sri Lanka,v New Zealand,Colombo (CCC),16 Apr 1987,Test # 1074
9,Mushfiqur Rahim,200,437,321,22,1,,Bangladesh,v Sri Lanka,Galle,8 Mar 2013,Test # 2078
10,A Flower,199*,590,470,24,1,,Zimbabwe,v South Africa,Harare,7 Sep 2001,Test # 1562
11,BK Kunderan,192,415,-,31,0,,India,v England,Chennai,10 Jan 1964,Test # 551
12,KC Sangakkara,185,453,326,22,0,,Sri Lanka,v Pakistan,Colombo (SSC),26 Mar 2006,Test # 1794
13,BB McCullum,185,322,272,17,3,,New Zealand,v Bangladesh,Hamilton,15 Feb 2010,Test # 1953
14,A Flower,183*,466,351,24,2,,Zimbabwe,v India,Delhi,18 Nov 2000,Test # 1515
15,DT Lindsay,182,273,227,25,5,,South Africa,v Australia,Johannesburg,23 Dec 1966,Test # 611
16,IDS Smith,173,237,136,23,3,,New Zealand,v India,Auckland,22 Feb 1990,Test # 1139
17,AJ Stewart,173,362,277,23,1,,England,v New Zealand,Auckland,24 Jan 1997,Test # 1351
18,BJ Haddin,169,303,222,24,2,,Australia,v New Zealand,Adelaide,28 Nov 2008,Test # 1896
19,AB de Villiers,169,225,184,21,3,,South Africa,v Australia,Perth,30 Nov 2012,Test # 2064
20,CL Walcott,168*,-,-,24,0,,West Indies,v England,Lord's,24 Jun 1950,Test # 324
21,JM Bairstow,167*,405,251,18,0,,England,v Sri Lanka,Lord's,9 Jun 2016,Test # 2205
22,D Ramdin,166,424,268,20,0,,West Indies,v England,Bridgetown,26 Feb 2009,Test # 1911
23,AJ Stewart,164,418,317,24,0,,England,v South Africa,Manchester,2 Jul 1998,Test # 1420
24,AB de Villiers,164,374,274,17,1,,South Africa,v Pakistan,Dubai (DSC),23 Oct 2013,Test # 2100
25,LD Chandimal,162*,247,169,19,4,,Sri Lanka,v India,Galle,12 Aug 2015,Test # 2176
26,AC Gilchrist,162,220,146,22,5,,Australia,v New Zealand,Wellington,18 Mar 2005,Test # 1742
27,IA Healy,161*,356,250,20,0,,Australia,v West Indies,Brisbane,22 Nov 1996,Test # 1340
28,RR Pant,159*,-,189,15,1,,India,v Australia,Sydney,3 Jan 2019,Test # 2339
29,Mushfiqur Rahim,159,365,260,23,1,,Bangladesh,v New Zealand,Wellington,12 Jan 2017,Test # 2246
30,Kamran Akmal,158*,247,184,8,5,,Pakistan,v Sri Lanka,Karachi,21 Feb 2009,Test # 1909
31,KC Sangakkara,157*,411,284,24,0,,Sri Lanka,v West Indies,Kandy,22 Jul 2005,Test # 1757
32,A Flower,156,336,245,18,1,,Zimbabwe,v Pakistan,Harare,31 Jan 1995,Test # 1285
33,HAPW Jayawardene,154*,415,314,11,0,,Sri Lanka,v India,Ahmedabad,16 Nov 2009,Test # 1933
34,Kamran Akmal,154,326,242,14,0,,Pakistan,v England,Lahore,29 Nov 2005,Test # 1774
35,T Taibu,153,340,292,19,2,,Zimbabwe,v Bangladesh,Dhaka,14 Jan 2005,Test # 1735
36,CL Walcott,152,245,-,12,0,,West Indies,v India,Delhi,10 Nov 1948,Test # 304
37,WK Lees,152,338,-,21,2,,New Zealand,v Pakistan,Karachi,30 Oct 1976,Test # 784
38,NR Mongia,152,497,366,18,1,,India,v Australia,Delhi,10 Oct 1996,Test # 1335
39,AC Gilchrist,152,204,143,20,5,,Australia,v England,Birmingham,5 Jul 2001,Test # 1550
40,JC Buttler,152,447,311,13,2,,England,v Pakistan,Southampton,21 Aug 2020,Test # 2393
41,JM Bairstow,150*,281,191,18,2,,England,v South Africa,Cape Town,2 Jan 2016,Test # 2197
42,Rashid Latif,150,324,234,18,1,,Pakistan,v West Indies,Sharjah,31 Jan 2002,Test # 1587
