,Player,Runs,Mins,Balls,4s,6s,,Team,Opposition,Ground,Match Date,Scorecard
0,BC Lara,400*,778,582,43,4,,West Indies,v England,St John's,10 Apr 2004,Test # 1696
1,ML Hayden,380,622,437,38,11,,Australia,v Zimbabwe,Perth,9 Oct 2003,Test # 1661
2,BC Lara,375,766,538,45,0,,West Indies,v England,St John's,16 Apr 1994,Test # 1259
3,DPMD Jayawardene,374,752,572,43,1,,Sri Lanka,v South Africa,Colombo (SSC),27 Jul 2006,Test # 1810
4,GS Sobers,365*,614,-,38,0,,West Indies,v Pakistan,Kingston,26 Feb 1958,Test # 450
5,L Hutton,364,797,847,35,0,,England,v Australia,The Oval,20 Aug 1938,Test # 266
6,ST Jayasuriya,340,799,578,36,2,,Sri Lanka,v India,Colombo (RPS),2 Aug 1997,Test # 1374
7,Hanif Mohammad,337,970,-,24,0,,Pakistan,v West Indies,Bridgetown,17 Jan 1958,Test # 446
8,WR Hammond,336*,318,-,34,10,,England,v New Zealand,Auckland,31 Mar 1933,Test # 226
9,DA Warner,335*,554,418,39,1,,Australia,v Pakistan,Adelaide,29 Nov 2019,Test # 2372
10,MA Taylor,334*,720,564,32,1,,Australia,v Pakistan,Peshawar,15 Oct 1998,Test # 1426
11,DG Bradman,334,383,448,46,0,,Australia,v England,Leeds,11 Jul 1930,Test # 196
12,GA Gooch,333,628,485,43,3,,England,v India,Lord's,26 Jul 1990,Test # 1148
13,CH Gayle,333,653,437,34,9,,West Indies,v Sri Lanka,Galle,15 Nov 2010,Test # 1977
14,MJ Clarke,329*,609,468,39,1,,Australia,v India,Sydney,3 Jan 2012,Test # 2027
15,Inzamam-ul-Haq,329,579,436,38,9,,Pakistan,v New Zealand,Lahore,1 May 2002,Test # 1600
16,A Sandham,325,600,640,28,0,,England,v West Indies,Kingston,3 Apr 1930,Test # 193
17,V Sehwag,319,530,304,42,5,,India,v South Africa,Chennai,26 Mar 2008,Test # 1870
18,KC Sangakkara,319,551,482,32,8,,Sri Lanka,v Bangladesh,Chattogram,4 Feb 2014,Test # 2117
19,CH Gayle,317,630,483,37,3,,West Indies,v South Africa,St John's,29 Apr 2005,Test # 1750
20,Younis Khan,313,760,568,27,4,,Pakistan,v Sri Lanka,Karachi,21 Feb 2009,Test # 1909
21,HM Amla,311*,790,529,35,0,,South Africa,v England,The Oval,19 Jul 2012,Test # 2049
22,RB Simpson,311,762,743,23,1,,Australia,v England,Manchester,23 Jul 1964,Test # 564
23,JH Edrich,310*,532,450,52,5,,England,v New Zealand,Leeds,8 Jul 1965,Test # 593
24,V Sehwag,309,531,375,39,6,,India,v Pakistan,Multan,28 Mar 2004,Test # 1693
25,RM Cowper,307,727,589,20,0,,Australia,v England,Melbourne,11 Feb 1966,Test # 601
26,DG Bradman,304,430,473,43,2,,Australia,v England,Leeds,20 Jul 1934,Test # 236
27,KK Nair,303*,565,381,32,4,,India,v England,Chennai,16 Dec 2016,Test # 2241
28,Azhar Ali,302*,658,469,23,2,,Pakistan,v West Indies,Dubai (DSC),13 Oct 2016,Test # 2224
29,LG Rowe,302,612,430,36,1,,West Indies,v England,Bridgetown,6 Mar 1974,Test # 734
30,BB McCullum,302,775,559,32,4,,New Zealand,v India,Wellington,14 Feb 2014,Test # 2120
31,DG Bradman,299*,396,-,23,0,,Australia,v South Africa,Adelaide,29 Jan 1932,Test # 215
32,MD Crowe,299,610,523,29,3,,New Zealand,v Sri Lanka,Wellington,31 Jan 1991,Test # 1162
33,AN Cook,294,773,545,33,0,,England,v India,Birmingham,10 Aug 2011,Test # 2003
34,V Sehwag,293,366,254,40,7,,India,v Sri Lanka,Brabourne,2 Dec 2009,Test # 1937
35,IVA Richards,291,472,386,38,0,,West Indies,v England,The Oval,12 Aug 1976,Test # 781
36,RR Sarwan,291,698,452,30,2,,West Indies,v England,Bridgetown,26 Feb 2009,Test # 1911
37,LRPL Taylor,290,567,374,43,0,,New Zealand,v Australia,Perth,13 Nov 2015,Test # 2187
38,RE Foster,287,419,-,37,0,,England,v Australia,Sydney,11 Dec 1903,Test # 78
39,KC Sangakkara,287,675,457,35,0,,Sri Lanka,v South Africa,Colombo (SSC),27 Jul 2006,Test # 1810
40,PBH May,285*,600,-,25,2,,England,v West Indies,Birmingham,30 May 1957,Test # 439
41,VVS Laxman,281,631,452,44,0,,India,v Australia,Kolkata,11 Mar 2001,Test # 1535
42,Javed Miandad,280*,696,460,19,1,,Pakistan,v India,Hyderabad (Sind),14 Jan 1983,Test # 946
43,AB de Villiers,278*,601,418,23,6,,South Africa,v Pakistan,Abu Dhabi,20 Nov 2010,Test # 1979
44,DCS Compton,278,287,-,34,1,,England,v Pakistan,Nottingham,1 Jul 1954,Test # 388
45,BC Lara,277,474,372,38,0,,West Indies,v Australia,Sydney,2 Jan 1993,Test # 1208
46,GC Smith,277,541,373,35,0,,South Africa,v England,Birmingham,24 Jul 2003,Test # 1651
47,DJ Cullinan,275*,658,490,27,2,,South Africa,v New Zealand,Auckland,27 Feb 1999,Test # 1446
48,G Kirsten,275,878,642,26,0,,South Africa,v England,Durban,26 Dec 1999,Test # 1480
49,DPMD Jayawardene,275,610,435,27,1,,Sri Lanka,v India,Ahmedabad,16 Nov 2009,Test # 1933
50,SP Fleming,274*,653,476,28,1,,New Zealand,v Sri Lanka,Colombo (PSS),25 Apr 2003,Test # 1641
51,RG Pollock,274,417,401,43,0,,South Africa,v Australia,Durban,5 Feb 1970,Test # 671
52,Zaheer Abbas,274,544,467,38,0,,Pakistan,v England,Birmingham,3 Jun 1971,Test # 687
53,Javed Miandad,271,558,465,28,5,,Pakistan,v New Zealand,Auckland,24 Feb 1989,Test # 1116
54,GA Headley,270*,495,-,30,0,,West Indies,v England,Kingston,14 Mar 1935,Test # 241
55,DG Bradman,270,458,375,22,0,,Australia,v England,Melbourne,1 Jan 1937,Test # 257
56,R Dravid,270,740,495,34,1,,India,v Pakistan,Rawalpindi,13 Apr 2004,Test # 1697
57,KC Sangakkara,270,468,365,36,2,,Sri Lanka,v Zimbabwe,Bulawayo,14 May 2004,Test # 1699
