,Player,Mat,Inns,NO,Runs,HS,Ave,100,50,0
0,JE Root (ENG),12,23,1,1175,180*,53.40,5,4,3
1,Babar Azam (PAK),9,16,1,953,196,63.53,2,7,0
2,FDM Karunaratne (SL),10,19,1,847,147,47.05,2,5,0
3,DG Bradman (AUS),5,9,0,810,270,90.00,3,1,2
4,GA Gooch (ENG),3,6,0,752,333,125.33,3,2,0
5,KC Brathwaite (WI),9,18,3,752,160,50.13,1,6,1
6,SM Gavaskar (INDIA),6,9,1,732,205,91.50,4,1,1
7,DI Gower (ENG),6,9,0,732,215,81.33,3,1,0
8,GS Sobers (WI),5,8,1,722,174,103.14,3,2,1
9,DG Bradman (AUS),5,6,2,715,201,178.75,4,1,0
10,GC Smith (SA),5,9,0,714,277,79.33,2,1,0
11,GS Chappell (AUS),6,11,5,702,182*,117.00,3,3,0
12,SPD Smith (AUS),5,7,2,687,239,137.40,3,2,0
13,DG Bradman (AUS),5,8,1,680,234,97.14,2,3,1
14,L Hutton (ENG),5,8,1,677,205,96.71,2,3,0
15,WM Lawry (AUS),5,8,0,667,205,83.37,3,2,0
16,V Kohli (INDIA),5,8,2,655,235,109.16,2,2,0
17,CH Lloyd (WI),5,9,1,636,242*,79.50,2,1,0
18,MJ Clarke (AUS),4,6,1,626,329*,125.20,2,0,0
19,D Elgar (SA),10,19,1,624,96*,34.66,0,5,1
20,V Kohli (INDIA),3,5,1,610,243,152.50,3,1,1
21,WR Hammond (ENG),5,8,1,609,181,87.00,3,2,0
22,GS Sobers (WI),5,10,2,597,178*,74.62,3,1,2
23,AR Border (AUS),6,11,2,597,196,66.33,2,1,0
24,KJ Hughes (AUS),6,12,2,594,100,59.40,1,5,0
25,V Kohli (INDIA),5,10,0,593,149,59.30,2,3,1
26,PBH May (ENG),5,9,1,582,117,72.75,2,3,1
27,HW Taylor (SA),5,9,0,582,176,64.66,3,2,0
28,CL Hooper (WI),5,7,0,579,233,82.71,3,1,0
29,MJ Clarke (AUS),3,5,1,576,259*,144.00,2,0,0
30,RT Ponting (AUS),5,8,1,576,196,82.28,2,2,0
31,A Melville (SA),5,10,1,569,189,63.22,3,1,1
32,JE Root (ENG),4,7,1,564,180*,94.00,3,1,0
33,AN Cook (ENG),4,8,1,562,190,80.28,3,0,0
34,Saleem Malik (PAK),3,6,0,557,237,92.83,2,1,0
35,SPD Smith (AUS),3,6,0,555,192,92.50,3,1,0
36,BC Lara (WI),4,7,1,546,213,91.00,3,1,0
37,JR Reid (NZ),5,10,1,546,142,60.66,1,4,0
38,GS Sobers (WI),5,9,3,545,152,90.83,2,2,1
39,IM Chappell (AUS),5,9,2,542,109,77.42,2,3,0
40,AJ Strauss (ENG),5,9,1,541,169,67.62,3,0,0
41,RB Simpson (AUS),5,10,0,539,176,53.90,2,2,0
42,AI Kallicharran (WI),6,10,1,538,187,59.77,1,3,0
43,AD Nourse (SA),5,10,3,536,129*,76.57,2,2,0
44,BB McCullum (NZ),2,4,0,535,302,133.75,2,0,0
45,MC Cowdrey (ENG),5,8,0,534,148,66.75,2,4,1
46,BC Lara (WI),4,8,0,533,122,66.62,2,3,0
47,BC Lara (WI),4,8,0,531,202,66.37,2,2,0
48,RT Ponting (AUS),3,6,1,515,143*,103.00,3,2,0
49,MA Taylor (AUS),3,5,1,513,334*,128.25,1,2,0
50,DPMD Jayawardene (SL),2,3,0,510,374,170.00,2,0,0
51,MA Atherton (ENG),5,9,0,510,144,56.66,2,2,2
52,DG Bradman (AUS),5,9,2,508,173*,72.57,2,1,2
53,HW Taylor (SA),5,10,0,508,109,50.80,1,3,0
54,GC Smith (SA),4,7,1,505,148,84.16,3,1,0
55,BC Lara (WI),4,7,1,500,400*,83.33,1,0,2
56,SM Gavaskar (INDIA),6,9,1,500,172,62.50,1,3,0
