,Player,Runs,Mins,Balls,4s,6s,,Team,Opposition,Ground,Match Date,Scorecard
0,Wasim Akram,257*,490,363,22,12,,Pakistan,v Zimbabwe,Sheikhupura,17 Oct 1996,Test # 1336
1,NJ Astle,222,231,168,28,11,,New Zealand,v England,Christchurch,13 Mar 2002,Test # 1594
2,ML Hayden,380,622,437,38,11,,Australia,v Zimbabwe,Perth,9 Oct 2003,Test # 1661
3,BB McCullum,202,279,188,21,11,,New Zealand,v Pakistan,Sharjah,26 Nov 2014,Test # 2147
4,BB McCullum,195,202,134,18,11,,New Zealand,v Sri Lanka,Christchurch,26 Dec 2014,Test # 2151
5,BA Stokes,258,338,198,30,11,,England,v South Africa,Cape Town,2 Jan 2016,Test # 2197
6,WR Hammond,336*,318,-,34,10,,England,v New Zealand,Auckland,31 Mar 1933,Test # 226
7,CL Cairns,120,122,96,10,9,,New Zealand,v Zimbabwe,Auckland,20 Jan 1996,Test # 1323
8,Inzamam-ul-Haq,329,579,436,38,9,,Pakistan,v New Zealand,Lahore,1 May 2002,Test # 1600
9,TG Southee,77*,48,40,4,9,,New Zealand,v England,Napier,22 Mar 2008,Test # 1868
10,CH Gayle,333,653,437,34,9,,West Indies,v Sri Lanka,Galle,15 Nov 2010,Test # 1977
11,SO Hetmyer,93,-,92,1,9,,West Indies,v Bangladesh,Mirpur,30 Nov 2018,Test # 2331
12,NS Sidhu,124,280,223,9,8,,India,v Sri Lanka,Lucknow,18 Jan 1994,Test # 1244
13,AC Gilchrist,204*,293,213,19,8,,Australia,v South Africa,Johannesburg,22 Feb 2002,Test # 1590
14,KC Sangakkara,319,551,482,32,8,,Sri Lanka,v Bangladesh,Chattogram,4 Feb 2014,Test # 2117
15,JO Holder,202*,284,229,23,8,,West Indies,v England,Bridgetown,23 Jan 2019,Test # 2342
16,BA Stokes,135*,330,219,11,8,,England,v Australia,Leeds,22 Aug 2019,Test # 2357
17,MA Agarwal,243,-,330,28,8,,India,v Bangladesh,Indore,14 Nov 2019,Test # 2366
18,B Sutcliffe,80*,112,-,4,7,,New Zealand,v South Africa,Johannesburg,24 Dec 1953,Test # 378
19,IVA Richards,110*,87,58,7,7,,West Indies,v England,St John's,11 Apr 1986,Test # 1045
20,CG Greenidge,213,534,384,20,7,,West Indies,v New Zealand,Auckland,27 Feb 1987,Test # 1070
21,CL Cairns,158,214,171,18,7,,New Zealand,v South Africa,Auckland,18 Mar 2004,Test # 1689
22,A Flintoff,167,274,191,17,7,,England,v West Indies,Birmingham,29 Jul 2004,Test # 1708
23,KP Pietersen,158,285,187,15,7,,England,v Australia,The Oval,8 Sep 2005,Test # 1763
24,Shahid Afridi,103,111,80,7,7,,Pakistan,v India,Lahore,13 Jan 2006,Test # 1781
25,BC Lara,216,422,262,22,7,,West Indies,v Pakistan,Multan,19 Nov 2006,Test # 1816
26,CH Gayle,197,514,396,20,7,,West Indies,v New Zealand,Napier,19 Dec 2008,Test # 1900
27,AB de Villiers,163,313,196,12,7,,South Africa,v Australia,Cape Town,19 Mar 2009,Test # 1916
28,V Sehwag,293,366,254,40,7,,India,v Sri Lanka,Brabourne,2 Dec 2009,Test # 1937
29,Harbhajan Singh,111*,174,116,7,7,,India,v New Zealand,Hyderabad (Deccan),12 Nov 2010,Test # 1975
30,Tamim Iqbal,206,448,278,17,7,,Bangladesh,v Pakistan,Khulna,28 Apr 2015,Test # 2159
31,MA Starc,84,128,91,3,7,,Australia,v Pakistan,Melbourne,26 Dec 2016,Test # 2242
32,HH Pandya,108,163,96,8,7,,India,v Sri Lanka,Pallekele,12 Aug 2017,Test # 2269
33,RG Sharma,127,-,149,10,7,,India,v South Africa,Visakhapatnam,2 Oct 2019,Test # 2363
34,KR Mayers,210*,415,310,20,7,,West Indies,v Bangladesh,Chattogram,3 Feb 2021,Test # 2407
35,Q de Kock,141*,257,170,12,7,,South Africa,v West Indies,Gros Islet,10 Jun 2021,Test # 2424
36,JM Bairstow,136,150,92,14,7,,England,v New Zealand,Nottingham,10 Jun 2022,Test # 2465
37,JH Sinclair,104,-,-,-,6,,South Africa,v Australia,Cape Town,8 Nov 1902,Test # 77
38,IVA Richards,192*,321,-,20,6,,West Indies,v India,Delhi,11 Dec 1974,Test # 747
39,Haroon Rasheed,108,214,176,10,6,,Pakistan,v England,Hyderabad (Sind),2 Jan 1978,Test # 813
40,IT Botham,118,123,102,13,6,,England,v Australia,Manchester,13 Aug 1981,Test # 907
41,RJ Shastri,121*,388,287,9,6,,India,v Australia,Wankhede,15 Oct 1986,Test # 1054
42,WJ Cronje,82,70,63,8,6,,South Africa,v Sri Lanka,Centurion,27 Mar 1998,Test # 1414
43,CD McMillan,142,238,179,13,6,,New Zealand,v Sri Lanka,Colombo (RPS),27 May 1998,Test # 1415
44,JN Rhodes,103*,104,95,8,6,,South Africa,v West Indies,Centurion,15 Jan 1999,Test # 1441
45,CL Cairns,69,115,83,4,6,,New Zealand,v Australia,Wellington,24 Mar 2000,Test # 1491
46,Wasim Akram,100,160,89,8,6,,Pakistan,v Sri Lanka,Galle,21 Jun 2000,Test # 1501
47,ML Hayden,203,474,320,15,6,,Australia,v India,Chennai,18 Mar 2001,Test # 1539
48,ST Jayasuriya,145,214,164,13,6,,Sri Lanka,v Bangladesh,Colombo (PSS),21 Jul 2002,Test # 1609
49,HH Gibbs,228,383,240,29,6,,South Africa,v Pakistan,Cape Town,2 Jan 2003,Test # 1637
50,V Sehwag,309,531,375,39,6,,India,v Pakistan,Multan,28 Mar 2004,Test # 1693
51,AM Blignaut,61,82,58,3,6,,Zimbabwe,v South Africa,Cape Town,4 Mar 2005,Test # 1737
52,AC Gilchrist,121,183,126,12,6,,Australia,v New Zealand,Christchurch,10 Mar 2005,Test # 1739
53,Shahid Afridi,122,179,95,9,6,,Pakistan,v West Indies,Bridgetown,26 May 2005,Test # 1752
54,Shahid Afridi,92,109,85,6,6,,Pakistan,v England,Faisalabad,20 Nov 2005,Test # 1772
55,A Symonds,72,69,54,5,6,,Australia,v South Africa,Melbourne,26 Dec 2005,Test # 1779
56,Shahid Afridi,156,208,128,20,6,,Pakistan,v India,Faisalabad,21 Jan 2006,Test # 1782
57,AC Gilchrist,144,294,212,15,6,,Australia,v Bangladesh,Fatullah,9 Apr 2006,Test # 1797
58,Mohammad Rafique,65,57,53,2,6,,Bangladesh,v Australia,Chattogram,16 Apr 2006,Test # 1799
59,MS Dhoni,69,51,52,4,6,,India,v West Indies,St John's,2 Jun 2006,Test # 1805
60,MS Dhoni,100*,154,154,3,6,,India,v Sri Lanka,Brabourne,2 Dec 2009,Test # 1937
61,CH Gayle,102,102,72,9,6,,West Indies,v Australia,Perth,16 Dec 2009,Test # 1941
