,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,BB McCullum (NZ),2004-2016,101,176,9,6453,302,38.64,9989,64.60,12,31,14,776,107
1,BA Stokes (ENG),2013-2022,86,156,6,5429,258,36.19,9318,58.26,12,28,13,651,103
2,AC Gilchrist (AUS),1999-2008,96,137,20,5570,204*,47.60,6796,81.95,17,26,14,677,100
3,CH Gayle (WI),2000-2014,103,182,11,7214,333,42.18,11970,60.26,15,37,15,1046,98
4,JH Kallis (ICC/SA),1995-2013,166,280,40,13289,224,55.37,28903,45.97,45,58,16,1488,97
5,V Sehwag (ICC/INDIA),2001-2013,104,180,6,8586,319,49.34,10441,82.23,23,32,16,1233,91
6,BC Lara (ICC/WI),1990-2006,131,232,6,11953,400*,52.88,19753,60.51,34,48,17,1559,88
7,CL Cairns (NZ),1989-2004,62,104,5,3320,158,33.53,5815,57.09,5,22,7,365,87
8,IVA Richards (WI),1974-1991,121,182,12,8540,291,50.23,9613+,69.77*,24,45,10,952+,84
9,A Flintoff (ENG/ICC),1998-2009,79,130,9,3845,167,31.77,6197,62.04,5,26,17,513,82
10,ML Hayden (AUS),1994-2009,103,184,14,8625,380,50.73,14349,60.10,30,29,14,1049,82
11,Misbah-ul-Haq (PAK),2001-2017,75,132,20,5222,161*,46.62,11726,44.53,10,39,9,511,81
12,KP Pietersen (ENG),2005-2014,104,181,8,8181,227,47.28,13255,61.72,23,35,10,985,81
13,MS Dhoni (INDIA),2005-2014,90,144,16,4876,224,38.09,8249,59.11,6,33,10,544,78
14,TG Southee (NZ),2008-2022,88,126,11,1855,77*,16.13,2240,82.81,0,5,15,187,76
15,AD Mathews (SL),2009-2022,100,178,24,6953,200*,45.14,14416,48.23,13,38,4,716,75
16,RT Ponting (AUS),1995-2012,168,287,29,13378,257,51.85,22782,58.72,41,62,17,1509,73
17,CH Lloyd (WI),1966-1985,110,175,14,7515,242*,46.67,6942+,56.68*,19,39,4,712+,70
18,Younis Khan (PAK),2000-2017,118,213,19,10099,313,52.05,19375,52.12,34,33,19,1082,70
