,Sixes,Batter ,Bowler,Match,Venue,Season
0,4,AB de Villiers (163),AB McDonald,South Africa v Australia,Cape Town,2008-09
1,,Shahid Afridi (103),Harbhajan Singh,Pakistan v India,Lahore,2006
2,,Kapil Dev (77*),EE Hemmings,India v England,Lord's,1990
3,3,MM Ali (43),AR Patel,England v India,Chennai,2020-21
4,,RG Sharma (127),DL Piedt,India v South Africa,Visakhapatnam,2019-20
5,,HH Pandya (108),PM Pushpakumara,India v Sri Lanka,Pallekele,2017
6,,BA Stokes (112),KA Maharaj,England v South Africa,London,2017
7,,TG Southee (20),Zulfiqar Babar,New Zealand v Pakistan,Dubai,2014-15
8,,LRPL Taylor (138),NM Hauritz,New Zealand v Australia,Hamilton,2009-10
9,,MS Dhoni (69),Dave Mohammad,India v West Indies,Antigua,2006
10,,Brian Lara (216),Danish Kaneria,West Indies v Pakistan,Multan,2006
11,,Jacques Kallis (54),Graeme Cremer,South Africa v Zimbabwe,Cape Town,2005
12,,Nathan Astle (222),Andy Caddick,New Zealand v England,Christchurch,2002
13,,WJ Cronje (82),Muttiah Muralitharan,South Africa v Sri Lanka,Pretoria,1997-98
14,,ST Clarke (35*),Mohammad Nazir,West Indies v Pakistan,Faisalabad,1980-81
15,,WR Hammond (336*),J Newman,England v New Zealand,Auckland,1932-33
