,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,300s
0,DG Bradman (AUS),1928-1948,52,80,10,6996,334,99.94,29,13,7,2
1,V Sehwag (ICC/INDIA),2001-2013,104,180,6,8586,319,49.34,23,32,16,2
2,CH Gayle (WI),2000-2014,103,182,11,7214,333,42.18,15,37,15,2
3,BC Lara (ICC/WI),1990-2006,131,232,6,11953,400*,52.88,34,48,17,2
4,KK Nair (INDIA),2016-2017,6,7,1,374,303*,62.33,1,0,1,1
5,A Sandham (ENG),1921-1930,14,23,0,879,325,38.21,2,3,3,1
6,RM Cowper (AUS),1964-1968,27,46,2,2061,307,46.84,5,10,3,1
7,LG Rowe (WI),1972-1980,30,49,2,2047,302,43.55,7,7,2,1
8,Hanif Mohammad (PAK),1952-1969,55,97,8,3915,337,43.98,12,15,5,1
9,RB Simpson (AUS),1957-1978,62,111,7,4869,311,46.81,10,27,8,1
10,JH Edrich (ENG),1963-1976,77,127,9,5138,310*,43.54,12,24,6,1
11,L Hutton (ENG),1937-1955,79,138,15,6971,364,56.67,19,33,5,1
12,WR Hammond (ENG),1927-1947,85,140,16,7249,336*,58.45,22,24,4,1
13,GS Sobers (WI),1954-1974,93,160,21,8032,365*,57.78,26,30,12,1
14,Azhar Ali (PAK),2010-2022,95,176,11,7030,302*,42.60,19,35,18,1
15,BB McCullum (NZ),2004-2016,101,176,9,6453,302,38.64,12,31,14,1
16,DA Warner (AUS),2011-2022,96,176,8,7817,335*,46.52,24,34,11,1
17,ML Hayden (AUS),1994-2009,103,184,14,8625,380,50.73,30,29,14,1
18,MA Taylor (AUS),1989-1999,104,186,13,7525,334*,43.49,19,40,5,1
19,ST Jayasuriya (SL),1991-2007,110,188,14,6973,340,40.07,14,31,15,1
20,MJ Clarke (AUS),2004-2015,115,198,22,8643,329*,49.10,28,27,9,1
21,Inzamam-ul-Haq (ICC/PAK),1992-2007,120,200,22,8830,329,49.60,25,46,15,1
22,Younis Khan (PAK),2000-2017,118,213,19,10099,313,52.05,34,33,19,1
23,HM Amla (SA),2004-2019,124,215,16,9282,311*,46.64,28,41,13,1
24,GA Gooch (ENG),1975-1995,118,215,6,8900,333,42.58,20,46,13,1
25,KC Sangakkara (SL),2000-2015,134,233,17,12400,319,57.40,38,52,11,1
26,DPMD Jayawardene (SL),1997-2014,149,252,15,11814,374,49.84,34,50,15,1
