,Score (Team Total),Batter,Match,Location,Year
0,38 (169),TEFS Tylecote,England v Australia,Melbourne,1882-83
1,48 (126),GE Palmer,Australia v England,Lord's,1886
2,38 (173),H Carter,Australia v England,Melbourne,1911-12
3,67 (225),DT Ring,Australia v West Indies,Adelaide,1951-52
4,47 (188),EW Dempster,New Zealand v South Africa,Johannesburg,1953-54
5,101 (355),Nasim-ul-Ghani (Javed Burki also scored 101),Pakistan v England,Lord's,1962
6,96 (237),APE Knott,England v New Zealand,Auckland,1970-71
7,105 (165),AL Mann,Australia v India,Perth,1977-78
8,95 (195),EE Hemmings,England v Australia,Sydney,1982-83
9,94 (429),RC Russell,England v Sri Lanka,Lord's,1988
10,55 (191),RC Russell,England v West Indies,Bridgetown,1989-90
11,87 (269),PL Taylor,Australia v New Zealand,Wellington,1989-90
12,69 (205),IA Healy,Australia v England,Sydney,1990-91
13,51 (213),WKM Benjamin,West Indies v Australia,Kingston,1994-95
14,55 (214),PL Symcox,South Africa v Pakistan,Faisalabad,1997-98
15,42 (147),DL Vettori,New Zealand v England,Christchurch,2001-02
16,49 (226),AJ Bichel,Australia v England,Sydney,2002-03
