,Player,Runs,Mins,Balls,4s,6s,,Team,Opposition,Ground,Match Date,Scorecard
0,FS Jackson,91,105,-,13,0,,England,v Australia,Lord's,17 Jul 1893,Test # 39
1,LJ Tancred,97,-,-,-,0,,South Africa,v Australia,Johannesburg,11 Oct 1902,Test # 75
2,RB Minnett,90,111,118,14,0,,Australia,v England,Sydney,15 Dec 1911,Test # 116
3,AJ Richardson,98,169,197,10,0,,Australia,v England,Sydney,19 Dec 1924,Test # 158
4,AG Chipperfield,99,200,208,9,0,,Australia,v England,Nottingham,8 Jun 1934,Test # 233
5,PA Gibb,93,270,-,7,0,,England,v South Africa,Johannesburg,24 Dec 1938,Test # 267
6,VH Stollmeyer,96,135,-,11,0,,West Indies,v England,The Oval,19 Aug 1939,Test # 274
7,RJ Christiani,99,-,-,-,0,,West Indies,v England,Bridgetown,21 Jan 1948,Test # 293
8,FMM Worrell,97,195,-,9,1,,West Indies,v England,Port of Spain,11 Feb 1948,Test # 296
9,PNF Mansell,90,-,-,19,0,,South Africa,v England,Leeds,26 Jul 1951,Test # 337
10,JKC Holt,94,360,-,-,0,,West Indies,v England,Kingston,15 Jan 1954,Test # 380
11,NS Harford,93,210,-,11,0,,New Zealand,v Pakistan,Lahore,26 Oct 1955,Test # 414
12,IR Redpath,97,247,254,14,0,,Australia,v South Africa,Melbourne,1 Jan 1964,Test # 549
13,Abdul Kadir,95,291,-,9,0,,Pakistan,v Australia,Karachi,24 Oct 1964,Test # 569
14,C Milburn,94,152,136,12,2,,England,v West Indies,Manchester,2 Jun 1966,Test # 605
15,B Wood,90,272,216,15,0,,England,v Australia,The Oval,10 Aug 1972,Test # 702
16,CG Greenidge,93,177,-,13,3,,West Indies,v India,Bengaluru,22 Nov 1974,Test # 745
17,RW Anderson,92,155,-,9,0,,New Zealand,v Pakistan,Lahore,9 Oct 1976,Test # 782
18,BM Laird,92,303,185,10,0,,Australia,v West Indies,Brisbane,1 Dec 1979,Test # 862
19,Taslim Arif,90,424,268,4,0,,Pakistan,v India,Kolkata,29 Jan 1980,Test # 871
20,RC Russell,94,276,202,11,0,,England,v Sri Lanka,Lord's,25 Aug 1988,Test # 1103
21,SP Fleming,92,250,177,12,0,,New Zealand,v India,Hamilton,19 Mar 1994,Test # 1255
22,CI Dunusinghe,91,323,240,8,0,,Sri Lanka,v New Zealand,Napier,11 Mar 1995,Test # 1292
23,RT Ponting,96,236,184,8,0,,Australia,v Sri Lanka,Perth,8 Dec 1995,Test # 1317
24,R Dravid,95,363,267,6,0,,India,v England,Lord's,20 Jun 1996,Test # 1328
25,Asim Kamal,99,314,246,11,1,,Pakistan,v South Africa,Lahore,17 Oct 2003,Test # 1664
26,OJ Phillips,94,225,177,7,0,,West Indies,v Bangladesh,Kingstown,9 Jul 2009,Test # 1923
27,AC Agar,98,134,101,12,2,,Australia,v England,Nottingham,10 Jul 2013,Test # 2090
28,MDK Perera,95,302,247,12,2,,Sri Lanka,v Pakistan,Sharjah,16 Jan 2014,Test # 2115
29,AK Markram,97,236,152,13,0,,South Africa,v Bangladesh,Potchefstroom,28 Sep 2017,Test # 2276
30,Fakhar Zaman,94,-,198,8,1,,Pakistan,v Australia,Abu Dhabi,16 Oct 2018,Test # 2322
31,J Overton,97,231,136,13,2,,England,v New Zealand,Leeds,23 Jun 2022,Test # 2467
