,Player,Runs,Inns,,Team,Opposition,Ground,Match Date,Scorecard
0,FR Spofforth,50,1,,Australia,v England,Melbourne,21 Mar 1885,Test # 21
1,TR McKibbin,16,4,,Australia,v England,The Oval,10 Aug 1896,Test # 52
2,AEE Vogler,62*,2,,South Africa,v England,Cape Town,30 Mar 1906,Test # 92
3,Asif Masood,30*,1,,Pakistan,v West Indies,Lahore,15 Feb 1975,Test # 756
4,AMJG Amerasinghe,34,2,,Sri Lanka,v New Zealand,Kandy,9 Mar 1984,Test # 980
5,Talha Jubair,31,3,,Bangladesh,v India,Chattogram,17 Dec 2004,Test # 1727
6,SJ Harmison,42,4,,England,v South Africa,Cape Town,2 Jan 2005,Test # 1732
7,NM Lyon,14,3,,Australia,v South Africa,Cape Town,9 Nov 2011,Test # 2016
8,AC Agar,98,2,,Australia,v England,Nottingham,10 Jul 2013,Test # 2090
9,S Shillingford,53*,4,,West Indies,v New Zealand,Kingston,8 Jun 2014,Test # 2123
10,TJ Murtagh,54*,1,,Ireland,v Afghanistan,Dehradun,15 Mar 2019,Test # 2351
11,S Mahmood,49,1,,England,v West Indies,St George's,24 Mar 2022,Test # 2459
