,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Oman,U.A.E.,Oman,5 wickets,Al Amerat,"Jan 5, 2020",ODI # 4224
1,Namibia,U.A.E.,U.A.E.,8 runs,Al Amerat,"Jan 6, 2020",ODI # 4225
2,West Indies,Ireland,West Indies,5 wickets,Bridgetown,"Jan 7, 2020",ODI # 4226
3,Oman,Namibia,Namibia,52 runs,Al Amerat,"Jan 8, 2020",ODI # 4227
4,Namibia,U.A.E.,U.A.E.,8 wickets,Al Amerat,"Jan 9, 2020",ODI # 4228
5,West Indies,Ireland,West Indies,1 wicket,Bridgetown,"Jan 9, 2020",ODI # 4229
6,West Indies,Ireland,West Indies,5 wickets,St George's,"Jan 12, 2020",ODI # 4230
7,India,Australia,Australia,10 wickets,Wankhede,"Jan 14, 2020",ODI # 4231
8,India,Australia,India,36 runs,Rajkot,"Jan 17, 2020",ODI # 4232
9,India,Australia,India,7 wickets,Bengaluru,"Jan 19, 2020",ODI # 4233
10,South Africa,England,South Africa,7 wickets,Cape Town,"Feb 4, 2020",ODI # 4234
11,New Zealand,India,New Zealand,4 wickets,Hamilton,"Feb 5, 2020",ODI # 4235
12,Nepal,Oman,Oman,18 runs,Kirtipur,"Feb 5, 2020",ODI # 4236
13,Oman,U.S.A.,Oman,6 wickets,Kirtipur,"Feb 6, 2020",ODI # 4237
14,South Africa,England,no result,,Durban,"Feb 7, 2020",ODI # 4238
15,New Zealand,India,New Zealand,22 runs,Auckland,"Feb 8, 2020",ODI # 4239
16,Nepal,U.S.A.,Nepal,35 runs,Kirtipur,"Feb 8, 2020",ODI # 4240
17,Nepal,Oman,Oman,8 wickets,Kirtipur,"Feb 9, 2020",ODI # 4241
18,South Africa,England,England,2 wickets,Johannesburg,"Feb 9, 2020",ODI # 4242
19,New Zealand,India,New Zealand,5 wickets,Mount Maunganui,"Feb 11, 2020",ODI # 4243
20,Oman,U.S.A.,Oman,92 runs,Kirtipur,"Feb 11, 2020",ODI # 4244
21,Nepal,U.S.A.,Nepal,8 wickets,Kirtipur,"Feb 12, 2020",ODI # 4245
22,Sri Lanka,West Indies,Sri Lanka,1 wicket,Colombo (SSC),"Feb 22, 2020",ODI # 4246
23,Sri Lanka,West Indies,Sri Lanka,161 runs,Hambantota,"Feb 26, 2020",ODI # 4247
24,South Africa,Australia,South Africa,74 runs,Paarl,"Feb 29, 2020",ODI # 4248
25,Bangladesh,Zimbabwe,Bangladesh,169 runs,Sylhet,"Mar 1, 2020",ODI # 4249
26,Sri Lanka,West Indies,Sri Lanka,6 runs,Pallekele,"Mar 1, 2020",ODI # 4250
27,Bangladesh,Zimbabwe,Bangladesh,4 runs,Sylhet,"Mar 3, 2020",ODI # 4251
28,South Africa,Australia,South Africa,6 wickets,Bloemfontein,"Mar 4, 2020",ODI # 4252
29,Bangladesh,Zimbabwe,Bangladesh,123 runs,Sylhet,"Mar 6, 2020",ODI # 4253
30,South Africa,Australia,South Africa,6 wickets,Potchefstroom,"Mar 7, 2020",ODI # 4254
31,Australia,New Zealand,Australia,71 runs,Sydney,"Mar 13, 2020",ODI # 4255
32,England,Ireland,England,6 wickets,Southampton,"Jul 30, 2020",ODI # 4256
33,England,Ireland,England,4 wickets,Southampton,"Aug 1, 2020",ODI # 4257
34,England,Ireland,Ireland,7 wickets,Southampton,"Aug 4, 2020",ODI # 4258
35,England,Australia,Australia,19 runs,Manchester,"Sep 11, 2020",ODI # 4259
36,England,Australia,England,24 runs,Manchester,"Sep 13, 2020",ODI # 4260
37,England,Australia,Australia,3 wickets,Manchester,"Sep 16, 2020",ODI # 4261
38,Pakistan,Zimbabwe,Pakistan,26 runs,Rawalpindi,"Oct 30, 2020",ODI # 4262
39,Pakistan,Zimbabwe,Pakistan,6 wickets,Rawalpindi,"Nov 1, 2020",ODI # 4263
40,Pakistan,Zimbabwe,tied,,Rawalpindi,"Nov 3, 2020",ODI # 4264
41,Australia,India,Australia,66 runs,Sydney,"Nov 27, 2020",ODI # 4265
42,Australia,India,Australia,51 runs,Sydney,"Nov 29, 2020",ODI # 4266
43,Australia,India,India,13 runs,Canberra,"Dec 2, 2020",ODI # 4267
