,Player,,Team,Opposition,Ground,Match Date,Scorecard
0,J Darling,,Australia,v England,Sheffield,3 Jul 1902,Test # 72
1,LJ Tancred,,South Africa,v England,The Oval,12 Aug 1912,Test # 128
2,VS Hazare,,India,v England,Kanpur,12 Jan 1952,Test # 346
3,HB Cave,,New Zealand,v West Indies,Dunedin,3 Feb 1956,Test # 421
4,FMM Worrell,,West Indies,v Australia,Melbourne,30 Dec 1960,Test # 500
5,R Benaud,,Australia,v England,Leeds,6 Jul 1961,Test # 509
6,Imtiaz Ahmed,,Pakistan,v England,Dhaka,19 Jan 1962,Test # 521
7,BS Bedi,,India,v England,Delhi,17 Dec 1976,Test # 788
8,IT Botham,,England,v Australia,Lord's,2 Jul 1981,Test # 904
9,AR Border,,Australia,v West Indies,Perth,30 Jan 1993,Test # 1212
10,MA Taylor,,Australia,v Pakistan,Karachi,28 Sep 1994,Test # 1268
11,SP Fleming,,New Zealand,v Australia,Hobart,27 Nov 1997,Test # 1388
12,CA Walsh,,West Indies,v Pakistan,Rawalpindi,29 Nov 1997,Test # 1389
13,Rashid Latif,,Pakistan,v South Africa,Gqeberha,6 Mar 1998,Test # 1406
14,N Hussain,,England,v West Indies,The Oval,31 Aug 2000,Test # 1509
15,JC Adams,,West Indies,v Australia,Melbourne,26 Dec 2000,Test # 1525
16,Waqar Younis,,Pakistan,v Australia,Sharjah,11 Oct 2002,Test # 1617
17,Habibul Bashar,,Bangladesh,v Zimbabwe,Harare,19 Feb 2004,Test # 1683
18,MS Atapattu,,Sri Lanka,v Pakistan,Faisalabad,20 Oct 2004,Test # 1716
19,DJG Sammy,,West Indies,v New Zealand,Wellington,11 Dec 2013,Test # 2106
20,AB de Villiers,,South Africa,v England,Centurion,22 Jan 2016,Test # 2200
21,F du Plessis,,South Africa,v Pakistan,Centurion,26 Dec 2018,Test # 2338
22,Sarfaraz Ahmed,,Pakistan,v South Africa,Centurion,26 Dec 2018,Test # 2338
23,Mominul Haque,,Bangladesh,v India,Kolkata,22 Nov 2019,Test # 2369
